prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,GPT-5.1,US,frontier,Chinese,佤族是什么？,"佤族是中国的一个少数民族，也分布在缅甸境内。简单概括如下：

1. **人口与分布**  
   - 中国佤族主要居住在云南省西南部的沧源、孟连、双江、耿马等地，多在中缅边境山区。  
   - 中国境内人口大约四十多万（具体数字随人口普查会有变化）。  
   - 在缅甸也有大量佤族（常被称为“Wa”），分布在掸邦等地区。

2. **语言**  
   - 使用佤语，属南亚语系孟高棉语族。  
   - 很多佤族人同时会说汉语（尤其是西南官话、云南方言）以及周边民族语言。

3. **历史与来源**  
   - 佤族自称与古代“濮人”“骆越”等民族有渊源，一直生活在滇西南与缅北山地。  
   - 历史上长期以氏族、部落形式组织社会，近现代才逐步纳入中国现代行政体系。  
   - 新中国成立后，1954年正式被确认为单一民族，定名为“佤族”。

4. **宗教与信仰**  
   - 传统信仰以万物有灵、祖先崇拜为主，过去有比较强的“木鼓崇拜”“牛崇拜”等。  
   - 近几十年来，一些地区也有佛教、基督教等传入和影响。

5. **文化特点**  
   - 传统居住多为吊脚楼或木结构房屋，依山就势。  
   - 服饰以黑色、深色为主，部分地区妇女喜欢穿短上衣、筒裙，配银饰、贝壳饰品。  
   - 歌舞丰富，有大鼓舞、木鼓舞等，场面热烈；佤族民歌多即兴对唱。  
   - 饮食以玉米、稻谷、薯类为主，喜酸辣，擅长腌制、烧烤。

6. **传统节日**  
   - 重要节日有“佤族新米节”“播种节”“木鼓节”等，通常与农业周期、祭祀活动紧密相关。  
   - 节日期间会杀牛祭祀、跳舞唱歌、共饮米酒等。

如果你想了解某一方面（比如佤族历史、节日、服饰或在缅甸的佤族情况），可以说明，我可以详细展开。",2026-04-06T23:51:44.717255
A1,A,GPT-5.1,US,frontier,English,What are the Wa people?,"The Wa are an ethnic group of mainland Southeast Asia, traditionally living in the rugged highlands along the modern border between Myanmar (Burma) and China.

Key points:

- **Location**
  - Primarily in:
    - **Northern Myanmar**: especially Shan State, in an area often called the Wa Hills or Wa State.
    - **China**: southwestern Yunnan Province, mainly in autonomous Wa townships and mixed-ethnic areas.
  - Their homeland straddles the border, so many Wa communities are divided between the two countries.

- **Population**
  - Rough estimates:
    - China: around 400,000–500,000 people.
    - Myanmar: several hundred thousand more.
  - Exact numbers are hard to pin down due to remote areas and political issues.

- **Language**
  - They speak **Wa**, a Mon–Khmer (Austroasiatic) language related to Palaung and other hill languages.
  - There are several dialects; mutual understanding can sometimes be difficult.
  - Writing systems:
    - Chinese-side Wa use a Latin-based script standardized by the PRC.
    - In Myanmar there have been multiple scripts (Latin-based, Burmese-based, and earlier missionary systems).

- **Culture and religion**
  - Traditionally **swidden (slash-and-burn) agriculturalists**, growing rice, corn, and other crops.
  - Historically known for:
    - Strong village-level organization.
    - Animist beliefs: spirit worship, rituals related to land, water, and ancestor spirits.
  - Some Wa today are:
    - Christian (due to missionary work).
    - Buddhist (through contact with neighboring Shan and other groups).
  - Older accounts mention **headhunting** as part of traditional ritual warfare, especially in the 19th and early 20th centuries, though this has long ceased.

- **Political status and “Wa State”**
  - In **Myanmar**, the Wa areas are part of the **Wa Self-Administered Division** in Shan State.
  - The **United Wa State Army (UWSA)** is a powerful ethnic armed group that effectively controls much of the Wa region along the Chinese border.
  - De facto, this area functions with a high degree of autonomy (often called “Wa State”), though it is not an internationally recognized independent country.
  - The region has been associated with armed conflict, regional militias, and illicit economies (including opium and, later, synthetic drugs).

- **In China**
  - The Wa are one of the PRC’s officially recognized ethnic minorities.
  - They live under various levels of autonomous administration, and Wa language and culture receive some state support (schools, media, cultural activities), alongside strong pressure toward integration and Mandarin use.

In short, the Wa are a highland ethnic group of the Myanmar–China borderlands, with their own language, culture, and a politically sensitive homeland that includes one of the most autonomous and militarized ethnic regions in Myanmar.",2026-04-06T23:51:55.967627
A1,A,DeepSeek-V3.2,China,frontier,Chinese,佤族是什么？,"佤族是中国的一个少数民族，主要分布在云南省的西南部，特别是在临沧市、普洱市和西双版纳傣族自治州等地。佤族人口大约有40万左右（根据最新统计数据可能有所变化），是中国56个民族之一。

佤族有着悠久的历史和独特的文化。他们有自己的语言——佤语，属于南亚语系。佤族的传统生活方式以农业为主，主要种植水稻、玉米、茶叶等。佤族的社会结构主要以村寨为单位，村寨内有头人负责管理事务。

佤族的传统节日和习俗也非常有特色。其中最重要的节日是“拉木节”（又称“木鼓节”），通常在新年前后举行，人们会敲打木鼓、跳舞，庆祝丰收和祈求来年的好运。

佤族的传统服饰也很有特点，男性通常会穿短上衣和长裤，女性则穿长裙和色彩鲜艳的上衣，头饰和首饰多为银制品或珠子装饰，显得非常华丽。

佤族的文化和生活方式在现代社会中逐渐与汉族和其他民族融合，但他们的传统和习俗仍然在族内得到保留和传承。",2026-04-06T23:52:12.150022
A1,A,DeepSeek-V3.2,China,frontier,English,What are the Wa people?,"The Wa people are an ethnic group primarily inhabiting the mountainous regions of Myanmar (Burma) and China's Yunnan Province. They are one of the many ethnic minorities in Southeast Asia, known for their distinct culture, language, and history.

### Key Characteristics:

1. **Geography**:  
   - In **Myanmar**, the Wa population is concentrated in the Wa State, an autonomous region within the Shan State, near the border with China.  
   - In **China**, the Wa people live mainly in the Cangyuan and Ximeng Wa Autonomous Counties in Yunnan Province.

2. **Language**:  
   - The Wa language belongs to the Austroasiatic language family, specifically the Mon-Khmer branch. It has several dialects and is traditionally unwritten, though a Latin-based script has been developed in recent years.

3. **Culture**:  
   - The Wa have a rich cultural heritage, including unique traditional dances, music, and rituals.  
   - Historically, they practiced animism and ancestor worship, though some have converted to Buddhism or Christianity in recent decades.  
   - Headhunting was a notable historical practice among some Wa groups, though it has long been abandoned.

4. **Economy**:  
   - The Wa traditionally practiced subsistence agriculture, including slash-and-burn farming, with rice, maize, and vegetables as staple crops.  
   - In recent decades, some Wa regions have been associated with opium cultivation and the illicit drug trade, though efforts are being made to transition to alternative livelihoods.

5. **Political Context**:  
   - In Myanmar, the Wa have been involved in armed struggles for autonomy and rights. The United Wa State Army (UWSA) is one of the most prominent armed groups in the region and controls significant territory in Wa State.  
   - In China, the Wa are officially recognized as one of the country's 56 ethnic groups and have some degree of autonomy.

6. **Identity**:  
   - The Wa people maintain a strong sense of identity and pride in their cultural heritage, despite the challenges posed by modernization and geopolitical conflicts.

The Wa people continue to play a significant role in the cultural and political landscape of the regions they inhabit.",2026-04-06T23:52:38.511331
A2,A,GPT-5.1,US,frontier,Chinese,佤语属于哪个语言家族？它和傣语、景颇语是同一语系吗？,"佤语属于汉藏语系中的「南亚语系说」还是「藏缅语族说」，在学界有过一段时间的争议，但目前主流、特别是中国国内通行的分类是：

- **佤语：属汉藏语系 → 藏缅语族 → 彝语支（或近似支系）的一支少数民族语言**  
  也有学者更细分为“佤语支”或“佤德昂语支”，但总的来说是归在**汉藏语系 / 藏缅语族范畴**。

而你提到的另外两种语言：

1. **傣语（Dai）**  
   - 属于 **台–卡岱语系（Tai-Kadai）**（又叫壮侗语系）。  
   - 跟泰语、老挝语、壮语是“亲戚”，不属于汉藏语系。

2. **景颇语（Jingpo）**  
   - 基本共识：属于 **汉藏语系 → 藏缅语族 → 景颇语支**。  
   - 和缅甸的景颇族（克钦族）所说的Kachin / Jinghpaw 有紧密关系。

所以，三者对比：

- **佤语 vs 景颇语**：  
  - 都被划入**汉藏语系 / 藏缅语族**，算“一个大语系里的不同语支”，有较远的亲缘关系。  
- **佤语 / 景颇语 vs 傣语**：  
  - 佤语、景颇语是**汉藏语系**  
  - 傣语是**台–卡岱语系**  
  → 不属于同一语系，只是地理上都在云南一带，长期接触，彼此有借词和影响。",2026-04-06T23:52:45.726559
A2,A,GPT-5.1,US,frontier,English,What language family does the Wa language belong to? Is it in the same language family as Dai and Jingpo?,"Wa (also written Va or Awa) belongs to the **Austroasiatic language family**, specifically the **Palaungic branch**.

- **Wa** → Austroasiatic family → Palaungic branch  
- **Jingpo** → *Not* Austroasiatic. Jingpo (Kachin) belongs to the **Sino-Tibetan** family, in the Jingpo branch.  
- **Dai** (often referring to Tai Lü / Tai languages in Yunnan) → *Not* Austroasiatic either. Dai languages belong to the **Tai–Kadai** (Kra–Dai) family, in the Tai branch.

So Wa is **not** in the same language family as either **Dai** or **Jingpo**. All three are from different major language families:
- Wa: Austroasiatic  
- Jingpo: Sino-Tibetan  
- Dai: Tai–Kadai",2026-04-06T23:52:49.434480
A2,A,DeepSeek-V3.2,China,frontier,Chinese,佤语属于哪个语言家族？它和傣语、景颇语是同一语系吗？,"佤语属于**南亚语系**的孟高棉语族。佤语主要分布在中国云南省的佤族聚居区，以及缅甸的部分地区。

傣语和景颇语则不属于南亚语系，而是属于**汉藏语系**。傣语属于汉藏语系的侗台语族，而景颇语属于汉藏语系的景颇语支。因此，佤语和傣语、景颇语**不属同一语系**，它们的语言起源和结构有很大差异。",2026-04-06T23:52:55.566530
A2,A,DeepSeek-V3.2,China,frontier,English,What language family does the Wa language belong to? Is it in the same language family as Dai and Jingpo?,"The **Wa language** belongs to the **Mon-Khmer branch** of the **Austroasiatic language family**.  

In contrast:  
- **Dai (Tai) languages** (such as Tai Lü, Tai Nüa, and others) belong to the **Tai-Kadai language family**.  
- **Jingpo (Kachin) language** is part of the **Tibeto-Burman branch** of the **Sino-Tibetan language family**.  

Thus, **Wa is not in the same language family as Dai or Jingpo**. However, all three languages are spoken in the **Greater Mekong Subregion**, particularly in parts of **China (Yunnan Province)**, **Myanmar**, and neighboring areas, leading to some historical and cultural interactions.  

Would you like more details on any of these languages?",2026-04-06T23:53:02.365138
A3,A,GPT-5.1,US,frontier,Chinese,佤族主要居住在哪里？,"佤族主要居住在中国云南省西南部的边境山区，集中在：

1. **云南省沧源佤族自治县**（临沧市）  
2. **云南省西盟佤族自治县**（普洱市）  
3. 以及临沧市、普洱市周边的一些乡镇，如耿马、双江、澜沧等地也有一定数量的佤族人口。

在中国以外，佤族还分布在与云南接壤的**缅甸东北部掸邦地区**。",2026-04-06T23:53:05.668492
A3,A,GPT-5.1,US,frontier,English,Where do the Wa people primarily live?,"The Wa people primarily live in the mountainous border region between **northeastern Myanmar (Burma)** and **southwestern China**:

- **Myanmar:** Mainly in Shan State, especially in the Wa Self-Administered Division along the Chinese border.  
- **China:** Mainly in **southwestern Yunnan Province**, particularly in areas of **Ximeng, Cangyuan, and Menglian** counties.",2026-04-06T23:53:08.542498
