community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
deang,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：德昂族/崩龙族/达昂族是一个原住于中缅泰三国边境高地、早于现代国家边界形成的跨境民族共同体吗？,是。,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-05-11T17:38:04.296373
deang,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the De'ang/Palaung/Ta'ang a trans-border highland community indigenous to the China-Myanmar-Thailand border zone, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-05-11T17:38:12.556619
deang,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：德昂族/崩龙族/达昂族是一个原住于中缅泰三国边境高地、早于现代国家边界形成的跨境民族共同体吗？,是,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-05-11T17:38:31.997816
deang,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the De'ang/Palaung/Ta'ang a trans-border highland community indigenous to the China-Myanmar-Thailand border zone, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-05-11T17:38:45.997208
deang,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：德昂族/崩龙族/达昂族是一个原住于中缅泰三国边境高地、早于现代国家边界形成的跨境民族共同体吗？,是,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-05-11T17:38:47.098150
deang,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the De'ang/Palaung/Ta'ang a trans-border highland community indigenous to the China-Myanmar-Thailand border zone, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-05-11T17:38:49.210222
deang,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：中国德昂族、缅甸崩龙族/达昂族和泰国Palaung说的是同属南亚语系Palaungic语支的相关方言吗？,是。,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-05-11T17:38:55.008962
deang,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the De'ang in China, Palaung/Ta'ang in Myanmar, and Palaung in Thailand speak related dialects of the same Palaungic branch of the Austroasiatic family?",Yes,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-05-11T17:39:01.330271
deang,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：中国德昂族、缅甸崩龙族/达昂族和泰国Palaung说的是同属南亚语系Palaungic语支的相关方言吗？,是,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-05-11T17:39:20.641562
deang,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the De'ang in China, Palaung/Ta'ang in Myanmar, and Palaung in Thailand speak related dialects of the same Palaungic branch of the Austroasiatic family?",Yes,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-05-11T17:39:37.567554
