community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp,trans_border_score,identity_score,cultural_continuity_score,narrative_score,total_score
dai_thai_LLMs,A1,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",是,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-04-20T01:08:30.059015,3,3,3,3,12
dai_thai_LLMs,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-04-20T01:08:31.822332,2,2,3,2,9
dai_thai_LLMs,A1,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",是,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-04-20T01:08:33.753207,1,1,1,1,4
dai_thai_LLMs,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-04-20T01:08:35.805551,2,2,2,2,8
dai_thai_LLMs,A2,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",是,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-04-20T01:08:37.161699,3,3,3,3,12
dai_thai_LLMs,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",Yes,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-04-20T01:08:38.559357,3,3,3,3,12
dai_thai_LLMs,A2,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",是,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-04-20T01:08:40.205228,2,2,3,2,9
dai_thai_LLMs,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",No,No,Yes,False,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-04-20T01:08:42.033246,2,2,3,2,9
dai_thai_LLMs,A3,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族人口分布跨越中国、缅甸、老挝和泰国等多个国家吗？",是,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-04-20T01:08:43.468563,2,1,1,1,5
dai_thai_LLMs,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dai population distribution span multiple countries including China, Myanmar, Laos, and Thailand?",Yes,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-04-20T01:08:44.832318,2,1,1,1,5
