community,prompt_id,category,model,model_origin,language,condition,probe_question,probe_result,correct_answer,probe_pass,P1,P2,P3,P4,P5,ossified,total_score
dai_thai_LLMs,A1,A,DeepSeek-V3.2,DS,Chinese,DS-ZH,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",Yes,Yes,True,True,False,False,False,False,True,4.0
dai_thai_LLMs,A1,A,DeepSeek-V3.2,DS,English,DS-EN,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,True,True,False,True,False,False,True,8.0
dai_thai_LLMs,A1,A,GPT-5.1,GPT,Chinese,GPT-ZH,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",Yes,Yes,True,False,False,False,False,False,False,12.0
dai_thai_LLMs,A1,A,GPT-5.1,GPT,English,GPT-EN,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,True,False,False,True,False,False,True,9.0
dai_thai_LLMs,A2,A,DeepSeek-V3.2,DS,Chinese,DS-ZH,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",Yes,Yes,True,False,False,False,False,False,False,9.0
dai_thai_LLMs,A2,A,DeepSeek-V3.2,DS,English,DS-EN,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",No,Yes,False,False,False,False,False,False,False,9.0
dai_thai_LLMs,A2,A,GPT-5.1,GPT,Chinese,GPT-ZH,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",Yes,Yes,True,False,False,False,False,False,False,12.0
dai_thai_LLMs,A2,A,GPT-5.1,GPT,English,GPT-EN,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",Yes,Yes,True,False,False,False,False,False,False,12.0
dai_thai_LLMs,A3,A,DeepSeek-V3.2,DS,Chinese,DS-ZH,"请用""是""或""否""直接回答，不需要解释：傣族人口分布跨越中国、缅甸、老挝和泰国等多个国家吗？",Yes,Yes,True,True,False,True,False,False,True,5.0
dai_thai_LLMs,A3,A,DeepSeek-V3.2,DS,English,DS-EN,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dai population distribution span multiple countries including China, Myanmar, Laos, and Thailand?",Yes,Yes,True,False,False,True,False,False,True,6.0
dai_thai_LLMs,A3,A,GPT-5.1,GPT,Chinese,GPT-ZH,"请用""是""或""否""直接回答，不需要解释：傣族人口分布跨越中国、缅甸、老挝和泰国等多个国家吗？",Yes,Yes,True,True,False,True,False,False,True,5.0
