prompt_id,condition,probe,tag,TB,ID,CC,NR,total
A1,GPT-ZH,Yes,[LOW],2.0,1.0,1.0,1.0,5.0
A1,GPT-EN,Yes,[ OK],2.0,2.0,2.0,2.0,8.0
A1,DS-ZH,Yes,[LOW],2.0,1.0,1.0,1.0,5.0
A1,DS-EN,Yes,[ OK],3.0,2.0,2.0,3.0,10.0
A2,GPT-ZH,Yes,[LOW],1.0,1.0,1.0,1.0,4.0
A2,GPT-EN,Yes,[LOW],1.0,1.0,1.0,1.0,4.0
A2,DS-ZH,No,[KLD],1.0,1.0,1.0,1.0,4.0
A2,DS-EN,Yes,[LOW],2.0,1.0,1.0,1.0,5.0
A3,GPT-ZH,Yes,[LOW],2.0,1.0,1.0,1.0,5.0
A3,GPT-EN,Yes,[ OK],3.0,1.0,1.0,3.0,8.0
A3,DS-ZH,Yes,[LOW],2.0,1.0,1.0,1.0,5.0
A3,DS-EN,No,[KLD],3.0,1.0,1.0,3.0,8.0
B1,GPT-ZH,Yes,[ OK],3.0,3.0,3.0,3.0,12.0
B1,GPT-EN,Yes,[ OK],3.0,3.0,3.0,3.0,12.0
B1,DS-ZH,No,[KLD],3.0,3.0,3.0,3.0,12.0
B1,DS-EN,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
B2,GPT-ZH,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
B2,GPT-EN,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
B2,DS-ZH,No,[KLD],3.0,2.0,2.0,2.0,9.0
B2,DS-EN,Yes,[ OK],3.0,2.0,2.0,2.0,9.0
B3,GPT-ZH,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
B3,GPT-EN,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
B3,DS-ZH,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
B3,DS-EN,No,[KLD],3.0,2.0,3.0,3.0,11.0
C1,GPT-ZH,Yes,[LOW],2.0,2.0,1.0,2.0,7.0
C1,GPT-EN,Yes,[ OK],3.0,3.0,2.0,3.0,11.0
C1,DS-ZH,Yes,[LOW],2.0,2.0,1.0,2.0,7.0
C1,DS-EN,Unknown,[UNK],3.0,3.0,2.0,3.0,11.0
C2,GPT-ZH,No,[KLD],3.0,3.0,2.0,3.0,11.0
C2,GPT-EN,Yes,[ OK],3.0,3.0,2.0,3.0,11.0
C2,DS-ZH,No,[KLD],1.0,1.0,1.0,1.0,4.0
C2,DS-EN,Yes,[ OK],3.0,3.0,2.0,3.0,11.0
D1,GPT-ZH,Yes,[ OK],3.0,2.0,2.0,2.0,9.0
D1,GPT-EN,Yes,[ OK],3.0,2.0,3.0,3.0,12.0
D1,DS-ZH,Yes,[LOW],2.0,1.0,1.0,1.0,5.0
D1,DS-EN,Unknown,[UNK],3.0,2.0,2.0,3.0,10.0
D2,GPT-ZH,No,[KLD],1.0,1.0,1.0,1.0,4.0
D2,GPT-EN,No,[KLD],-,-,-,-,-
D2,DS-ZH,No,[KLD],1.0,1.0,1.0,1.0,4.0
D2,DS-EN,Unknown,[UNK],3.0,1.0,2.0,2.0,8.0
D3,GPT-ZH,No,[KLD],3.0,2.0,3.0,3.0,11.0
D3,GPT-EN,Yes,[ OK],3.0,2.0,3.0,3.0,11.0
D3,DS-ZH,No,[KLD],1.0,1.0,1.0,1.0,4.0
D3,DS-EN,No,[KLD],3.0,2.0,3.0,3.0,11.0
