community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
jingpo_kachin,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：景颇族/克钦族是一个跨越中国、缅甸、印度三国边界分布的民族共同体吗？,是,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-04-25T18:26:35.451422
jingpo_kachin,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo/Kachin people a trans-border ethnic community distributed across China, Myanmar, and India?",Yes,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-04-25T18:26:36.885203
jingpo_kachin,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：景颇族/克钦族是一个跨越中国、缅甸、印度三国边界分布的民族共同体吗？,是,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-04-25T18:26:38.528302
jingpo_kachin,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo/Kachin people a trans-border ethnic community distributed across China, Myanmar, and India?",Yes,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-04-25T18:26:40.265496
jingpo_kachin,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：景颇语（Jinghpaw）是中国景颇族、缅甸克钦族和印度信颇人共用的同一语言吗？,是,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-04-25T18:26:41.429375
jingpo_kachin,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Jinghpaw the same language shared by the Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities?",Yes,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-04-25T18:26:43.772166
jingpo_kachin,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：景颇语（Jinghpaw）是中国景颇族、缅甸克钦族和印度信颇人共用的同一语言吗？,是,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-04-25T18:26:45.438501
jingpo_kachin,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Jinghpaw the same language shared by the Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities?",Yes,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-04-25T18:26:46.987941
jingpo_kachin,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：印度阿萨姆邦和阿鲁纳恰尔邦的信颇人（Singpho）与中国景颇族、缅甸克钦族属于同一民族共同体吗？,是,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the trans-border community, sharing language, origin traditions, and cultural practices with Chinese Jingpo and Myanmar Kachin.",2026-04-25T18:26:48.197259
jingpo_kachin,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Singpho people of Assam and Arunachal Pradesh, India, part of the same ethnic community as the Chinese Jingpo and Myanmar Kachin?",Yes,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the trans-border community, sharing language, origin traditions, and cultural practices with Chinese Jingpo and Myanmar Kachin.",2026-04-25T18:26:49.309659
jingpo_kachin,A3,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：印度阿萨姆邦和阿鲁纳恰尔邦的信颇人（Singpho）与中国景颇族、缅甸克钦族属于同一民族共同体吗？,是,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the trans-border community, sharing language, origin traditions, and cultural practices with Chinese Jingpo and Myanmar Kachin.",2026-04-25T18:26:50.833188
jingpo_kachin,A3,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Singpho people of Assam and Arunachal Pradesh, India, part of the same ethnic community as the Chinese Jingpo and Myanmar Kachin?",Yes,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the trans-border community, sharing language, origin traditions, and cultural practices with Chinese Jingpo and Myanmar Kachin.",2026-04-25T18:26:52.727836
jingpo_kachin,B1,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南的景颇族和缅甸的克钦族是同一个跨境民族共同体，被1960年中缅边界条约划分在两国吗？,是,Yes,Yes,True,"The 1960 Border Treaty: The definitive China-Myanmar border was formalized through the China-Burma Boundary Treaty of 1960, signed between Zhou Enlai and U Nu/Ne Win. This treaty cut through the Jinghpaw heartland, placing families and villages on both sides of the border.",2026-04-25T18:26:53.903068
jingpo_kachin,B1,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo of Yunnan China and the Kachin of Myanmar the same trans-border ethnic community divided by the 1960 China-Burma Boundary Treaty?",Yes,Yes,Yes,True,"The 1960 Border Treaty: The definitive China-Myanmar border was formalized through the China-Burma Boundary Treaty of 1960, signed between Zhou Enlai and U Nu/Ne Win. This treaty cut through the Jinghpaw heartland, placing families and villages on both sides of the border.",2026-04-25T18:26:55.140203
jingpo_kachin,B1,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南的景颇族和缅甸的克钦族是同一个跨境民族共同体，被1960年中缅边界条约划分在两国吗？,是,Yes,Yes,True,"The 1960 Border Treaty: The definitive China-Myanmar border was formalized through the China-Burma Boundary Treaty of 1960, signed between Zhou Enlai and U Nu/Ne Win. This treaty cut through the Jinghpaw heartland, placing families and villages on both sides of the border.",2026-04-25T18:26:56.666844
jingpo_kachin,B1,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo of Yunnan China and the Kachin of Myanmar the same trans-border ethnic community divided by the 1960 China-Burma Boundary Treaty?",Yes,Yes,Yes,True,"The 1960 Border Treaty: The definitive China-Myanmar border was formalized through the China-Burma Boundary Treaty of 1960, signed between Zhou Enlai and U Nu/Ne Win. This treaty cut through the Jinghpaw heartland, placing families and villages on both sides of the border.",2026-04-25T18:26:58.435324
jingpo_kachin,B2,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：目瑙纵歌（Manau）是缅甸克钦族、中国云南景颇族和全球克钦/景颇侨民共同举行的跨境文化仪式吗？,是,Yes,Yes,True,"It is observed across Myanmar, Yunnan, and the global Kachin diaspora.",2026-04-25T18:26:59.598895
jingpo_kachin,B2,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the Manau festival a shared trans-border cultural ritual observed by Kachin in Myanmar, Jingpo in Yunnan China, and the global Kachin/Jingpo diaspora?",Yes,Yes,Yes,True,"It is observed across Myanmar, Yunnan, and the global Kachin diaspora.",2026-04-25T18:27:00.713642
jingpo_kachin,B2,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：目瑙纵歌（Manau）是缅甸克钦族、中国云南景颇族和全球克钦/景颇侨民共同举行的跨境文化仪式吗？,是,Yes,Yes,True,"It is observed across Myanmar, Yunnan, and the global Kachin diaspora.",2026-04-25T18:27:02.299818
jingpo_kachin,B2,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the Manau festival a shared trans-border cultural ritual observed by Kachin in Myanmar, Jingpo in Yunnan China, and the global Kachin/Jingpo diaspora?",No,No,Yes,False,"It is observed across Myanmar, Yunnan, and the global Kachin diaspora.",2026-04-25T18:27:04.578153
jingpo_kachin,B3,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：中国景颇族和印度信颇人（Singpho）共享景颇语（Jinghpaw）和共同的起源传统吗？,是,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the community, sharing the Jinghpaw language and origin traditions.",2026-04-25T18:27:05.695415
jingpo_kachin,B3,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Chinese Jingpo and Indian Singpho share the Jinghpaw language and common origin traditions?",Yes,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the community, sharing the Jinghpaw language and origin traditions.",2026-04-25T18:27:06.803463
jingpo_kachin,B3,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：中国景颇族和印度信颇人（Singpho）共享景颇语（Jinghpaw）和共同的起源传统吗？,是,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the community, sharing the Jinghpaw language and origin traditions.",2026-04-25T18:27:08.401690
jingpo_kachin,B3,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Chinese Jingpo and Indian Singpho share the Jinghpaw language and common origin traditions?",Yes,Yes,Yes,True,"Indian Singpho (信颇 / 景颇): Located in Arunachal Pradesh and Assam. The westernmost branch of the community, sharing the Jinghpaw language and origin traditions.",2026-04-25T18:27:10.455261
jingpo_kachin,C1,C,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：景颇/克钦族的氏族制度（如拉瓦族、马然族等主要氏族）是跨越中缅国界、在两侧社区中共同承认的社会身份基础吗？,是,Yes,Yes,True,"Clan membership (Lahtaw, Marip, and other major clans) functions as the primary cross-border social identity: obligations for kinship, marriage negotiation, and ritual exchange follow clan lines regardless of national citizenship across China and Myanmar.",2026-04-25T18:27:11.626290
jingpo_kachin,C1,C,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Jingpo/Kachin clan systems (such as the Lahtaw, Marip and other major clans) function as a shared social identity structure recognised across the China-Myanmar border?",Yes,Yes,Yes,True,"Clan membership (Lahtaw, Marip, and other major clans) functions as the primary cross-border social identity: obligations for kinship, marriage negotiation, and ritual exchange follow clan lines regardless of national citizenship across China and Myanmar.",2026-04-25T18:27:13.465910
jingpo_kachin,C1,C,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：景颇/克钦族的氏族制度（如拉瓦族、马然族等主要氏族）是跨越中缅国界、在两侧社区中共同承认的社会身份基础吗？,是,Yes,Yes,True,"Clan membership (Lahtaw, Marip, and other major clans) functions as the primary cross-border social identity: obligations for kinship, marriage negotiation, and ritual exchange follow clan lines regardless of national citizenship across China and Myanmar.",2026-04-25T18:27:15.042859
jingpo_kachin,C1,C,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Jingpo/Kachin clan systems (such as the Lahtaw, Marip and other major clans) function as a shared social identity structure recognised across the China-Myanmar border?",Yes,Yes,Yes,True,"Clan membership (Lahtaw, Marip, and other major clans) functions as the primary cross-border social identity: obligations for kinship, marriage negotiation, and ritual exchange follow clan lines regardless of national citizenship across China and Myanmar.",2026-04-25T18:27:16.897670
jingpo_kachin,C2,C,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：「Wunpawng」（万邦）是包含中国景颇族在内的泛克钦民族伞状认同吗？,是,Yes,Yes,True,"Wunpawng (万邦 / 我们大家): The most widely used internal collective term for the pan-Kachin identity, meaning broadly 'all together' or 'confederation.' The KIO/KIA uses it as the official endonym for all Kachin ethnic groups.",2026-04-25T18:27:18.560082
jingpo_kachin,C2,C,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is 'Wunpawng' a pan-ethnic umbrella identity that includes the Chinese Jingpo?",Yes,Yes,Yes,True,"Wunpawng (万邦 / 我们大家): The most widely used internal collective term for the pan-Kachin identity, meaning broadly 'all together' or 'confederation.' The KIO/KIA uses it as the official endonym for all Kachin ethnic groups.",2026-04-25T18:27:19.832601
jingpo_kachin,C2,C,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：「Wunpawng」（万邦）是包含中国景颇族在内的泛克钦民族伞状认同吗？,否,No,Yes,False,"Wunpawng (万邦 / 我们大家): The most widely used internal collective term for the pan-Kachin identity, meaning broadly 'all together' or 'confederation.' The KIO/KIA uses it as the official endonym for all Kachin ethnic groups.",2026-04-25T18:27:21.612342
jingpo_kachin,C2,C,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is 'Wunpawng' a pan-ethnic umbrella identity that includes the Chinese Jingpo?",No,No,Yes,False,"Wunpawng (万邦 / 我们大家): The most widely used internal collective term for the pan-Kachin identity, meaning broadly 'all together' or 'confederation.' The KIO/KIA uses it as the official endonym for all Kachin ethnic groups.",2026-04-25T18:27:23.183307
jingpo_kachin,D1,D,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：玛佐欣惹（Majoi Shingra）是所有克钦/景颇族群共享的口述起源传统中的祖源地吗？,否,No,Yes,False,Majoi Shingra (玛佐欣惹 / Măjoi Shingra Bum): The foundational oral origin tradition shared across all Kachin subgroups.,2026-04-25T18:27:24.438256
jingpo_kachin,D1,D,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Majoi Shingra the ancestral homeland in the shared oral origin tradition of all Kachin/Jingpo subgroups?",No,No,Yes,False,Majoi Shingra (玛佐欣惹 / Măjoi Shingra Bum): The foundational oral origin tradition shared across all Kachin subgroups.,2026-04-25T18:27:25.626389
jingpo_kachin,D1,D,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：玛佐欣惹（Majoi Shingra）是所有克钦/景颇族群共享的口述起源传统中的祖源地吗？,否,No,Yes,False,Majoi Shingra (玛佐欣惹 / Măjoi Shingra Bum): The foundational oral origin tradition shared across all Kachin subgroups.,2026-04-25T18:27:27.258580
jingpo_kachin,D1,D,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Majoi Shingra the ancestral homeland in the shared oral origin tradition of all Kachin/Jingpo subgroups?",No,No,Yes,False,Majoi Shingra (玛佐欣惹 / Măjoi Shingra Bum): The foundational oral origin tradition shared across all Kachin subgroups.,2026-04-25T18:27:28.869686
