community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
lahu,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜族是一个沿澜沧江—湄公河走廊跨越中国、缅甸、泰国、老挝分布的跨境民族共同体吗？,是,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-05-10T00:04:42.042164
lahu,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lahu a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos?",Yes,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-05-10T00:04:46.452170
lahu,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜族是一个沿澜沧江—湄公河走廊跨越中国、缅甸、泰国、老挝分布的跨境民族共同体吗？,是,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-05-10T00:04:58.831145
lahu,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lahu a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos?",Yes,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-05-10T00:05:08.337783
lahu,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜族是一个沿澜沧江—湄公河走廊跨越中国、缅甸、泰国、老挝分布的跨境民族共同体吗？,是,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-05-10T00:05:10.033575
lahu,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lahu a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos?",Yes,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-05-10T00:05:11.452794
lahu,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜语在中国云南和缅甸、泰国、老挝的拉祜社区中是相互可通的同一语言吗？,否,No,Yes,False,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-05-10T00:05:16.210105
lahu,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Lahu spoken as a mutually intelligible language across Lahu communities in Yunnan China, Myanmar, Thailand, and Laos?",No,No,Yes,False,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-05-10T00:05:20.926032
lahu,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜语在中国云南和缅甸、泰国、老挝的拉祜社区中是相互可通的同一语言吗？,是,Yes,Yes,True,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-05-10T00:05:37.490804
lahu,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Lahu spoken as a mutually intelligible language across Lahu communities in Yunnan China, Myanmar, Thailand, and Laos?",No,No,Yes,False,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-05-10T00:05:49.525181
lahu,A2,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜语在中国云南和缅甸、泰国、老挝的拉祜社区中是相互可通的同一语言吗？,是,Yes,Yes,True,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-05-10T00:05:51.087811
