prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,Gemini-3.1-Pro,US,robustness,Chinese,德昂族是什么？,**德昂族**（拼音：Dé'áng zú）是中国55个少数民族之一，也是一个具有悠久历史,2026-05-06T16:53:41.937991
A1,A,Gemini-3.1-Pro,US,robustness,English,What are the De'ang people?," Sour tea (pickled tea, *lahpet* in Myanmar) is a cultural staple. Drinking and chewing tea is central to social life and ceremonies.

",2026-05-06T16:53:53.122557
A1,A,Qwen3.6-Max,China,robustness,Chinese,德昂族是什么？,"**德昂族**是中国官方认定的56个民族之一，属于人口较少的少数民族。以下是关于德昂族的基本概况：

### 📍 分布与人口
- **主要分布**：云南省西南部，集中在德宏傣族景颇族自治州（芒市、瑞丽、陇川等）、保山市、临沧市、普洱市及西双版纳州的部分山区。
- **人口规模**：据2020年第七次全国人口普查，德昂族人口为**22,893人**，是中国28个人口较少民族之一。

### 📜 历史与族称
- 德昂族是古代西南“濮人”的后裔，汉唐时期史籍中已有相关记载。
- 历史上长期被称作**“崩龙族”**。1985年，根据本民族意愿，经国务院批准正式更名为**“德昂族”**。“德昂”在本民族语言中有“山崖”“岩洞”之意，反映了先民依山穴居、傍山而耕的历史记忆。

### 🗣️ 语言与文字
- 使用**德昂语**，属南亚语系孟-高棉语族（部分学者归入佤德昂语支），分布雷、汝买、梁等方言。
- 无传统文字，现通用汉文，部分群众兼通傣语或景颇语。

### 🙏 宗教信仰
- 普遍信仰**南传上座部佛教**，村寨多建有佛寺，男性儿童有短期出家习俗。
- 同时保留对自然、祖先、寨神和谷魂的原始崇拜，佛教与民间信仰在日常生活中交融。

### 🎨 文化特色
- **茶文化**：德昂族被誉为**“古老的茶农”**，种茶、制茶历史可追溯千年。茶不仅是经济作物，更是待客、婚嫁、祭祀、调解纠纷的重要媒介。“酸茶”制作技艺已被列入国家级非物质文化遗产。
- **服饰**：女性传统服饰以深色对襟上衣、长筒裙为基底，最显著特征是佩戴多层**藤篾或银制“腰箍”**，象征勤劳与美丽；头饰、银泡、银耳筒等工艺精美。
- **建筑**：传统民居为**干栏式竹木楼**，底层架空防潮防兽，上层居住，适应热带亚热带山地气候。
- **节日**：主要节日有**浇花水节（泼水节）**、关门节、开门节等。德昂族的泼水节更侧重“采花供佛”“为长者洗手洗脚”等敬老祈福仪式，与傣族习俗同源但风格更古朴内敛。
- **艺术**：民间古歌、水鼓舞、铓锣舞、织锦与竹编工艺具有鲜明山地民族特色。《德昂族古歌》已列入国家级非遗名录。

### 🏛️ 现状与保护
- 国家在德昂族聚居区设立了多个民族乡（如芒市三台山德昂族乡），实施人口较少民族扶持政策，在教育、交通、产业、民居改造等方面给予专项支持。
- 政府与学界合作开展语言记录、非遗传承、茶文化保护等工作，德昂族传统文化正逐步实现活态传承与可持续发展。

如需了解某一具体方面（如语言方言分布、酸茶制作工艺、节日仪式细节、历史迁徙脉络等），可告知，我将提供针对性补充。",2026-05-06T16:55:06.153473
A1,A,Qwen3.6-Max,China,robustness,English,What are the De'ang people?,"The **De'ang** (德昂族) are an ethnic group primarily residing in the mountainous border regions of southwestern China's Yunnan Province, with closely related communities known as the **Palaung** or **Ta'ang** in Myanmar. They are one of China's 56 officially recognized ethnic minorities.

### 🌍 Population & Distribution
- **In China:** Approximately 22,000 (2020 national census), concentrated in Dehong, Baoshan, Lincang, and Pu'er prefectures.
- **In Myanmar:** Several hundred thousand, mainly in northern Shan State. Smaller diaspora communities exist in Thailand and Laos.
- The group is split by modern national borders but shares a common ethnolinguistic heritage.

### 🗣️ Language & Origins
- **Language:** De'ang belongs to the **Austroasiatic** family, specifically the **Palaungic branch** of the Mon-Khmer group. It has several mutually intelligible dialects. Most De'ang in China are bilingual or trilingual, also speaking Chinese, Dai, or Jingpho.
- **Origins:** Historically linked to the ancient ""Pu"" (濮) peoples mentioned in Chinese records over a millennium ago. They are among the indigenous highland groups of the Yunnan-Myanmar frontier, with centuries of cross-border migration and trade.

### 🎭 Culture & Traditions
- **Religion:** Predominantly **Theravada Buddhism**, deeply interwoven with animist practices, ancestor veneration, and nature spirits. A minority have converted to Christianity in recent decades.
- **Tea Culture:** The De'ang are renowned as **ancient tea cultivators**. Oral traditions and historical records credit them with early domestication and processing of tea in the region, particularly around Pu'er and Lincang. Tea plays a central role in rituals, hospitality, and economy.
- **Traditional Dress:** Women wear dark, fitted jackets, brightly striped ankle-length skirts, and distinctive silver neck coils, belts, and headpieces. Men's attire is simpler, typically dark tunics and wide-leg trousers. Clothing styles vary by sub-group and locality.
- **Festivals:** They celebrate the **Water-Splashing Festival** (shared with neighboring Dai communities), their own **New Year/harvest festivals** (often featuring bronze drum dancing, tea offerings, and folk songs), and Buddhist holidays like Vassa (Buddhist Lent) and Kathina.
- **Livelihood & Architecture:** Traditionally practice terraced farming, tea cultivation, and bamboo handicrafts. Homes are typically wooden or bamboo stilt houses adapted to the humid, mountainous environment.

### 📜 Modern Context
- **In China:** Recognized as a distinct minority since 1985 (the name ""De'ang"" replaced the older term ""Benglong""). They benefit from China's ethnic minority policies supporting education, infrastructure, and cultural preservation, though they face challenges like language shift, youth migration, and economic marginalization.
- **In Myanmar:** Known as Palaung or Ta'ang, they have been significantly affected by decades of armed conflict, displacement, and political marginalization. Several civil society and armed groups advocate for cultural rights, development, and varying degrees of autonomy.
- **Cultural Preservation:** Efforts are underway in both countries to document the De'ang/Palaung language, traditional tea practices, music, and oral histories, often supported by academics, NGOs, and community leaders.

### 🔍 Note on Names
- **De'ang** = Official Chinese designation
- **Benglong** = Historical Chinese term (replaced in 1985)
- **Palaung / Ta'ang** = Names used in Myanmar and international literature",2026-05-06T16:56:17.268991
A1,A,Claude-Sonnet,US,robustness,Chinese,德昂族是什么？,"# 德昂族

德昂族（De'ang people）是中国的一个**少数民族**，也是云南省特有的少数民族之一。

## 基本概况

- **人口**：约2万余人（人口较少的民族之一）
- **主要分布**：云南省西部，集中在**德宏傣族景颇族自治州**和**保山市**等地
- **语言**：德昂语，属南亚语系孟-高棉语族

## 历史

- 德昂族是云南最古老的土著民族之一，历史上曾被称为""崩龙族""
- **1985年**正式更名为""德昂族""
- 与古代**濮人**有渊源关系

## 文化特色

- **茶文化**：德昂族被称为""古老的茶农""，有悠久的种茶、饮茶传统
- **服饰**：女性以彩色腰箍（藤篾圈）为特色装饰
- **宗教**：普遍信仰**南传上座部佛教**（小乘佛教）
- **节日**：有泼水节、做摆等传统节日

## 跨境分布

德昂族在**缅甸**也有分布，缅甸称其为""崩龙族""（Palaung）。

德昂族文化独特，是研究东南亚古代民族历史的重要族群之一。",2026-05-06T16:56:28.175414
A1,A,Claude-Sonnet,US,robustness,English,What are the De'ang people?,"The De'ang (also written as Deang, and previously known as Benglong or崩龙) are an ethnic group primarily found in Yunnan Province in southwestern China, particularly in the Dehong Dai and Jingpo Autonomous Prefecture and surrounding areas. They are one of China's 56 officially recognized ethnic groups.

Some key aspects of the De'ang people include:

- **Population**: They are a relatively small ethnic group, with a population of around 20,000 people in China. Related groups also live across the border in Myanmar (Burma), Thailand, and other parts of mainland Southeast Asia.

- **Language**: They speak De'ang languages, which belong to the Mon-Khmer branch of the Austroasiatic language family, making them linguistically related to groups like the Mon and Khmer peoples.

- **Religion**: Most De'ang people practice Theravada Buddhism, which has a strong influence on their culture and daily life.

- **Culture**: They are known for their distinctive traditional clothing, particularly the colorful rattan or bamboo waist hoops worn by women. They also have rich oral traditions and music.

- **Economy**: Traditionally they have been involved in agriculture, including the cultivation of tea, which holds cultural significance for them.

- **History**: They are considered one of the older indigenous groups of the region, with historical ties to ancient cultures of mainland Southeast Asia.",2026-05-06T16:56:36.351476
A2,A,Gemini-3.1-Pro,US,robustness,Chinese,德昂语属于哪个语言家族？它和傣语是同一语系吗？,"*   *Review and Refine (Self-Correction during drafting):*
        *   *Check:* Did I explain the Chinese linguistic classification clearly? In",2026-05-06T16:56:47.433904
A2,A,Gemini-3.1-Pro,US,robustness,English,What language family does the De'ang language belong to? Is it in the same language family as the Dai language?,"The **De'ang language** belongs to the **Austroasiatic language family**. Specifically, it is part of the Palaungic branch of this family. (In Myanmar, the De'ang people and their language are commonly known",2026-05-06T16:56:57.682699
A2,A,Qwen3.6-Max,China,robustness,Chinese,德昂语属于哪个语言家族？它和傣语是同一语系吗？,"**德昂语的谱系归属**
德昂语属于**南亚语系**（Austroasiatic）的**孟-高棉语族**，具体划归**佤德昂语支**（部分文献也称“布朗语支”）。该语系主要分布于中南半岛及中国云南西南部，同语族的语言还包括佤语、布朗语、高棉语、越南语等。

**与傣语是否同语系？**
**不是同一语系。** 傣语属于**侗台语系**（Kra-Dai，中国早期语言学曾将其归入“汉藏语系壮侗语族”，但现代国际语言学已普遍将其列为独立语系）的**台语支**。与傣语亲缘关系最近的是泰语、老挝语、壮语、侗语等。

**补充说明**
- **谱系距离远**：南亚语系与侗台语系在起源、核心词汇、音系结构及语法类型上均无发生学关联，属于完全不同的语言家族。
- **地理相邻≠语言同源**：德昂族与傣族在云南德宏、临沧等地长期毗邻而居，文化、宗教（如南传佛教）及日常借词有一定互动，但这属于语言接触现象，并不改变两者底层谱系的独立性。
- **分类提示**：国内部分旧版教材仍将侗台语系暂挂于汉藏语系下，但无论采用传统还是现代分类，德昂语（南亚语系）与傣语（侗台语系）始终分属不同语系。

如需了解两种语言在语音、语法或词汇上的具体差异，可进一步提供对比方向。",2026-05-06T16:57:36.942736
A2,A,Qwen3.6-Max,China,robustness,English,What language family does the De'ang language belong to? Is it in the same language family as the Dai language?,"The **De'ang language** (also known historically as Palaung or Benglong) belongs to the **Austroasiatic language family**, specifically within the **Palaungic branch** of the Mon-Khmer group.

**No, it is not in the same language family as the Dai language.** The Dai language (along with Thai, Lao, Shan, and Zhuang) belongs to the **Kra-Dai language family** (also called Tai-Kadai), specifically the Southwestern Tai branch.

While De'ang and Dai speakers live in geographically adjacent regions (primarily Yunnan Province in China and neighboring parts of Myanmar, Laos, and Thailand) and have experienced centuries of cultural and linguistic contact, their languages are **genetically unrelated**. Any similarities in vocabulary or phonology are the result of borrowing and areal influence, not shared ancestry.

**Summary:**
- 🔹 De'ang: Austroasiatic > Mon-Khmer > Palaungic
- 🔹 Dai: Kra-Dai (Tai-Kadai) > Tai > Southwestern Tai
- 🔸 Different language families; no genealogical relationship.",2026-05-06T16:58:07.047286
