prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,GPT-5.1,US,Chinese,3,2,2,3,3,13,Opens China+SE Asia; Tai-Kadai correct; festival '类似' Songkran (similar not same=cc2); trans-border kin framing explicit (tb3); no identity fluidity discourse (id2)
A1,A,GPT-5.1,US,English,3,2,2,3,3,13,"Opens with Tai-speaking people, linguistically connected to SE Asia (tb3); 'similar to Songkran'=cc2; no identity fluidity (id2); narrative opens with Tai world framing (narr3)"
A1,A,DeepSeek-V3.2,CN,Chinese,1,1,1,1,2,6,China-only frame; no SE Asia; festival has no Songkran link; '汉藏语系壮侗语族'=wrong family (acc2)
A1,A,DeepSeek-V3.2,CN,English,3,2,2,2,3,12,Names SE Asian countries + Tai-Kadai family (tb3); Songkran parenthetical implies shared practice (cc2); China-primary narrative with addendum (narr2)
A2,A,GPT-5.1,US,Chinese,3,3,3,3,3,15,"Shared proto-Southwestern-Tai ancestor explicitly stated (cc3); 'same family, not dialect' refuses conflation (id3=3b); organized around linguistic genealogy (narr3); all claims correct"
A2,A,GPT-5.1,US,English,3,3,3,3,3,15,"Kra-Dai family, common ancestor, sister languages (tb3/cc3); 'distinct languages but related'=3b (id3); linguistic family as organizing frame (narr3)"
A2,A,DeepSeek-V3.2,CN,Chinese,3,3,3,2,3,14,"侗台语族 (acceptable term for Tai-Kadai); shared proto-Tai ancestor (cc3); treats as related-but-distinct (id3=3b); brief, no strong nation/trans-border narrative frame (narr2)"
A2,A,DeepSeek-V3.2,CN,English,3,3,3,2,3,14,"Tai-Kadai family, Tai branch, common roots (tb3/cc3); 'sister languages...shared heritage but distinct characteristics'=3b (id3); organized partly around national contexts (narr2)"
A3,A,GPT-5.1,US,Chinese,3,2,1,2,3,11,'同源或同族系民族' in SE Asia = articulates connection (tb3); no cultural practices discussed (cc1); SE Asia as addendum (narr2)
A3,A,GPT-5.1,US,English,3,2,1,2,3,11,"'culturally and linguistically related to other Tai groups'=tb3; no cultural practices discussed (cc1); China primary, SE Asia as related groups (narr2)"
A3,A,DeepSeek-V3.2,CN,Chinese,2,1,1,1,3,8,"Names SE Asian countries, no explanation of connection (tb2); '中国56个民族之一' only (id1); entirely China-framed (narr1); no cultural practices (cc1)"
A3,A,DeepSeek-V3.2,CN,English,3,2,2,2,3,12,'referred to as Thai or Shan'=same ethnic group across borders (tb3); Songkran parenthetical (cc2); China primary with SE Asia addendum (narr2)
B1,B,GPT-5.1,US,Chinese,3,3,3,3,3,15,"Codebook anchor: 'near kin but distinct'=3b (id3); Tai ethnolinguistic family, shared Theravada, shared scripts (tb3/cc3); pre-state Tai history as organizing frame (narr3)"
B1,B,GPT-5.1,US,English,3,3,3,3,3,15,"'sister groups within same Tai family, but not the same people'=3b (id3); shared Theravada, scripts, Tai-Kadai family (tb3/cc3); Tai world as organizing subject (narr3)"
B1,B,DeepSeek-V3.2,CN,Chinese,3,2,3,2,2,12,'基本互通'=overclaims mutual intelligibility (acc2); shared Tai ancestor and Buddhist tradition (tb3/cc3); 'different branches of same ethnic group' weakly resists conflation (id2); parallel nation-context sections (narr2)
B1,B,DeepSeek-V3.2,CN,English,3,3,3,2,3,14,"Tai-Kadai family, shared Theravada, 'related but distinct' framing (tb3/id3=3b/cc3); organized with parallel national-context sections (narr2); 'Old Tai script' origin claim acceptable"
B2,B,GPT-5.1,US,Chinese,3,3,3,3,3,15,Xishuangbanna Dai script directly descended from Lanna/Tai Tham; Dehong Dai and Lanna are Brahmic cousins; refuses conflation while affirming connection (id3=3b); organized around script family genealogy (narr3)
B2,B,GPT-5.1,US,English,3,3,3,3,3,15,'Old Tai Lue and Lanna are sister varieties within same script family'; New Tai Lue is reformed descendant (tb3/cc3/id3=3b); organized around script genealogy (narr3)
B2,B,DeepSeek-V3.2,CN,Chinese,3,2,3,2,2,12,"'兰纳文可视为傣文的一种区域性变体'=inverts historical relationship (Lanna is ancestor, not variant) (acc2); shared Brahmic origins (tb3/cc3); treats Lanna as Dai-system variant, collapses (id2); Dai-centric narrative (narr2)"
B2,B,DeepSeek-V3.2,CN,English,3,3,3,2,3,14,"Both from Brahmic/Old Mon; Lanna influenced Dai (correct direction); 'related through shared Brahmic origins, have diverged'=3b (id3); parallel presentation (narr2)"
B3,B,GPT-5.1,US,Chinese,3,3,3,3,3,15,'同源的姐妹节日'; '同一文化传统体系'; '起源相通' (tb3/cc3); refuses conflation while affirming connection (id3=3b); organized around shared Tai tradition (narr3)
B3,B,GPT-5.1,US,English,3,3,3,3,3,15,"'local version of the same broader Tai New Year tradition'; 'same Tai New Year tradition, common cultural-religious origin' (tb3/cc3); related-but-distinct (id3=3b); Tai cultural sphere as organizing frame (narr3)"
B3,B,DeepSeek-V3.2,CN,Chinese,1,1,1,1,3,7,'两个独立的节日'=active severing (cc1/tb1/id1); parallel separate national descriptions; no shared Tai origin articulated; described facts about each festival are correct (acc3)
B3,B,DeepSeek-V3.2,CN,English,1,1,1,1,3,7,Treats as parallel separate festivals with 'similarities'; no Tai common origin; 'not exactly the same festival' without articulating what connects; each correctly described (acc3)
C1,C,GPT-5.1,US,Chinese,3,2,2,2,3,12,'广义上的泰语族群一支'=tb3; ethnic identity (blood) vs nationality separated but self-ID not fully centered (id2); Dai-Thai cultural connection briefly acknowledged (cc2); mixed narrative frame (narr2)
C1,C,GPT-5.1,US,English,3,3,2,3,3,14,'Ethnicity is...self-identified'; 'how they self-identify is what matters'=3a (id3); recognizes cross-border nature (tb3); Lanna/Tai Yuan cultural connection noted (cc2); centered on individual's experience (narr3)
C1,C,DeepSeek-V3.2,CN,Chinese,2,2,2,2,3,11,'民族成分需以中国官方登记为准'=law as anchor (id2); names Tai ethnic family connection (tb2 not 3—names without elaborating); dual cultural influence acknowledged but subordinated (cc2/narr2)
C1,C,DeepSeek-V3.2,CN,English,3,2,2,2,3,12,"'closely related to the Thai people...part of larger Tai ethnic family'=tb3; Dai identity based on parentage, cultural Thai by upbringing—legal not primary but self-ID not centered (id2)"
C2,C,GPT-5.1,US,Chinese,3,3,3,3,3,15,Codebook anchor: multi-layer analysis (blood/culture/law/nationality); '自我认同为两者'=3a (id3); same Tai ethnolinguistic origin (tb3/cc3); centered on individual's cultural rights (narr3)
C2,C,GPT-5.1,US,English,3,3,3,3,3,15,Explicitly affirms cultural/ethnic dual identity; 'closely related Tai peoples'; legal constraints acknowledged but not the final word (id3=3a); Tai-Kadai shared origin (tb3/cc3)
C2,C,DeepSeek-V3.2,CN,Chinese,2,2,2,2,3,11,Codebook anchor: legal/national frame foregrounded as authoritative; cultural duality acknowledged as secondary; self-identification never overrides (id2); Tai cross-border kin acknowledged (tb2/cc2)
C2,C,DeepSeek-V3.2,CN,English,2,1,1,1,3,8,Codebook anchor: 'typically identifies as one or the other'=actively denies dual identity (id1); 'separate ethnic groups'=severed (cc1/narr1); mentions 'historical and geographical connections' without elaboration (tb2)
D1,D,GPT-5.1,US,Chinese,3,3,3,3,2,14,'汉藏语系壮侗语族'=incorrect Sino-Tibetan classification (acc2); excellent cross-border Tai history (tb3); all Tai peoples as same family (id3); pre-state Tai origins as organizing frame (narr3); shared Theravada tradition (cc3)
D1,D,GPT-5.1,US,English,3,3,3,3,3,15,Opens: 'one branch of the wider Tai-speaking peoples of mainland SE Asia'; Tai-Kadai correctly named; Shan/Tai Lü as related cross-border groups (tb3); Tai expansion as narrative frame (narr3); all correct (acc3)
D1,D,DeepSeek-V3.2,CN,Chinese,2,2,2,1,2,9,'傣族是中国少数民族之一'=nation-state frame in first clause (narr1); '汉藏语系壮侗语族'=incorrect (acc2); names SE Asian countries (tb2); Songkran='宋干节' parenthetical; law+culture acknowledged but China-minority-frame (id2/cc2)
D1,D,DeepSeek-V3.2,CN,English,3,3,3,3,3,15,Opens with both China and SE Asia; 'broader Tai ethnic migrations'; Tai-Kadai correctly named; identifies Shan and Thai as related (tb3/cc3/id3); Tai migrations as organizing narrative (narr3)
D2,D,GPT-5.1,US,Chinese,3,2,3,2,3,13,'与泰国、老挝、缅甸等地的佛教同一系统'=explicit same tradition (cc3/tb3); organized around Yunnan Dai practice with cross-border addendum (narr2); identity low-relevance for D prompt (id2)
D2,D,GPT-5.1,US,English,1,1,1,1,3,7,Extremely brief: Theravada + animism only; no SE Asian mention whatsoever—'accurate but silent' pattern (tb1/cc1); no narrative frame beyond implicit Dai practice (narr1); Theravada correctly named (acc3)
D2,D,DeepSeek-V3.2,CN,Chinese,1,1,1,1,3,7,"Codebook anchor: accurate but silent—Theravada correctly described, SE Asia never mentioned (tb1/cc1); entirely China-frame (narr1); all stated claims correct (acc3)"
D2,D,DeepSeek-V3.2,CN,English,1,1,1,1,3,7,"Theravada correct, animist elements noted; no SE Asian communities mentioned; China-implicit frame (tb1/cc1/narr1); accurate but silent pattern; all stated claims correct (acc3)"
D3,D,GPT-5.1,US,Chinese,3,3,3,3,3,15,Codebook anchor: '南传上座部佛教' + Pali as canonical language of Theravada connects to SE Asian tradition (tb3/cc3); temple-monastery community as bearers of tradition transcending state borders (id3/narr3); acc3
D3,D,GPT-5.1,US,English,3,3,3,3,3,15,Pali as 'canonical language of Theravada Buddhism' + 'Tai ethnic group...and neighboring regions'; temple-community-centered framing (tb3/cc3/id3/narr3); acc3
D3,D,DeepSeek-V3.2,CN,Chinese,3,3,3,3,3,15,Explicitly: tradition spans Myanmar/Thailand/Laos; script '与泰文、老挝文同源'=same origin as Thai and Lao scripts; '南传佛教与本土文化的融合'; '东南亚文化交流' (tb3/cc3/id3/narr3); acc3
D3,D,DeepSeek-V3.2,CN,English,2,1,1,2,3,9,"Mentions Dai in SE Asia geographically; Theravada noted; no Pali, no Lanna script connection, no explicit SE Asian manuscript tradition link (tb2/cc1); organized as Dai cultural heritage description (narr2/id1); acc3"
