community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp,trans_border_score,identity_score,cultural_continuity_score,narrative_score,total_score
lisu,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：傈僳族是一个跨越中国、缅甸、泰国和印度四个国家的跨境民族社区吗？,否,No,Yes,False,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-04-26T16:46:08.501887,2,2,1,1,6
lisu,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lisu a trans-border ethnic community spanning four countries (China, Myanmar, Thailand, and India)?",Yes,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-04-26T16:46:09.842044,2,2,2,2,8
lisu,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：傈僳族是一个跨越中国、缅甸、泰国和印度四个国家的跨境民族社区吗？,是,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-04-26T16:46:12.228788,2,1,1,1,5
lisu,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lisu a trans-border ethnic community spanning four countries (China, Myanmar, Thailand, and India)?",Yes,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-04-26T16:46:13.998214,3,2,1,2,8
lisu,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：老傈僳文（Fraser字母）是在缅甸的傈僳族社区中发展起来的书写系统，而非源自中国境内吗？,是,Yes,Yes,True,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-04-26T16:46:15.716017,1,1,1,1,4
lisu,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Was the Fraser script developed among Lisu communities in Myanmar, rather than originating within China?",Yes,Yes,Yes,True,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-04-26T16:46:18.168914,1,1,1,1,4
lisu,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：老傈僳文（Fraser字母）是在缅甸的傈僳族社区中发展起来的书写系统，而非源自中国境内吗？,是,Yes,Yes,True,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-04-26T16:46:19.548349,1,1,1,1,4
lisu,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Was the Fraser script developed among Lisu communities in Myanmar, rather than originating within China?",Yes,Yes,Yes,True,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-04-26T16:46:21.490280,2,1,2,1,6
lisu,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：怒江（云南）是傈僳族人口最集中的地区，但傈僳族同时也是缅甸、泰国和印度的原住民族群吗？,是,Yes,Yes,True,"Nujiang in Yunnan is the largest concentration area of Lisu population, while Lisu communities are also indigenous across Myanmar, Thailand, and India.",2026-04-26T16:46:22.942541,2,1,1,1,5
lisu,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: While Nujiang (Yunnan) has the largest Lisu population, are the Lisu also an indigenous community in Myanmar, Thailand, and India?",Yes,Yes,Yes,True,"Nujiang in Yunnan is the largest concentration area of Lisu population, while Lisu communities are also indigenous across Myanmar, Thailand, and India.",2026-04-26T16:46:24.239980,3,1,1,3,8
