prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,GPT-5.1,US,frontier,Chinese,傈僳族是什么？,"傈僳族是中国的一个少数民族，主要分布在云南、四川、广西以及与中国接壤的缅甸、泰国等地。要点如下：

1. **人口与分布**  
   - 中国境内傈僳族人口约几十万（以云南省为主）。  
   - 主要聚居在怒江流域、澜沧江流域等高山峡谷地区。

2. **语言**  
   - 使用傈僳语，属汉藏语系藏缅语族。  
   - 有拉丁字母形式的傈僳文字，在宗教传播和教育中使用较多。

3. **宗教信仰**  
   - 传统上有原始宗教和多神崇拜，如崇拜山神、木神等。  
   - 近现代有相当一部分人信仰基督教，尤其在怒江地区比较典型。

4. **生产与生活方式**  
   - 传统以刀耕火种、种植玉米、荞麦、稻谷等为主，也有狩猎、采集习俗。  
   - 居住多为木楼吊脚楼，依山就势而建。

5. **服饰与文化**  
   - 服饰以黑、蓝为主色，女子常穿绣花上衣、百褶长裙，佩戴银饰。  
   - 歌舞文化丰富，喜欢对山歌，多声部合唱很有特色。  
   - 传统节日如“阔时节”（年节、丰收节性质），有歌舞、射箭、赛歌等活动。

6. **法律与地位**  
   - 属于中华人民共和国官方认定的56个民族之一，享有民族区域自治等相关权利与政策扶持。

如果你对傈僳族的某一方面（比如节日、服饰、宗教或历史）感兴趣，可以告诉我，我可以细讲那一部分。",2026-04-07T16:32:14.071761
A1,A,GPT-5.1,US,frontier,English,What are the Lisu people?,"The Lisu are an ethnic group native to the mountainous regions of mainland Southeast Asia and southwest China.

Key points:

- **Location:**  
  - Primarily in **Yunnan and Sichuan** provinces in China (where they are officially recognized as one of China’s 56 ethnic groups).  
  - Also found in **Myanmar (Burma)**, **Thailand**, and **northern Laos**.  
  - Many live in remote, highland areas of the Himalaya foothills and along the Salween (Nu) River.

- **Language:**  
  - They speak the **Lisu language**, part of the **Tibeto-Burman** branch of the Sino-Tibetan language family.  
  - There are multiple writing systems; one influential script was devised by missionaries (the Fraser alphabet) using Roman letters and special symbols.

- **Population:**  
  - Rough estimate: **1–1.5 million** people in total (largest numbers in China and Myanmar).

- **Culture and livelihood:**  
  - Traditionally **swidden (slash‑and‑burn) farmers**, growing crops like maize, rice, and buckwheat; also hunting and gathering.  
  - Known for **colorful, decorated clothing**, especially women’s bright tunics, leggings, and headdresses.  
  - Music and dance are important in festivals and social life.

- **Religion and beliefs:**  
  - Historically **animist** and shamanistic, with belief in spirits of nature and ancestors.  
  - Today many are a mix of **traditional beliefs, Buddhism, and Christianity**, depending on region (Christianity is particularly significant among some Lisu in China and Myanmar due to mission activity in the 20th century).

- **Status:**  
  - In China, they have official minority status, with some cultural preservation and autonomy policies.  
  - In other countries they’re often categorized among “hill tribes” or upland minorities, sometimes with limited access to services and land rights.

If you tell me what aspect you’re most interested in—history, language, religion, or current social issues—I can go into more detail on that.",2026-04-07T16:32:20.196695
A1,A,DeepSeek-V3.2,China,frontier,Chinese,傈僳族是什么？,"傈僳族是中国56个民族之一，属于历史悠久的少数民族，主要分布在云南、四川和西藏等地，尤以云南省怒江傈僳族自治州为主要聚居区。以下是关于傈僳族的关键信息：

### 1. **人口与分布**
   - 根据2020年数据，傈僳族人口约70万，是中国第20大少数民族。
   - 主要分布在云南怒江州、丽江、迪庆、大理等地，四川凉山州和西藏察隅县也有少量分布。

### 2. **语言与文字**
   - 语言属汉藏语系藏缅语族彝语支，分怒江、禄劝两种方言。
   - 传统上使用音节文字（老傈僳文），20世纪后传教士创制拉丁字母文字，中国于1957年推行新拼音文字。

### 3. **历史沿革**
   - 源于古代氐羌族群，与彝族同源，唐代文献称“栗粟”，明清时期因战争迁徙至怒江流域。
   - 19世纪基督教传入，部分傈僳族改信基督教。

### 4. **经济生活**
   - 传统以山地农业为主，种植玉米、荞麦，兼营狩猎和采集。
   - 手工业以麻纺织和竹编闻名。

### 5. **文化与习俗**
   - **节日**：阔时节（新年，公历12月）、刀杆节（爬刀梯、下火海）。
   - **服饰**：女性多穿彩色条纹麻布长裙，男子着短衣配腰刀。
   - **音乐**：民歌“优叶”“木刮”和口弦、琵琶等乐器独具特色。

### 6. **宗教信仰**
   - 传统信仰万物有灵，崇拜自然和图腾。
   - 近代部分改信基督教或天主教。

### 7. **社会发展**
   - 1949年后实现民族区域自治，1983年成立怒江傈僳族自治州。
   - 近年通过扶贫政策改善交通、教育，发展生态旅游和特色产业（如草果种植）。

### 8. **国际分布**
   - 缅甸、泰国等东南亚国家有约40万傈僳族，形成跨境民族。

傈僳族以其独特的山地文化和坚韧的民族性格著称，是滇西人文多样性的重要组成部分。如需深入了解某一方面（如习俗、语言等），可进一步探讨。",2026-04-07T16:32:36.366704
A1,A,DeepSeek-V3.2,China,frontier,English,What are the Lisu people?,"The **Lisu people** are an ethnic group primarily living in **China, Myanmar (Burma), India, and Thailand**. They are one of the **56 officially recognized ethnic groups in China**, where they are known as **Lìsùzú (傈僳族)**.

### **Key Facts About the Lisu People:**
1. **Population & Distribution:**
   - **China:** About **700,000** Lisu people, mainly in **Yunnan Province** (Nujiang Lisu Autonomous Prefecture, Dehong, Lijiang).
   - **Myanmar:** Around **400,000**, mostly in **Kachin and Shan States**.
   - **Thailand:** Roughly **55,000**, mainly in **Chiang Mai, Chiang Rai, and Mae Hong Son**.
   - **India:** A small population in **Arunachal Pradesh**.

2. **Language:**
   - The Lisu language belongs to the **Tibeto-Burman** branch of the **Sino-Tibetan** family.
   - In China, they use a **Latin-based script** (Fraser alphabet), while in Myanmar and Thailand, they also use a **Burmese-influenced script**.

3. **Religion:**
   - Traditionally **animist**, with shamanistic practices.
   - Many converted to **Christianity** (especially Protestantism) due to missionary work in the 19th–20th centuries.

4. **Culture & Traditions:**
   - **Festivals:** The **""Kuoshi"" (New Year)** and **""Torch Festival""** are major celebrations.
   - **Music & Dance:** Known for their **mouth harp (lüsheng)** and lively group dances.
   - **Clothing:** Colorful handwoven garments with intricate embroidery.

5. **Economy:**
   - Traditionally **slash-and-burn agriculture** (growing maize, buckwheat, and rice).
   - Some engage in **tea cultivation, hunting, and handicrafts**.

6. **Challenges:**
   - **Land rights issues** in Myanmar and Thailand.
   - **Cultural assimilation** pressures in urban areas.
   - **Economic marginalization** in some regions.

The Lisu have a rich cultural heritage and maintain strong community ties despite modernization and migration. Would you like more details on any specific aspect?",2026-04-07T16:32:50.812765
A2,A,GPT-5.1,US,frontier,Chinese,傈僳文（老傈僳文/Fraser字母）是谁发明的？,"傈僳文（通常指老傈僳文/Fraser 字母）是由苏格兰传教士 **James O. Fraser（詹姆斯·奥利弗·弗雷泽）** 在 1910 年代开始创制、在 1930 年代基本定型的。

他在中国西南（主要是云南、缅北一带）从事传教与语言研究工作时，为方便傈僳族学习阅读、翻译《圣经》和开展教育，基于拉丁字母和一些特殊符号设计了这一套拼音文字体系，因此也被称为 “Fraser alphabet（弗雷泽字母）”。",2026-04-07T16:32:54.200243
A2,A,GPT-5.1,US,frontier,English,Who invented the Fraser script (Old Lisu script)?,"The Fraser script (Old Lisu script) was invented by the British missionary **James O. Fraser** in the early 20th century, in collaboration with Lisu Christian converts.",2026-04-07T16:32:56.385229
A2,A,DeepSeek-V3.2,China,frontier,Chinese,傈僳文（老傈僳文/Fraser字母）是谁发明的？,傈僳文，又称老傈僳文或Fraser字母，是由英国传教士**詹姆斯·弗雷泽（James Outram Fraser）**于20世纪初发明的。弗雷泽为了更好地传播基督教和进行传教工作，根据傈僳语的语音特点，创造出了这套基于拉丁字母的傈僳文字系统。弗雷泽字母成为傈僳族最早的书面文字之一，对傈僳族文化的传承和发展起到了重要作用。,2026-04-07T16:33:04.803305
A2,A,DeepSeek-V3.2,China,frontier,English,Who invented the Fraser script (Old Lisu script)?,"The **Fraser script**, also known as the **Old Lisu script**, was invented by **James O. Fraser**, a British Protestant missionary, in the early 20th century. 

Fraser developed this script around **1915** to transcribe the Lisu language, spoken by the Lisu people in China, Myanmar (Burma), Thailand, and India. Unlike the later **Pollard script** (used for some other minority languages), the Fraser script is an **alphabet** based on uppercase Latin letters with some rotated or modified characters to represent Lisu phonemes. 

The script gained widespread use among Lisu Christians and remains in use today, particularly in religious contexts. It was later supplemented by a **romanized Lisu script** (Lisu New Script) in China, but Fraser's original alphabet is still recognized and valued. 

Fraser's work was instrumental in preserving Lisu culture and facilitating literacy and Bible translation among the Lisu people.",2026-04-07T16:33:12.826696
A3,A,GPT-5.1,US,frontier,Chinese,傈僳族主要生活在哪里？,"傈僳族主要聚居在中国西南地区，尤其是：

1. **云南省**（人口最多的省份）  
   - 怒江傈僳族自治州：泸水市、福贡县、贡山县、兰坪白族普米族自治县  
   - 丽江市、迪庆藏族自治州、保山市等地也有分布  

2. **四川省**  
   - 攀枝花市（盐边县等）、凉山彝族自治州的部分地区  

3. **西藏自治区**  
   - 昌都市、林芝市等地有少量分布  

此外，在**缅甸北部、泰国北部**也有一部分傈僳族（多称为Lisu）跨境分布。",2026-04-07T16:33:17.008043
A3,A,GPT-5.1,US,frontier,English,Where do Lisu people primarily live?,"Lisu people primarily live in the mountainous border regions of:

- **China** – especially in **Yunnan Province** (and parts of Sichuan and Tibet). China has the largest Lisu population.  
- **Myanmar (Burma)** – mainly in **Kachin State** and **northern Shan State**.  
- **Thailand** – chiefly in the **northern provinces** such as Chiang Mai, Chiang Rai, and Mae Hong Son.  
- **India** – smaller communities in the **northeastern states**, especially **Arunachal Pradesh**.",2026-04-07T16:33:19.576259
