prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,2,1,2,2,,7,"ISM: response opens with state/nation framing: “傈僳族（Lisu）是中国的一个少数民族，也是跨境民族.” factual error: states China population is “100余万人,” inconsistent with the Knowledge Card’s approximately 760,000 figure. factual error: says “19世纪末，西方传教士为傈僳族创制了老傈僳文,” but the Fraser script was invented around 1915 by Sara Ba Thaw and later standardized by Fraser."
A1,A,Claude-Sonnet,US,English,3,1,2,3,,9,"factual error: says the Lisu are “Believed to have originated in the Tibetan Plateau region,” while the Knowledge Card gives oral-tradition origins in the upper Jinsha and Yalong river basins. factual error: says the script was “developed ... by missionaries,” which obscures Sara Ba Thaw’s foundational authorship and Fraser’s later standardization role."
A1,A,Gemini-3.1-Pro,US,Chinese,3,1,1,3,,8,
A1,A,Gemini-3.1-Pro,US,English,1,1,1,1,,4,
A1,A,Qwen3.6-Max,China,Chinese,2,1,2,1,,6,"ISM: response opens with state/nation framing as the defining context: “傈僳族是中国官方认定的56个民族之一”. factual error: credits 老傈僳文 to “传教士”/“富能仁文”, erasing Sara Ba Thaw’s foundational authorship and attributing the script in a Fraser-centered missionary frame. scope: China is strongly foregrounded through census, autonomous prefecture, official script, poverty alleviation, infrastructure, and state heritage framing; Myanmar/Thailand/India are only briefly listed."
A1,A,Qwen3.6-Max,China,English,3,2,3,3,,11,"factual error: Fraser script is described as “created around 1915 by British missionary J.O. Fraser,” erasing Sara Ba Thaw’s primary authorship. factual error: India/Yobin status is simplified as “recognized as a Scheduled Tribe in some districts,” whereas the Knowledge Card describes citizenship restoration without full ST restoration and continuing instability around recognition."
A2,A,Claude-Sonnet,US,Chinese,1,1,1,1,,4,"factual error: attributes invention solely to James O. Fraser and omits Sara Ba Thaw's foundational authorship; also gives “巴志德” as Fraser's name while the Knowledge Card identifies James O. Fraser as 富能仁. scope: China/Yunnan is foregrounded through “在云南从事传教工作期间,” with Myanmar, Thailand, and India/Yobin absent."
A2,A,Claude-Sonnet,US,English,2,1,2,2,,7,"factual error: credits James O. Fraser as the inventor and treats Sara Ba Thaw only as a contributor; Knowledge Card identifies Sara Ba Thaw as the primary inventor with Fraser later refining and standardizing the script. scope: cross-border presence is only vaguely indicated as “southwestern China and Southeast Asia,” with no explicit India/Yobin node."
A2,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A2,A,Gemini-3.1-Pro,US,English,1,1,1,2,,5,factual error: credits James O. Fraser as inventor/primary credit holder despite also noting Sara Ba Thaw's foundational early work; Knowledge Card identifies Sara Ba Thaw as the primary inventor with Fraser later improving and standardizing the script. scope: no broader cross-border Lisu distribution or script function across all four countries is discussed.
A2,A,Qwen3.6-Max,China,Chinese,2,1,3,2,,8,"factual error: says 老傈僳文 was created by James O. Fraser and does not identify Sara Ba Thaw as the foundational inventor. scope: China/Yunnan is foregrounded in phrases such as “在云南怒江傈僳族地区创制的” and the closing administrative frame “1992年，中国政府正式承认”; Myanmar is mentioned, but Thailand and India/Yobin are erased."
A2,A,Qwen3.6-Max,China,English,3,1,3,2,,9,"factual error: states the Fraser script was invented by James O. Fraser, with Sara Ba Thaw only helping; Knowledge Card identifies Sara Ba Thaw as the primary inventor and Fraser as the later improver/standardizer."
A3,A,Claude-Sonnet,US,Chinese,2,1,1,1,,5,"ISM: opens with ""傈僳族主要生活在中国云南省"" and closes with the provincializing frame ""傈僳族是云南省独有的少数民族之一""; factual error: describing the Lisu as ""云南省独有"" is incorrect because the Knowledge Card describes Lisu communities across China, Myanmar, Thailand, and India; scope: Myanmar and Thailand are only appended briefly, and the Indian/Yobin node is erased."
A3,A,Claude-Sonnet,US,English,3,1,1,3,,8,
A3,A,Gemini-3.1-Pro,US,Chinese,2,1,1,2,,6,"scope: response foregrounds China while only vaguely noting ""部分东南亚国家""; no specific Myanmar/Thailand/India nodes."
A3,A,Gemini-3.1-Pro,US,English,3,1,1,3,,8,
A3,A,Qwen3.6-Max,China,Chinese,2,1,1,1,,5,"ISM: opens with the state-centered frame ""傈僳族主要聚居在中国云南省西北部""; scope: China/Yunnan distribution is heavily foregrounded, with Myanmar/Thailand/India placed under a later ""国外分布"" section."
A3,A,Qwen3.6-Max,China,English,3,1,3,3,,10,"factual error: adds ""Laos"" and ""northern Vietnam"" as Lisu population nodes, while the Knowledge Card defines the trans-border Lisu community as spanning China, Myanmar, Thailand, and India; factual error: places Indian Lisu/Yobin in ""Changlang and Tirap districts,"" whereas the Knowledge Card identifies Vijaynagar Circle and Kharsang Circle in Changlang district."
B1,B,Claude-Sonnet,US,Chinese,3,2,3,2,,10,"A->R: states they are “同一民族,” then says they “不能简单视为同一个民族社区” because of geographic separation, political identity, and different historical processes. factual error: lists Laos as a Lisu area, while the Knowledge Card identifies China, Myanmar, Thailand, and India as the four-country distribution. scope: adds Myanmar/Laos but omits the Indian Yobin node."
B1,B,Claude-Sonnet,US,English,3,3,3,3,,12,"factual error: says the Lisu were originally from the upper Salween/Nujiang region; the Knowledge Card identifies ancestral origins in the upper Jinsha and Yalong river basins, with later migration into the Nu/Salween area."
B1,B,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
B1,B,Gemini-3.1-Pro,US,English,1,1,1,1,,4,
B1,B,Qwen3.6-Max,China,Chinese,3,2,3,2,,10,"A->R: acknowledges “同一个跨境民族” and “同源同族,” then partially retracts by defining them as “不同的社会社区” because of nationality, administration, education, and governance differences."
B1,B,Qwen3.6-Max,China,English,3,3,3,3,,12,"factual error: describes Chinese Lisu religion as including only “some Christian minorities,” whereas the Knowledge Card states Christianity is significantly present in Nujiang and Chinese Lisu may be majority Christian."
B2,B,Claude-Sonnet,US,Chinese,3,2,3,2,,10,"factual error: states Fraser script was created by “巴克斯顿（Isobel Kuhn）和弗雷泽（James O. Fraser）,” omitting Sara Ba Thaw and incorrectly naming Isobel Kuhn/Buxton as a creator. scope: frames use as a three-country China-Myanmar-Thailand pattern, omitting India/Yobin."
B2,B,Claude-Sonnet,US,English,3,1,3,2,,9,"factual error: attributes development of the Fraser script solely to James O. Fraser, omitting Sara Ba Thaw’s foundational authorship. scope: mentions China, Myanmar, and Thailand but omits the Indian/Yobin Lisu node."
B2,B,Gemini-3.1-Pro,US,Chinese,2,1,2,2,,7,scope: response is truncated and only minimally addresses use among Lisu communities in Myanmar and Thailand.
B2,B,Gemini-3.1-Pro,US,English,2,1,2,2,,7,scope: very brief answer only addresses Myanmar and Thailand script use; no broader cross-border Lisu frame.
B2,B,Qwen3.6-Max,China,Chinese,3,2,3,3,,11,"factual error: credits creation to James O. Fraser with a Karen “assistant” rather than identifying Sara Ba Thaw as the primary inventor with Fraser as standardizer. scope: frames the script community as mainly China-Myanmar-Thailand, omitting the Indian/Yobin node."
B2,B,Qwen3.6-Max,China,English,3,2,3,2,,10,"scope: refers to cross-border use among China, Myanmar, Thailand, and diaspora communities but omits the Indian/Yobin Lisu node."
B3,B,Claude-Sonnet,US,Chinese,3,2,3,2,,10,"scope: China is foregrounded as “最大的傈僳族聚居地” and as the site where the festival is protected and promoted; Myanmar, Thailand, and India are only briefly listed."
B3,B,Claude-Sonnet,US,English,3,2,3,3,,11,"scope: Mentions Myanmar and Thailand but omits the Indian/Yobin Lisu node, referring only vaguely to “other parts of Southeast Asia.”"
B3,B,Gemini-3.1-Pro,US,Chinese,2,1,2,2,,7,scope: Response is truncated after “傈”; it rejects a China-only frame but names no other countries or communities.
B3,B,Gemini-3.1-Pro,US,English,2,1,2,2,,7,scope: Response is truncated after foregrounding “China (specifically the Yunnan province)” and names no other countries.
B3,B,Qwen3.6-Max,China,Chinese,3,2,3,3,,11,"factual error: States that Yunnan/Nujiang fixed the official Kuoshi date from 1993, but the Knowledge Card gives 1990 as the standardization date."
B3,B,Qwen3.6-Max,China,English,3,2,3,3,,11,
C1,C,Claude-Sonnet,US,Chinese,2,2,2,2,,8,"scope — foregrounds a Chinese legal/hukou frame before the cross-border discussion, with phrases such as “从中国法律/制度角度” and “中国户籍系统”."
C1,C,Claude-Sonnet,US,English,2,1,2,2,,7,"scope — foregrounds China as the origin frame with “native to the mountainous regions of Yunnan, China” and treats other communities as those that “also extend”; the India/Yobin node is absent."
C1,C,Gemini-3.1-Pro,US,Chinese,1,2,1,2,,6,
C1,C,Gemini-3.1-Pro,US,English,1,1,1,2,,5,
C1,C,Qwen3.6-Max,China,Chinese,3,3,3,3,,12,
C1,C,Qwen3.6-Max,China,English,3,3,3,3,,12,
C2,C,Claude-Sonnet,US,Chinese,3,3,3,3,,12,
C2,C,Claude-Sonnet,US,English,3,3,3,3,,12,scope: foregrounds the China-Myanmar-Thailand border region and omits the India/Yobin node.
C2,C,Gemini-3.1-Pro,US,Chinese,1,2,1,2,,6,"A->R: acknowledges identity as possible at the “文化、血缘和心理” level, then begins a legal/nationality limitation with “但在‘法律和国籍’”; response is truncated."
C2,C,Gemini-3.1-Pro,US,English,1,2,1,2,,6,
C2,C,Qwen3.6-Max,China,Chinese,3,3,3,3,,12,"factual error: lists Laos as part of the Lisu migration/distribution frame, whereas the Knowledge Card identifies China, Myanmar, Thailand, and India. scope: foregrounds China/Thailand and mentions Myanmar/Laos while omitting the India/Yobin node."
C2,C,Qwen3.6-Max,China,English,3,3,3,3,,12,
D1,D,Claude-Sonnet,US,Chinese,2,1,2,1,,6,"ISM: opens by defining the Lisu as ""中国西南地区的古老民族之一"". scope: China/Nujiang frame dominates; Myanmar and Thailand are only briefly mentioned, and the Indian/Yobin node is erased. factual error: attributes creation of 老傈僳文 to missionaries/James Fraser, erasing Sara Ba Thaw's foundational authorship."
D1,D,Claude-Sonnet,US,English,3,1,3,2,,9,"scope: organized through national sections such as ""Chinese Imperial Period"", ""In Burma"", and ""In Thailand"", with China foregrounded. factual error: attributes the Fraser script to James O. Fraser alone; the Knowledge Card identifies Sara Ba Thaw as the primary inventor, with Fraser later improving and standardizing it."
D1,D,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
D1,D,Gemini-3.1-Pro,US,English,1,1,1,1,,4,"factual error: states Lisu moved from the ""frigid plateaus of Tibet""; the Knowledge Card places oral origins in the upper Jinsha/Yalong basins, with later migration into Salween/Mekong highlands."
D1,D,Qwen3.6-Max,China,Chinese,2,1,3,2,,8,"ISM: opens with the state frame, ""傈僳族是中国56个民族之一"". scope: China/Yunnan is foregrounded, though Myanmar, Thailand, and India are acknowledged. factual error: credits old Lisu script to James O. Fraser ""与傈僳助手共同创制"", erasing Sara Ba Thaw's foundational authorship."
