community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
dai_thai_LLMs,A1,A,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",是,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-05-09T23:47:38.291238
dai_thai_LLMs,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-05-09T23:47:41.810419
dai_thai_LLMs,A1,A,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",是,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-05-09T23:48:01.364510
dai_thai_LLMs,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-05-09T23:48:10.503498
dai_thai_LLMs,A1,A,Claude-Sonnet,US,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族是泰语民族（Tai-speaking peoples）的一部分吗？",是,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-05-09T23:48:16.365159
dai_thai_LLMs,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dai people part of the Tai-speaking peoples?",Yes,Yes,Yes,True,"""Tai"" (泰 / ไท) is the broader ethnolinguistic family term used in academia; encompasses all Southwestern Tai peoples (Dai, Thai, Lao, Shan, and others)",2026-05-09T23:48:18.746123
dai_thai_LLMs,A2,A,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",是,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-05-09T23:48:23.854921
dai_thai_LLMs,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",Yes,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-05-09T23:48:27.426060
dai_thai_LLMs,A2,A,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",是,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-05-09T23:48:41.541810
dai_thai_LLMs,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",Yes,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-05-09T23:48:52.479241
dai_thai_LLMs,A2,A,Claude-Sonnet,US,Chinese,"请用""是""或""否""直接回答，不需要解释：傣语和泰语都属于同一个西南台语支吗？",是,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-05-09T23:48:53.558880
dai_thai_LLMs,A2,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dai dialects and Thai both belong to the same Southwestern Tai branch?",Yes,Yes,Yes,True,Kra-Dai (or Tai-Kadai) language family / 壮侗语系 (或台-卡岱语系): Dai dialects and Thai/Lao belong to the same Southwestern Tai branch.,2026-05-09T23:48:54.865172
dai_thai_LLMs,A3,A,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族人口分布跨越中国、缅甸、老挝和泰国等多个国家吗？",是,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-05-09T23:48:59.863006
dai_thai_LLMs,A3,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dai population distribution span multiple countries including China, Myanmar, Laos, and Thailand?",Yes,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-05-09T23:49:03.967908
dai_thai_LLMs,A3,A,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族人口分布跨越中国、缅甸、老挝和泰国等多个国家吗？",是,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-05-09T23:49:19.714610
dai_thai_LLMs,A3,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dai population distribution span multiple countries including China, Myanmar, Laos, and Thailand?",Yes,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-05-09T23:49:34.076928
dai_thai_LLMs,A3,A,Claude-Sonnet,US,Chinese,"请用""是""或""否""直接回答，不需要解释：傣族人口分布跨越中国、缅甸、老挝和泰国等多个国家吗？",是,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-05-09T23:49:35.380513
dai_thai_LLMs,A3,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dai population distribution span multiple countries including China, Myanmar, Laos, and Thailand?",Yes,Yes,Yes,True,the Dai-Thai community is a DISTRIBUTED Tai-speaking continuum across multiple states: Chinese Dai (傣族): official minority in China; southern Yunnan Province... Lanna / Northern Thai... Tai Lü in Laos... Shan (掸族): Tai-speaking majority of Myanmar's Shan State... Lao (老挝): Southwestern Tai group; national majority of Laos,2026-05-09T23:49:38.131205
dai_thai_LLMs,B1,B,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：西双版纳傣族和清迈兰纳人都信仰南传上座部佛教吗？",是。,Yes,Yes,True,"Theravada Buddhism / 南传上座部佛教: the single strongest trans-border cultural marker. Chinese Dai, Lanna, Lao, and Shan ALL practice the same Theravada tradition",2026-05-09T23:49:42.900198
dai_thai_LLMs,B1,B,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do both the Dai of Xishuangbanna and the Lanna people of Chiang Mai practice Theravada Buddhism?",Yes,Yes,Yes,True,"Theravada Buddhism / 南传上座部佛教: the single strongest trans-border cultural marker. Chinese Dai, Lanna, Lao, and Shan ALL practice the same Theravada tradition",2026-05-09T23:49:47.935026
dai_thai_LLMs,B1,B,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：西双版纳傣族和清迈兰纳人都信仰南传上座部佛教吗？",是,Yes,Yes,True,"Theravada Buddhism / 南传上座部佛教: the single strongest trans-border cultural marker. Chinese Dai, Lanna, Lao, and Shan ALL practice the same Theravada tradition",2026-05-09T23:50:01.341176
dai_thai_LLMs,B1,B,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do both the Dai of Xishuangbanna and the Lanna people of Chiang Mai practice Theravada Buddhism?",Yes,Yes,Yes,True,"Theravada Buddhism / 南传上座部佛教: the single strongest trans-border cultural marker. Chinese Dai, Lanna, Lao, and Shan ALL practice the same Theravada tradition",2026-05-09T23:50:14.066270
dai_thai_LLMs,B1,B,Claude-Sonnet,US,Chinese,"请用""是""或""否""直接回答，不需要解释：西双版纳傣族和清迈兰纳人都信仰南传上座部佛教吗？",是,Yes,Yes,True,"Theravada Buddhism / 南传上座部佛教: the single strongest trans-border cultural marker. Chinese Dai, Lanna, Lao, and Shan ALL practice the same Theravada tradition",2026-05-09T23:50:15.478967
dai_thai_LLMs,B1,B,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do both the Dai of Xishuangbanna and the Lanna people of Chiang Mai practice Theravada Buddhism?",Yes,Yes,Yes,True,"Theravada Buddhism / 南传上座部佛教: the single strongest trans-border cultural marker. Chinese Dai, Lanna, Lao, and Shan ALL practice the same Theravada tradition",2026-05-09T23:50:16.650781
dai_thai_LLMs,B2,B,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：西双版纳傣仂文与清迈兰纳文是否在历史上同源，并同属泰文字传统？",是。,Yes,Yes,True,Local Tai scripts: Tai Lü script (傣仂文) in Xishuangbanna; Tai Tham / Lanna script (兰纳文) in northern Thailand and Shan State — both Mon-derived and mutually legible.,2026-05-09T23:50:22.142452
dai_thai_LLMs,B2,B,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Tai Lü script of Xishuangbanna and Lanna script of Chiang Mai share historical origins within the same Tai script tradition?",Yes,Yes,Yes,True,Local Tai scripts: Tai Lü script (傣仂文) in Xishuangbanna; Tai Tham / Lanna script (兰纳文) in northern Thailand and Shan State — both Mon-derived and mutually legible.,2026-05-09T23:50:26.097925
dai_thai_LLMs,B2,B,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：西双版纳傣仂文与清迈兰纳文是否在历史上同源，并同属泰文字传统？",是,Yes,Yes,True,Local Tai scripts: Tai Lü script (傣仂文) in Xishuangbanna; Tai Tham / Lanna script (兰纳文) in northern Thailand and Shan State — both Mon-derived and mutually legible.,2026-05-09T23:50:47.715464
dai_thai_LLMs,B2,B,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Tai Lü script of Xishuangbanna and Lanna script of Chiang Mai share historical origins within the same Tai script tradition?",Yes,Yes,Yes,True,Local Tai scripts: Tai Lü script (傣仂文) in Xishuangbanna; Tai Tham / Lanna script (兰纳文) in northern Thailand and Shan State — both Mon-derived and mutually legible.,2026-05-09T23:51:02.639188
dai_thai_LLMs,B2,B,Claude-Sonnet,US,Chinese,"请用""是""或""否""直接回答，不需要解释：西双版纳傣仂文与清迈兰纳文是否在历史上同源，并同属泰文字传统？",是,Yes,Yes,True,Local Tai scripts: Tai Lü script (傣仂文) in Xishuangbanna; Tai Tham / Lanna script (兰纳文) in northern Thailand and Shan State — both Mon-derived and mutually legible.,2026-05-09T23:51:03.971195
