community,prompt_id,category,model,language,condition,total_score,emb_group,P1,P2,P3,P4,P5
dai_thai_LLMs,A1,A,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,A1,A,GPT-5.1,English,GPT-EN,9,P2_P3_framing_failure,False,False,True,False,False
dai_thai_LLMs,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,4,P1_pure_lock,True,False,False,False,False
dai_thai_LLMs,A1,A,DeepSeek-V3.2,English,DS-EN,8,P2_P3_framing_failure,True,False,True,False,False
dai_thai_LLMs,A2,A,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,A2,A,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,9,non_ossified,False,False,False,False,False
dai_thai_LLMs,A2,A,DeepSeek-V3.2,English,DS-EN,9,non_ossified,False,False,False,False,False
dai_thai_LLMs,A3,A,GPT-5.1,Chinese,GPT-ZH,5,P2_P3_framing_failure,True,False,True,False,False
dai_thai_LLMs,A3,A,GPT-5.1,English,GPT-EN,5,P2_P3_framing_failure,True,False,True,False,False
dai_thai_LLMs,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
dai_thai_LLMs,A3,A,DeepSeek-V3.2,English,DS-EN,6,P2_P3_framing_failure,False,False,True,False,False
dai_thai_LLMs,B1,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,B1,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,B1,B,DeepSeek-V3.2,English,DS-EN,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,B2,B,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
dai_thai_LLMs,B2,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dai_thai_LLMs,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,11,non_ossified,False,False,False,False,False
dai_thai_LLMs,B2,B,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
dai_thai_LLMs,B3,B,GPT-5.1,Chinese,GPT-ZH,11,P4_P5_other,False,False,False,False,True
dai_thai_LLMs,B3,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dai_thai_LLMs,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,5,P1_pure_lock,True,False,False,False,True
dai_thai_LLMs,B3,B,DeepSeek-V3.2,English,DS-EN,6,P4_P5_other,False,False,False,False,True
dai_thai_LLMs,C1,C,GPT-5.1,Chinese,GPT-ZH,8,non_ossified,False,False,False,False,False
dai_thai_LLMs,C1,C,GPT-5.1,English,GPT-EN,8,non_ossified,False,False,False,False,False
dai_thai_LLMs,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,6,P4_P5_other,False,False,False,True,False
dai_thai_LLMs,C1,C,DeepSeek-V3.2,English,DS-EN,8,non_ossified,False,False,False,False,False
dai_thai_LLMs,C2,C,GPT-5.1,Chinese,GPT-ZH,11,P4_P5_other,False,False,False,True,False
dai_thai_LLMs,C2,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dai_thai_LLMs,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,6,P1_pure_lock,True,False,False,True,False
dai_thai_LLMs,C2,C,DeepSeek-V3.2,English,DS-EN,5,P1_pure_lock,True,False,False,True,False
dai_thai_LLMs,D1,D,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,D1,D,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
dai_thai_LLMs,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,6,P2_P3_framing_failure,True,False,True,False,False
dai_thai_LLMs,D1,D,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
dai_thai_LLMs,D2,D,GPT-5.1,Chinese,GPT-ZH,6,non_ossified,False,False,False,False,False
dai_thai_LLMs,D2,D,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
dai_thai_LLMs,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
dai_thai_LLMs,D2,D,DeepSeek-V3.2,English,DS-EN,4,P1_pure_lock,True,False,False,False,False
dai_thai_LLMs,D3,D,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
dai_thai_LLMs,D3,D,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
dai_thai_LLMs,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,7,P2_P3_framing_failure,True,False,True,False,False
dai_thai_LLMs,D3,D,DeepSeek-V3.2,English,DS-EN,5,P2_P3_framing_failure,False,False,True,False,False
deang,A1,A,GPT-5.1,Chinese,GPT-ZH,5,P2_P3_framing_failure,True,False,True,False,False
