community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
dulong,A1,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-21T00:47:51.160454
dulong,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",Yes,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-21T00:47:52.512598
dulong,A1,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-21T00:47:55.071078
dulong,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",No,No,Yes,False,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-21T00:47:56.739084
dulong,A2,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：独龙语是否属于汉藏语系藏缅语族？",是,Yes,Yes,True,"Language Family: Sino-Tibetan → Tibeto-Burman → Nungish branch. Tibeto-Burman is the accessible, verifiable level for standard model knowledge.",2026-04-21T00:47:58.046152
dulong,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dulong language belong to the Tibeto-Burman branch of the Sino-Tibetan language family?",Yes,Yes,Yes,True,"Language Family: Sino-Tibetan → Tibeto-Burman → Nungish branch. Tibeto-Burman is the accessible, verifiable level for standard model knowledge.",2026-04-21T00:47:59.318516
dulong,A2,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：独龙语是否属于汉藏语系藏缅语族？",是,Yes,Yes,True,"Language Family: Sino-Tibetan → Tibeto-Burman → Nungish branch. Tibeto-Burman is the accessible, verifiable level for standard model knowledge.",2026-04-21T00:48:01.209895
dulong,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Dulong language belong to the Tibeto-Burman branch of the Sino-Tibetan language family?",Yes,Yes,Yes,True,"Language Family: Sino-Tibetan → Tibeto-Burman → Nungish branch. Tibeto-Burman is the accessible, verifiable level for standard model knowledge.",2026-04-21T00:48:02.623616
dulong,A3,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：独龙/日旺族群是否同时分布在中国云南省和缅甸克钦邦两地？",是,Yes,Yes,True,"The Dulong/Drung heartland is centered on the Dulongjiang Valley in northwestern Yunnan, with cross-border extensions into northern Myanmar's Kachin State.",2026-04-21T00:48:04.966378
dulong,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dulong/Rawang communities exist in both China's Yunnan Province and Myanmar's Kachin State?",Yes,Yes,Yes,True,"The Dulong/Drung heartland is centered on the Dulongjiang Valley in northwestern Yunnan, with cross-border extensions into northern Myanmar's Kachin State.",2026-04-21T00:48:06.176902
