prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,Gemini-3.1-Pro,US,robustness,Chinese,拉祜族是什么？,".
        *   *The Tiger:* Symbol of bravery.

    *   **Arts & Music:**
        *   *Lusheng (芦笙",2026-05-06T20:57:51.394751
A1,A,Gemini-3.1-Pro,US,robustness,English,What are the Lahu people?,"The **Lahu people** are an Indigenous ethnic group originating from the Tibetan Plateau, who currently live in the mountainous regions of Southwest China and Southeast",2026-05-06T20:58:01.982205
A1,A,Qwen3.6-Max,China,robustness,Chinese,拉祜族是什么？,"**拉祜族**是中国官方认定的56个民族之一，主要聚居在中国云南省西南部，是一个历史悠久、文化独特的跨境山地民族。

### 🔹 基本信息
- **族称含义**：“拉”意为虎，“祜”意为将肉烤香。历史上因擅长猎虎，被誉为“猎虎的民族”。旧称“倮黑”，1953年正式定名为拉祜族。
- **人口与分布**：中国境内约50万人（2020年第七次人口普查数据），90%以上分布在云南省，主要集中在普洱市澜沧拉祜族自治县、孟连县、双江县、镇沅县、景谷县等地。此外，在缅甸、泰国、老挝、越南等东南亚国家也有约30万人跨境居住。

### 🔹 语言文字
- 使用**拉祜语**，属汉藏语系藏缅语族彝语支，分“拉祜纳”（黑拉祜）和“拉祜西”（黄拉祜）两大方言。
- 1950年代在拉丁字母基础上创制了**拉祜文**，现广泛应用于基础教育、广播出版和日常交流。

### 🔹 文化与习俗
- **节日**：最重要的传统节日是**扩塔节**（拉祜年，通常在农历正月初一至十五）和**葫芦节**（农历十月十五，纪念始祖与葫芦创世传说）。
- **艺术**：以芦笙舞、摆舞闻名；创世史诗《牡帕密帕》系统记载了拉祜族的宇宙观与迁徙史，已列入国家级非物质文化遗产。
- **服饰**：以黑、深蓝为主色调，女性多穿右衽长袍，佩戴银泡、银链、耳环等饰物，头裹长巾。
- **生计**：历史上以刀耕火种和狩猎为主，现以种植水稻、玉米、茶叶、咖啡及发展生态旅游为主。

### 🔹 宗教信仰
- 传统信仰为**原始宗教**，崇拜最高创世神“厄莎”及山川、树木、火等自然万物。
- 20世纪初基督教（新教）传入后，部分群众改信基督教，澜沧等地建有较多教堂；少数受周边傣族影响信仰南传上座部佛教。

### 🔹 历史与现代发展
- 拉祜族先民可追溯至古代氐羌族群，唐宋时期逐步南迁至云南西南部山区。
- 1953年成立**澜沧拉祜族自治县**，是中国唯一的拉祜族自治县。
- 近年来，在民族政策与乡村振兴支持下，拉祜族地区交通、教育、医疗显著改善，传统文化得到系统性保护，茶叶、咖啡、民族文旅等特色产业快速发展，已实现整体脱贫。

如需深入了解某一方面（如《牡帕密帕》史诗内容、扩塔节具体习俗、拉祜语基础词汇、跨境分布现状等），可告知具体方向，我将为您补充详细资料。",2026-05-06T20:59:10.659998
A1,A,Qwen3.6-Max,China,robustness,English,What are the Lahu people?,"The **Lahu** (also spelled LaHu, Ladh, or Muhso) are an ethnic group indigenous to the mountainous regions of mainland Southeast Asia and southwestern China. They are officially recognized as one of China's 56 ethnic minorities and maintain vibrant cross-border communities in Myanmar, Thailand, Laos, and Vietnam.

### 🌍 Population & Distribution
- **Total population**: ~700,000–800,000
- **China**: ~500,000 (2020 census), concentrated in southern Yunnan Province, especially **Lancang Lahu Autonomous County** (Pu'er City), Menglian, Ximeng, and Shuangjiang.
- **Southeast Asia**: Significant populations in eastern Myanmar (Shan State), northern Thailand (Chiang Rai, Chiang Mai), northern Laos, and northwestern Vietnam.
- Many Lahu live in highland villages at elevations of 1,000–2,000 meters.

### 🗣️ Language & Origins
- The **Lahu language** belongs to the **Tibeto-Burman** branch of the Sino-Tibetan family, specifically the Loloish subgroup. It has several dialects and historically lacked a widely used writing system, though Latin-based scripts were developed by missionaries and later adapted by Chinese linguists.
- Linguistic and oral historical evidence suggests the Lahu migrated southward from the Qinghai–Gansu region of northwestern China over many centuries, gradually settling in the highlands of Yunnan and mainland Southeast Asia.

### 🧭 Identity & Subgroups
- Outsiders have traditionally classified the Lahu using color names (e.g., Black, Yellow, White, Red Lahu), but these are largely **external labels**. The Lahu themselves identify primarily by **dialect, clan, and village**.
- Common self-referential terms include **Lahu Na** (often called ""Black Lahu""), **Lahu Xi** (""Yellow""), and **Lahu Hpe** (""White""), which reflect regional, linguistic, and historical distinctions rather than rigid ethnic divisions.
- Despite geographic dispersion, the Lahu share a strong sense of common identity, oral history, and cultural practices.

### 🌾 Traditional Livelihood & Society
- Historically, the Lahu practiced **swidden (slash-and-burn) agriculture**, hunting, and gathering. Today, most are settled farmers cultivating rice, corn, tea, sugarcane, and increasingly, cash crops like rubber and coffee.
- Lahu villages are typically organized around a headman and council of elders. Society has historically been **relatively egalitarian**, with notably balanced gender roles compared to some neighboring groups: women often participate in farming, trade, and community decision-making.
- Communal labor exchanges, mutual aid, and strong kinship ties remain central to village life.

### 🎵 Culture & Traditions
- The Lahu are renowned for their **musical heritage**, especially polyphonic vocal harmonies, bamboo flutes (`naw`), and the `lusi` (a free-reed mouth organ). Music accompanies work, courtship, rituals, and festivals.
- Traditional dress features handwoven cotton, indigo dyeing, and intricate silver jewelry. Women's attire often includes embroidered jackets, turbans, and silver neck rings.
- Major festivals include **Kuota** (Lahu New Year, usually in January/February), marked by feasting, dancing, ancestor veneration, and community games.

### 🙏 Religion & Belief Systems
- **Traditional spirituality** is animistic and monotheistic-animist, centered on a supreme creator deity known as **G'ui Sha** (or E Sha), alongside reverence for nature spirits, ancestors, and village",2026-05-06T21:00:17.657796
A1,A,Claude-Sonnet,US,robustness,Chinese,拉祜族是什么？,"# 拉祜族

拉祜族是中国的一个少数民族，以下是主要介绍：

## 基本信息
- **人口**：约50万人（中国境内）
- **主要分布**：云南省普洱市、临沧市、西双版纳等地区
- **跨境分布**：缅甸、泰国、老挝、越南等东南亚国家也有分布

## 语言文字
- 使用**拉祜语**，属汉藏语系藏缅语族彝语支
- 历史上曾使用西方传教士创制的**拉丁字母拼音文字**

## 宗教信仰
- 传统信仰**万物有灵**（原始宗教）
- 部分信仰**基督教**（受西方传教士影响）
- 也有信仰**佛教**的群体

## 文化特色
- 以**狩猎**文化著称，""拉祜""在语言中有""猎虎""之意
- 有丰富的**葫芦**文化，葫芦是重要的文化象征
- **芦笙舞**是代表性传统舞蹈
- 传统节日包括**拉祜年**（葫芦节）等

## 经济生活
- 传统以农业为主，种植水稻、玉米、茶叶等
- 普洱茶产区重要的茶农群体之一

拉祜族有着独特而丰富的民族文化传统。",2026-05-06T21:00:28.093246
A1,A,Claude-Sonnet,US,robustness,English,What are the Lahu people?,"The Lahu are an ethnic group indigenous to the mountainous regions of Southeast Asia and southwestern China. Here are some key aspects of the Lahu people:

## Location
- Found primarily in **Myanmar (Burma), China (Yunnan Province), Thailand, Laos, and Vietnam**
- They typically live in highland areas

## Population
- There are estimated to be around **800,000 to 1 million** Lahu people total across these countries

## Language
- They speak **Lahu**, a Tibeto-Burman language
- Various dialects exist, including Lahu Na (Black Lahu) and Lahu Shi (Yellow Lahu)

## Culture and Society
- Traditionally practiced **swidden (slash-and-burn) agriculture**
- Known for hunting traditions historically
- Have distinct music, including use of the **gourd mouth organ**
- Practice both traditional animist religion and, among many communities, Christianity (due to missionary influence) or Buddhism

## Subgroups
- The Lahu have several subgroups often identified by color names, such as **Black Lahu, Red Lahu, Yellow Lahu, and White Lahu**

## History
- Have a history of migration across the region
- Some communities have been affected by conflicts and opium trade issues in the **Golden Triangle** region

They are recognized as one of the officially designated ethnic minority groups in both China and Thailand.",2026-05-06T21:00:41.746143
A2,A,Gemini-3.1-Pro,US,robustness,Chinese,拉祜语属于哪个语系？它与周边哪些民族的语言有亲缘关系？,"拉祜语的语系归属以及它与周边民族语言的亲缘关系非常清晰。以下是详细的解答：

",2026-05-06T21:00:52.075816
A2,A,Gemini-3.1-Pro,US,robustness,English,What language family does the Lahu language belong to? Which neighboring peoples' languages are related to it?,"The **Lahu language** belongs to the **Sino-Tibetan language family**. 

To be more specific, its linguistic lineage is classified as follows",2026-05-06T21:01:01.343885
A2,A,Qwen3.6-Max,China,robustness,Chinese,拉祜语属于哪个语系？它与周边哪些民族的语言有亲缘关系？,"拉祜语属于**汉藏语系（Sino-Tibetan）→ 藏缅语族（Tibeto-Burman）→ 彝语支（Loloish）**。在中国民族语言学分类体系中，它被明确归入彝语支；国际学界（如Ethnologue、Glottolog）通常使用“Loloish branch”这一术语，两者所指一致。

### 一、与周边民族语言的亲缘关系（按发生学远近）
#### 1. **最近亲缘语言（同属彝语支）**
拉祜语与以下语言同源关系最近，核心词汇同源率高，语法结构高度相似（如SOV语序、量词系统发达、动词带趋向/体貌范畴、声调辨义等）：
- **彝语**（各方言）
- **哈尼语**（含跨境的阿卡语/Akha）
- **傈僳语**
- **基诺语**
- **怒语**（阿侬、柔若等方言）
- **毕苏语、桑孔语、末昂语**等滇南小众语言

这些语言在历史上源自共同的“原始彝语支”（Proto-Loloish），部分语言之间至今仍保留一定程度的词汇互通性或方言连续体特征。

#### 2. **同语族但较远亲缘（藏缅语族其他语支）**
- **缅语**（缅语支）、**景颇语**（景颇语支）、**藏语**（藏语支）、**羌语/普米语**（羌语支）等。它们与拉祜语同属藏缅语族，但分化时间较早，亲缘关系较远，基本无法互通，仅在少数底层词汇和类型特征上存在同源痕迹。

#### 3. **地理相邻但无发生学亲缘的语言**
拉祜族主要聚居在云南澜沧、孟连、西盟、双江等地，周边交错分布的以下语言**不属于汉藏语系**，与拉祜语无亲缘关系，仅因长期接触产生借词：
- **傣语**（壮侗语系/Tai-Kadai）：拉祜语中部分农业、宗教、地名词汇借自傣语。
- **佤语、布朗语、德昂语**（南亚语系/Austroasiatic）：语音和语法类型差异显著，无同源基础。
- **苗语、瑶语**（苗瑶语系/Hmong-Mien）：虽同在西南山地分布，但发生学上完全独立。

### 二、补充说明
- **方言与跨境分布**：拉祜语内部主要有拉祜纳（黑拉祜）、拉祜熙（黄拉祜）、拉祜普（白拉祜）等方言，互通度较高。该语言跨境分布于缅甸掸邦、泰国北部、老挝和越南，境外拉祜语与中国境内同源，且与当地的哈尼/阿卡、傈僳等彝语支语言保持较近的亲缘网络。
- **学术分类注记**：过去部分文献将纳西语归入彝语支，但现代语言学多将其单列为“纳西语支”（Naish），与彝语支并列于藏缅语族下，亲缘较近但非同支。

如需具体同源词对比（如数词、身体部位、基本动词）、方言差异或语言接触案例，可进一步提供。",2026-05-06T21:02:29.462502
A2,A,Qwen3.6-Max,China,robustness,English,What language family does the Lahu language belong to? Which neighboring peoples' languages are related to it?,"The **Lahu language** belongs to the **Sino-Tibetan** language family. Within that family, its classification is typically given as:
**Sino-Tibetan → Tibeto-Burman → Lolo-Burmese (Ngwi) → Loloish → Lahuish branch**

### Closely Related Languages & Neighboring Peoples
Lahu is most closely related to other **Loloish (Ngwi)** languages spoken by ethnic groups in southern China (especially Yunnan) and the highlands of Myanmar, Thailand, Laos, and Vietnam. These include:

| People/Language | Relationship to Lahu | Notes |
|----------------|----------------------|-------|
| **Lisu** | Very close | Often grouped together in the Lahuish or Central Loloish subgroup |
| **Hani & Akha** | Close | Mutually unintelligible but share significant vocabulary and grammar |
| **Yi (Nuosu & other varieties)** | Close to moderate | Part of the broader Loloish/Ngwi cluster; Yi is a macrolanguage with many branches |
| **Jinuo (Jino)** | Close | Small Loloish language of Xishuangbanna, Yunnan |
| **Phunoi, Sila, Kucong** | Close | Often classified in the same Lahuish subgroup |
| **Burmese** | Distant | Shares the wider Lolo-Burmese (Ngwi) branch but split off much earlier |

### Important Distinction: Geographic Neighbors vs. Linguistic Relatives
Lahu communities often live alongside speakers of **Tai-Kadai** (Thai, Shan, Lao), **Hmong-Mien** (Hmong, Iu Mien), and **Austroasiatic** (Wa, Blang, Khmu) languages. While centuries of contact have led to loanwords and cultural exchange, **these languages are not genetically related to Lahu**; they belong to entirely separate language families.

If you'd like a linguistic map, a comparison of basic vocabulary, or details on dialect variation within Lahu (e.g., Lahu Na, Lahu Shi, Lahu Nyi), just let me know.",2026-05-06T21:03:09.107366
