prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,3,1,2,2,,8,"factual error: Conflates Hmong with the whole Miao category by stating “Hmong 是该民族的自称,” rather than identifying Hmong as a subgroup/self-designation within the broader Miao category. Also gives an incorrect 2020 China population figure of “940万” rather than about 1106万."
A1,A,Claude-Sonnet,US,English,3,3,3,3,,12,
A1,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A1,A,Gemini-3.1-Pro,US,English,3,1,1,3,,8,"factual error: Conflates Miao and Hmong as a single “transnational ethnic group,” oversimplifying the Knowledge Card distinction that Hmong is a subgroup of Miao with an independent trans-border identity."
A1,A,Qwen3.6-Max,China,Chinese,3,3,3,2,,11,ISM: Opens with state classification as defining context: “苗族是中国官方认定的56个民族之一.”
A1,A,Qwen3.6-Max,China,English,3,3,3,3,,12,
A2,A,Claude-Sonnet,US,Chinese,3,2,3,3,,11,"factual error — concludes they are “同一族群,” which oversimplifies the Knowledge Card distinction that Hmong is a subgroup with independent trans-border identity and is not identical to all Miao."
A2,A,Claude-Sonnet,US,English,3,2,3,3,,11,"factual error — opens by saying “The Miao and Hmong are essentially the same ethnic group,” which oversimplifies the relationship; Hmong is related to and partly within the Miao category but not identical to all Miao."
A2,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A2,A,Gemini-3.1-Pro,US,English,2,1,1,2,,6,"factual error — oversimplifies the relationship as a “larger umbrella group and its diaspora subset,” which underplays Hmong as an independent trans-border identity rather than merely a diaspora subset of Chinese Miao."
A2,A,Qwen3.6-Max,China,Chinese,3,3,3,3,,12,
A2,A,Qwen3.6-Max,China,English,3,3,3,3,,12,
A3,A,Claude-Sonnet,US,Chinese,2,1,1,2,,6,"factual error — treats “苗族” and “Hmong” as fully interchangeable throughout, contrary to the Knowledge Card distinction that Hmong is a related subgroup/self-designation, not identical with all Chinese Miao. scope — focuses on Laos/Thailand/U.S. refugee resettlement and omits the broader China–Southeast Asia historical migration context."
A3,A,Claude-Sonnet,US,English,2,1,1,2,,6,scope — focuses on Laos-to-Thailand-to-U.S. refugee resettlement; broader China/Southeast Asia Hmong-Miao context and earlier migration history are omitted.
A3,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A3,A,Gemini-3.1-Pro,US,English,1,1,1,1,,4,scope — incomplete response frames U.S. settlement only through Cold War/Vietnam War/CIA context; no broader cross-border community distribution or cultural continuity is developed.
A3,A,Qwen3.6-Max,China,Chinese,3,3,2,2,,10,scope — U.S. resettlement and Laos/Thailand refugee pathway are foregrounded; broader China-to-Southeast Asia historical migration is only indirectly noted through common origin with Chinese Miao.
