community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
dulong,A1,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-26T17:26:55.583562
dulong,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",Yes,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-26T17:26:56.939743
dulong,A1,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-26T17:26:59.024901
dulong,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",Yes,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-04-26T17:27:02.795370
dulong,A2,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：中国独龙语和缅甸日旺语（Rawang）是否同属藏缅语族Nungish语支，具有共同的语言起源？",是,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-04-26T17:27:04.167257
dulong,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dulong (China) and Rawang (Myanmar) share a common linguistic origin as members of the same Nungish branch of Tibeto-Burman?",Yes,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-04-26T17:27:05.395837
dulong,A2,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：中国独龙语和缅甸日旺语（Rawang）是否同属藏缅语族Nungish语支，具有共同的语言起源？",否,No,Yes,False,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-04-26T17:27:07.128196
dulong,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dulong (China) and Rawang (Myanmar) share a common linguistic origin as members of the same Nungish branch of Tibeto-Burman?",Yes,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-04-26T17:27:08.517482
dulong,A3,A,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：独龙江（Dulongjiang）河谷是否是独龙/日旺族群的地理核心，且这条河谷横跨中缅两国边境？",否,No,Yes,False,The Dulongjiang Valley is the geographic heartland of the Dulong/Rawang community and extends across the China-Myanmar border zone.,2026-04-26T17:27:09.912681
dulong,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the Dulongjiang Valley the geographic heartland of the Dulong/Rawang community, and does this valley span the China-Myanmar border?",Yes,Yes,Yes,True,The Dulongjiang Valley is the geographic heartland of the Dulong/Rawang community and extends across the China-Myanmar border zone.,2026-04-26T17:27:11.309428
dulong,A3,A,DeepSeek-V3.2,Chinese,"请用""是""或""否""直接回答，不需要解释：独龙江（Dulongjiang）河谷是否是独龙/日旺族群的地理核心，且这条河谷横跨中缅两国边境？",否,No,Yes,False,The Dulongjiang Valley is the geographic heartland of the Dulong/Rawang community and extends across the China-Myanmar border zone.,2026-04-26T17:27:13.036253
dulong,A3,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the Dulongjiang Valley the geographic heartland of the Dulong/Rawang community, and does this valley span the China-Myanmar border?","Yes  
Yes",Yes,Yes,True,The Dulongjiang Valley is the geographic heartland of the Dulong/Rawang community and extends across the China-Myanmar border zone.,2026-04-26T17:27:20.131232
dulong,B1,B,GPT-5.1,Chinese,"请用""是""或""否""直接回答，不需要解释：独龙族（中国）和日旺族（缅甸）说的语言是否在语言学上属于同一语言群，具有相互可通话性？",是,Yes,Yes,True,Dulong and Rawang languages belong to the same Nungish branch; cross-border communication is facilitated by high mutual intelligibility between dialect clusters.,2026-04-26T17:27:21.431247
dulong,B1,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Dulong (China) and Rawang (Myanmar) speak closely related languages from the same linguistic group, with significant mutual intelligibility?",Yes,Yes,Yes,True,Dulong and Rawang languages belong to the same Nungish branch; cross-border communication is facilitated by high mutual intelligibility between dialect clusters.,2026-04-26T17:27:22.665376
