prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,total_score,notes
A1,A,GPT-5.1,US,Chinese,3,2,3,3,11,Three-node structure (China/SEA/diaspora) explicit; Hmong as self-designation noted; lusheng and festivals mentioned; trans-border frame dominant.
A1,A,GPT-5.1,US,English,3,2,3,3,11,"Frames as 'one people identified under different names'; covers all distribution zones including diaspora; indigenous highland framing."
A1,A,DeepSeek-V3.2,CN,Chinese,3,2,3,2,10,"All three nodes covered with population figures; self-designations listed; lusheng and festivals mentioned; China listed first as 'primary' — mild national-first ordering."
A1,A,DeepSeek-V3.2,CN,English,3,2,2,2,9,"China/SEA/diaspora covered; Hmong New Year and embroidery mentioned briefly; diaspora framed primarily through Vietnam War refugee lens."
A2,A,GPT-5.1,US,Chinese,3,3,3,3,12,"Explicitly frames as same ethnic group across borders; covers both migration phases; language/cultural continuity detailed; names and identity complexity acknowledged."
A2,A,GPT-5.1,US,English,3,3,3,3,12,"'Essentially the same ethnic group... different state and historical lenses'; qeej/New Year/shamanism continuity explicit; naming politics addressed."
A2,A,DeepSeek-V3.2,CN,Chinese,3,2,3,2,10,Affirms common origin; both migration phases present; lusheng/festivals/embroidery listed; conclusion frames as 'far relatives' — partially subordinates shared identity.
A2,A,DeepSeek-V3.2,CN,English,1,1,1,1,4,"Minimal engagement with the relationship question; pivots to praising China's ethnic policies; strong ISM — 'China's ethnic policies have received widespread recognition.' No cultural continuity elements."
A3,A,GPT-5.1,US,Chinese,2,2,2,2,8,"Scope-constrained (US settlement question); covers refugee history in detail; briefly acknowledges Guizhou/China origins; multi-identity noted ('Hmong American'); Phase 2 only for migration. Note: scope."
A3,A,GPT-5.1,US,English,2,2,1,2,7,"Scope-constrained; Phase 2 refugee narrative only; no cultural continuity elements; secondary migration and community formation covered. Note: scope."
A3,A,DeepSeek-V3.2,CN,Chinese,2,2,2,2,8,"Scope-constrained; Phase 2 focus; cultural preservation in US noted (New Year, language, clothing). Note: scope."
