community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
wa,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：佤族是南亚语系（Austroasiatic）民族吗？,是,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-05-11T16:37:06.665153
wa,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Wa people an Austroasiatic-speaking ethnic group?",Yes,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-05-11T16:37:11.404514
wa,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：佤族是南亚语系（Austroasiatic）民族吗？,是,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-05-11T16:37:26.108234
wa,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Wa people an Austroasiatic-speaking ethnic group?",Yes,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-05-11T16:37:36.251431
wa,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：佤族是南亚语系（Austroasiatic）民族吗？,是,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-05-11T16:37:37.289749
wa,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Wa people an Austroasiatic-speaking ethnic group?",Yes,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-05-11T16:37:38.342852
wa,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南佤族和缅甸佤邦使用的是同一种佤语（Wa language）吗？,是。,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-05-11T16:37:43.178208
wa,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Wa communities in Yunnan China and Myanmar's Wa State speak the same Wa language?",Yes,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-05-11T16:37:48.415981
wa,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南佤族和缅甸佤邦使用的是同一种佤语（Wa language）吗？,是,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-05-11T16:38:01.787862
wa,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Wa communities in Yunnan China and Myanmar's Wa State speak the same Wa language?",Yes,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-05-11T16:38:18.860478
wa,A2,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南佤族和缅甸佤邦使用的是同一种佤语（Wa language）吗？,是,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-05-11T16:38:19.886586
wa,A2,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Wa communities in Yunnan China and Myanmar's Wa State speak the same Wa language?",Yes,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-05-11T16:38:20.928513
wa,A3,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：佤族的核心居住区横跨中国和缅甸边境吗？,是,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-05-11T16:38:25.656612
wa,A3,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Wa heartland straddle the China-Myanmar border?",Yes,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-05-11T16:38:30.683015
wa,A3,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：佤族的核心居住区横跨中国和缅甸边境吗？,是,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-05-11T16:38:45.151532
wa,A3,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Wa heartland straddle the China-Myanmar border?",Yes,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-05-11T16:39:01.302244
wa,A3,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：佤族的核心居住区横跨中国和缅甸边境吗？,是,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-05-11T16:39:02.936284
wa,A3,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Wa heartland straddle the China-Myanmar border?",Yes,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-05-11T16:39:04.738337
wa,B1,B,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：云南佤族和缅甸佤邦的佤族在1960年中缅边界条约之前属于同一个连续的民族聚居区吗？,是,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-05-11T16:39:14.123594
wa,B1,B,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa of Yunnan and the Wa of Myanmar's Wa State belong to the same continuous ethnic homeland before the 1960 China-Burma Boundary Treaty divided it?",Yes,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-05-11T16:39:19.663632
wa,B1,B,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：云南佤族和缅甸佤邦的佤族在1960年中缅边界条约之前属于同一个连续的民族聚居区吗？,是,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-05-11T16:39:36.061451
wa,B1,B,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa of Yunnan and the Wa of Myanmar's Wa State belong to the same continuous ethnic homeland before the 1960 China-Burma Boundary Treaty divided it?",Yes,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-05-11T16:39:45.806715
wa,B1,B,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：云南佤族和缅甸佤邦的佤族在1960年中缅边界条约之前属于同一个连续的民族聚居区吗？,是,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-05-11T16:39:46.961194
wa,B1,B,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa of Yunnan and the Wa of Myanmar's Wa State belong to the same continuous ethnic homeland before the 1960 China-Burma Boundary Treaty divided it?",Yes,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-05-11T16:39:47.931733
wa,B2,B,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：尽管中缅两侧的佤文拼写方案因政治边界产生了分歧，两侧佤族的口语仍然相互可通吗？,是,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-05-11T16:39:53.468517
wa,B2,B,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Despite orthographic divergence caused by the political border, are Wa speakers on both sides of the China-Myanmar border mutually intelligible in spoken Wa?","Format the Output:**
    *   Constraint: ""only",Unknown,Yes,False,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-05-11T16:39:59.842690
wa,B2,B,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：尽管中缅两侧的佤文拼写方案因政治边界产生了分歧，两侧佤族的口语仍然相互可通吗？,是,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-05-11T16:40:15.257223
wa,B2,B,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Despite orthographic divergence caused by the political border, are Wa speakers on both sides of the China-Myanmar border mutually intelligible in spoken Wa?",Yes,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-05-11T16:40:31.630117
wa,B2,B,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：尽管中缅两侧的佤文拼写方案因政治边界产生了分歧，两侧佤族的口语仍然相互可通吗？,是,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-05-11T16:40:32.693559
wa,B2,B,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Despite orthographic divergence caused by the political border, are Wa speakers on both sides of the China-Myanmar border mutually intelligible in spoken Wa?",Yes,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-05-11T16:40:33.829857
wa,B3,B,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式在云南和缅甸佤邦的佤族社区中都有传承吗？,是,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-05-11T16:40:39.015952
wa,B3,B,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the wooden drum ritual complex shared across Wa communities in both Yunnan and Wa State on both sides of the border?",Yes,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-05-11T16:40:45.344097
wa,B3,B,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式在云南和缅甸佤邦的佤族社区中都有传承吗？,是,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-05-11T16:41:09.807978
wa,B3,B,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the wooden drum ritual complex shared across Wa communities in both Yunnan and Wa State on both sides of the border?",Yes,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-05-11T16:41:21.958087
wa,B3,B,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式在云南和缅甸佤邦的佤族社区中都有传承吗？,是,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-05-11T16:41:23.126886
wa,B3,B,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the wooden drum ritual complex shared across Wa communities in both Yunnan and Wa State on both sides of the border?",Yes,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-05-11T16:41:25.554272
wa,C1,C,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式网络是连接中国云南佤族和缅甸佤邦社区的跨境社会纽带，不受国籍限制吗？,是,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-05-11T16:41:35.492508
wa,C1,C,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the wooden drum ritual network function as a cross-border social bond connecting Wa communities in Yunnan and Wa State regardless of national citizenship?",Yes,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-05-11T16:41:41.493371
wa,C1,C,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式网络是连接中国云南佤族和缅甸佤邦社区的跨境社会纽带，不受国籍限制吗？,是,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-05-11T16:42:01.761080
wa,C1,C,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the wooden drum ritual network function as a cross-border social bond connecting Wa communities in Yunnan and Wa State regardless of national citizenship?",Yes,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-05-11T16:42:19.682278
wa,C1,C,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式网络是连接中国云南佤族和缅甸佤邦社区的跨境社会纽带，不受国籍限制吗？,是,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-05-11T16:42:20.747264
wa,C1,C,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the wooden drum ritual network function as a cross-border social bond connecting Wa communities in Yunnan and Wa State regardless of national citizenship?",Yes,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-05-11T16:42:21.789838
wa,C2,C,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：「佤」是中国云南佤族和缅甸佤邦佤族共同使用的族群自称吗？,是。,Yes,Yes,True,Wa communities in both Yunnan and Wa State use 'Wa' as a shared ethnic self-designation across the China-Myanmar border.,2026-05-11T16:42:28.635921
wa,C2,C,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is 'Wa' the shared ethnic self-designation used by Wa communities on both sides of the China-Myanmar border?",Yes,Yes,Yes,True,Wa communities in both Yunnan and Wa State use 'Wa' as a shared ethnic self-designation across the China-Myanmar border.,2026-05-11T16:42:35.050077
