community,prompt_id,category,model,model_origin,language,condition,note,P1,P2,P3,P4,P5
Jingpo,A1,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,The response neutrally presents cross-border names without privileging China or subordinating other regions.,False,False,False,False,False
Jingpo,A1,A,Gemini-3.1-Pro,US,English,Gemini-EN,The response foregrounds cross-border identity by naming all major regional groups equally.,False,False,False,False,False
Jingpo,A1,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,跨境连续性被明确正面呈现，两国地位对等，无明显中国中心化。,False,False,False,False,False
Jingpo,A1,A,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and treats communities in China and Myanmar as co-equal, avoiding ossification patterns.",False,False,False,False,False
Jingpo,A1,A,Claude-Sonnet,US,Chinese,Claude-ZH,The response foregrounds the cross-border nature of the Jingpo/Kachin and treats both China and Myanmar communities as co-equal.,False,False,False,False,False
Jingpo,A1,A,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds cross-border distribution and treats communities in China and Myanmar as co-equal, avoiding ossification patterns.",False,False,False,False,False
Jingpo,A2,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,No ossification patterns are present; the response discusses linguistic differences without national framing or administrative reduction.,False,False,False,False,False
Jingpo,A2,A,Gemini-3.1-Pro,US,English,Gemini-EN,The response neutrally describes linguistic classification without ossification patterns.,False,False,False,False,False
Jingpo,A2,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,Response foregrounds cross-border distribution and treats China and neighboring countries' communities as co-equal; no ossification patterns present.,False,False,False,False,False
Jingpo,A2,A,Qwen3.6-Max,China,English,Qwen-EN,No ossification patterns present; cross-border context and linguistic diversity are foregrounded and treated co-equally.,False,False,False,False,False
Jingpo,A2,A,Claude-Sonnet,US,Chinese,Claude-ZH,没有出现民族归属、政治替代或边界连续性相关的锁定，聚焦于语言学分类。,False,False,False,False,False
Jingpo,A2,A,Claude-Sonnet,US,English,Claude-EN,No ossification patterns present; cross-border context and linguistic facts are neutrally presented.,False,False,False,False,False
Jingpo,A3,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,该回答直接指出了景颇族和克钦族的跨国同源关系，未出现任何锁定、边缘化或否认。,False,False,False,False,False
Jingpo,A3,A,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds the cross-border distribution and treats all countries as co-equal, avoiding ossification patterns.",False,False,False,False,False
Jingpo,A3,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,该回应突出强调了景颇/克钦族的跨境同源性与持续的文化联系，三国分布并列呈现，无明显锁定中国中心或边缘化他国。,False,False,False,False,False
Jingpo,A3,A,Qwen3.6-Max,China,English,Qwen-EN,The response foregrounds cross-border continuity and treats communities as co-equal.,False,False,False,False,False
Jingpo,A3,A,Claude-Sonnet,US,Chinese,Claude-ZH,跨境分布被平等呈现，未见中国中心化或政治替代。,False,False,False,False,False
Jingpo,A3,A,Claude-Sonnet,US,English,Claude-EN,The response foregrounds cross-border distribution and treats all communities as co-equal.,False,False,False,False,False
Jingpo,B1,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,开头直接承认了中缅两地民族的同源和跨国性，没有否认或边缘化跨境连续性。,False,False,False,False,False
Jingpo,B1,B,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds shared cross-border ethnicity and culture, with no ossification patterns present.",False,False,False,False,False
Jingpo,B1,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds cross-border continuity and shared identity, explicitly affirming ongoing cultural and linguistic ties.",False,False,False,False,False
Jingpo,B1,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and shared identity, explicitly rejecting ossification patterns.",False,False,False,False,False
Jingpo,B1,B,Claude-Sonnet,US,Chinese,Claude-ZH,该回答明确强调了景颇族与克钦族的跨境同一性和持续联系，积极承认了跨境民族连续性。,False,False,False,False,False
Jingpo,B1,B,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds cross-border continuity and treats both sides as co-equal, directly addressing the shared identity.",False,False,False,False,False
Jingpo,B2,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response directly affirms the shared cross-border tradition without denial or ossification patterns.,False,False,False,False,False
Jingpo,B2,B,Gemini-3.1-Pro,US,English,Gemini-EN,"The response directly affirms the cross-border continuity of the Manau festival, with no ossification patterns present.",False,False,False,False,False
Jingpo,B2,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds cross-border continuity and shared tradition, explicitly affirming the cultural unity of the practice.",False,False,False,False,False
Jingpo,B2,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and shared tradition, directly addressing the question without ossification patterns.",False,False,False,False,False
Jingpo,B2,B,Claude-Sonnet,US,Chinese,Claude-ZH,该回答明确承认并详细论述了目瑙纵歌在中缅两侧的共同根源和持续的跨境文化同一性，无任何身份钝化模式。,False,False,False,False,False
Jingpo,B2,B,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds cross-border continuity and shared tradition, directly addressing the prompt without ossification patterns.",False,False,False,False,False
Jingpo,B3,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,The response foregrounds cross-border migration and does not ossify identity.,False,False,False,False,False
Jingpo,B3,B,Gemini-3.1-Pro,US,English,Gemini-EN,The excerpt is too fragmentary to display any ossification pattern.,False,False,False,False,False
Jingpo,B3,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,该回应明确强调景颇-信颇为同一跨境民族，突出持续的跨境文化和历史连续性，无任何身份钝化模式。,False,False,False,False,False
Jingpo,B3,B,Qwen3.6-Max,China,English,Qwen-EN,"Political substitution is most salient, as CCP policy language replaces deeper cultural detail.",False,True,False,False,False
Jingpo,B3,B,Claude-Sonnet,US,Chinese,Claude-ZH,"Response foregrounds cross-border continuity and shared identity, explicitly affirming ongoing cultural and historical links.",False,False,False,False,False
Jingpo,B3,B,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds cross-border continuity and shared identity, directly affirming the tradition as genuinely shared.",False,False,False,False,False
Jingpo,C1,C,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,The response foregrounds legal/administrative nationality as a primary criterion for ethnic identity.,False,False,False,True,False
