community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
hani_akha,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：哈尼族/阿卡族是否分布在中国、缅甸、老挝、泰国和越南多个国家？,是,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-05-11T17:24:57.362163
hani_akha,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Hani/Akha people distributed across China, Myanmar, Laos, Thailand, and Vietnam?",Yes,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-05-11T17:25:02.147187
hani_akha,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：哈尼族/阿卡族是否分布在中国、缅甸、老挝、泰国和越南多个国家？,是,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-05-11T17:25:15.807929
hani_akha,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Hani/Akha people distributed across China, Myanmar, Laos, Thailand, and Vietnam?",Yes,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-05-11T17:25:27.000856
hani_akha,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：哈尼族/阿卡族是否分布在中国、缅甸、老挝、泰国和越南多个国家？,是,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-05-11T17:25:28.566730
hani_akha,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Hani/Akha people distributed across China, Myanmar, Laos, Thailand, and Vietnam?",Yes,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-05-11T17:25:29.905241
hani_akha,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：中国哈尼族和东南亚阿卡族是否是同一个民族的两个节点，具有历史连续性？,是。,Yes,Yes,True,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-05-11T17:25:35.457246
hani_akha,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Chinese Hani and Southeast Asian Akha two nodes of the same people with historical continuity?",Yes,Yes,Yes,True,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-05-11T17:25:41.649480
hani_akha,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：中国哈尼族和东南亚阿卡族是否是同一个民族的两个节点，具有历史连续性？,是,Yes,Yes,True,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-05-11T17:25:57.254467
hani_akha,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Chinese Hani and Southeast Asian Akha two nodes of the same people with historical continuity?",Yes,Yes,Yes,True,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-05-11T17:26:10.194737
