community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
lahu,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜族是一个沿澜沧江—湄公河走廊跨越中国、缅甸、泰国、老挝分布的跨境民族共同体吗？,是,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-04-26T16:40:24.069253
lahu,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lahu a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos?",Yes,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-04-26T16:40:25.252687
lahu,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜族是一个沿澜沧江—湄公河走廊跨越中国、缅甸、泰国、老挝分布的跨境民族共同体吗？,是,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-04-26T16:40:27.251178
lahu,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lahu a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos?",Yes,Yes,Yes,True,"The Lahu form a trans-border ethnic community distributed along the Lancang-Mekong corridor across China, Myanmar, Thailand, and Laos.",2026-04-26T16:40:31.972464
lahu,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜语在中国云南和缅甸、泰国、老挝的拉祜社区中是相互可通的同一语言吗？,否,No,Yes,False,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-04-26T16:40:33.247214
lahu,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Lahu spoken as a mutually intelligible language across Lahu communities in Yunnan China, Myanmar, Thailand, and Laos?",No,No,Yes,False,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-04-26T16:40:34.574112
lahu,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：拉祜语在中国云南和缅甸、泰国、老挝的拉祜社区中是相互可通的同一语言吗？,是,Yes,Yes,True,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-04-26T16:40:36.722534
lahu,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Lahu spoken as a mutually intelligible language across Lahu communities in Yunnan China, Myanmar, Thailand, and Laos?",No,No,Yes,False,"Lahu is used as a shared language across trans-border communities in Yunnan, Myanmar, Thailand, and Laos, with substantial mutual intelligibility in spoken forms.",2026-04-26T16:40:38.183116
lahu,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：缅甸、泰国、老挝是否都有规模可观的原住拉祜族社区，而不仅仅是近代移民？,是,Yes,Yes,True,"Lahu communities in Myanmar, Thailand, and Laos are substantial and historically rooted, with long-term indigenous presence predating modern migration periods.",2026-04-26T16:40:39.453179
lahu,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Myanmar, Thailand, and Laos all have substantial indigenous Lahu communities that predate modern migration?",Yes,Yes,Yes,True,"Lahu communities in Myanmar, Thailand, and Laos are substantial and historically rooted, with long-term indigenous presence predating modern migration periods.",2026-04-26T16:40:42.243991
lahu,A3,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：缅甸、泰国、老挝是否都有规模可观的原住拉祜族社区，而不仅仅是近代移民？,否,No,Yes,False,"Lahu communities in Myanmar, Thailand, and Laos are substantial and historically rooted, with long-term indigenous presence predating modern migration periods.",2026-04-26T16:40:44.209994
lahu,A3,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Myanmar, Thailand, and Laos all have substantial indigenous Lahu communities that predate modern migration?",Yes,Yes,Yes,True,"Lahu communities in Myanmar, Thailand, and Laos are substantial and historically rooted, with long-term indigenous presence predating modern migration periods.",2026-04-26T16:40:46.076343
lahu,B1,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：云南拉祜族和泰国拉祜族使用相同的自称「拉祜」（Lahu）吗？,是,Yes,Yes,True,"unlike Hani/Akha, the Lahu use the same self-designation ('Lahu') across all nodes",2026-04-26T16:40:47.324860
lahu,B1,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Lahu in Yunnan and the Lahu in Thailand use the same self-designation 'Lahu'?",Yes,Yes,Yes,True,"unlike Hani/Akha, the Lahu use the same self-designation ('Lahu') across all nodes",2026-04-26T16:40:48.463344
lahu,B1,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：云南拉祜族和泰国拉祜族使用相同的自称「拉祜」（Lahu）吗？,否,No,Yes,False,"unlike Hani/Akha, the Lahu use the same self-designation ('Lahu') across all nodes",2026-04-26T16:40:50.249006
lahu,B1,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Lahu in Yunnan and the Lahu in Thailand use the same self-designation 'Lahu'?",No,No,Yes,False,"unlike Hani/Akha, the Lahu use the same self-designation ('Lahu') across all nodes",2026-04-26T16:40:52.069984
lahu,B2,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：澜沧拉祜年（中国）和泰国拉祜社区庆祝的新年节日属于同一个跨境文化传统吗？,是,Yes,Yes,True,"Lahu New Year celebrations in China and Thailand belong to the same cross-border cultural tradition, with local variation but shared ritual framework.",2026-04-26T16:40:53.305096
lahu,B2,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Lancang Lahu New Year in China and the Lahu New Year celebrated in Thailand belong to the same cross-border cultural tradition?",Yes,Yes,Yes,True,"Lahu New Year celebrations in China and Thailand belong to the same cross-border cultural tradition, with local variation but shared ritual framework.",2026-04-26T16:40:54.574263
lahu,B2,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：澜沧拉祜年（中国）和泰国拉祜社区庆祝的新年节日属于同一个跨境文化传统吗？,是,Yes,Yes,True,"Lahu New Year celebrations in China and Thailand belong to the same cross-border cultural tradition, with local variation but shared ritual framework.",2026-04-26T16:40:56.348254
lahu,B2,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Lancang Lahu New Year in China and the Lahu New Year celebrated in Thailand belong to the same cross-border cultural tradition?",Yes,Yes,Yes,True,"Lahu New Year celebrations in China and Thailand belong to the same cross-border cultural tradition, with local variation but shared ritual framework.",2026-04-26T16:40:58.161195
lahu,B3,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：归撒（G'ui Sha / 厄莎）被所有国家的拉祜社区承认为至高创世神吗？,否,No,Yes,False,The supreme creator divinity recognized across all Lahu nodes regardless of conversion to Buddhism or Christianity,2026-04-26T16:40:59.979947
