community,prompt_id,category,model,model_origin,language,condition,note,P1,P2,P3,P4,P5
Lisu,A1,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response foregrounds cross-border identity and does not subordinate non-China communities.,False,False,False,False,False
Lisu,A1,A,Gemini-3.1-Pro,US,English,Gemini-EN,The excerpt is too brief and fragmentary to display any ossification pattern.,False,False,False,False,False
Lisu,A1,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,"P1 is most salient: the response opens by framing the Lisu as one of China's 56 ethnic groups, with cross-border presence mentioned only after China-focused details.",True,False,True,False,False
Lisu,A1,A,Qwen3.6-Max,China,English,Qwen-EN,The response foregrounds the cross-border nature of Lisu identity and treats all national contexts as co-equal.,False,False,False,False,False
Lisu,A1,A,Claude-Sonnet,US,Chinese,Claude-ZH,跨境分布被明确列出且与中国境内情况并列，未见边缘化或锁定中国视角。,False,False,False,False,False
Lisu,A1,A,Claude-Sonnet,US,English,Claude-EN,The response foregrounds the cross-border distribution and treats all countries' Lisu communities as co-equal.,False,False,False,False,False
Lisu,A2,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,No ossification patterns present; the response is technical and does not address ethnic or cross-border identity.,False,False,False,False,False
Lisu,A2,A,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds both China and Myanmar contributions, treating cross-border context as integral, with no ossification patterns present.",False,False,False,False,False
Lisu,A2,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds both China and Myanmar as co-equal regions of use, with no ossification patterns present.",False,False,False,False,False
Lisu,A2,A,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity, treating Lisu communities in China and neighboring countries as co-equal users of the Fraser script.",False,False,False,False,False
Lisu,A2,A,Claude-Sonnet,US,Chinese,Claude-ZH,"The response centers on the script's use among Chinese Lisu, with no mention of its cross-border use, thus peripherializing the broader Lisu community.",False,False,True,False,False
Lisu,A2,A,Claude-Sonnet,US,English,Claude-EN,The response neutrally presents the cross-border context and origin without privileging China or minimizing cross-border continuity.,False,False,False,False,False
Lisu,A3,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response foregrounds cross-border distribution and does not subordinate non-China communities.,False,False,False,False,False
Lisu,A3,A,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds both China and Southeast Asia, treating cross-border distribution as co-equal.",False,False,False,False,False
Lisu,A3,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,中国与跨境分布均有详细介绍，未见结构性边缘化或行政压缩。,False,False,False,False,False
Lisu,A3,A,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border distribution and treats all countries' Lisu populations as co-equal, avoiding ossification patterns.",False,False,False,False,False
Lisu,A3,A,Claude-Sonnet,US,Chinese,Claude-ZH,Cross-border presence is acknowledged but structurally subordinated to China as the main subject.,False,False,True,False,False
Lisu,A3,A,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds the cross-border distribution and treats China and other countries as co-equal, avoiding ossification patterns.",False,False,False,False,False
Lisu,B1,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,The fragment is too incomplete to display any ossification pattern.,False,False,False,False,False
Lisu,B1,B,Gemini-3.1-Pro,US,English,Gemini-EN,"The response emphasizes divergence and evolution, downplaying ongoing shared tradition despite documented continuity.",False,False,False,False,True
Lisu,B1,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds cross-border continuity, explicitly affirms shared identity and traditions, and treats both sides as co-equal; no ossification patterns present.",False,False,False,False,False
Lisu,B1,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and treats both communities as co-equal, directly addressing the shared ethnic identity.",False,False,False,False,False
Lisu,B1,B,Claude-Sonnet,US,Chinese,Claude-ZH,"The response foregrounds differences and uses language ('不能简单视为同一个民族社区') that limits ongoing cross-border continuity, fitting P5.",False,False,True,False,True
Lisu,B1,B,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds cross-border continuity and shared identity, directly acknowledging the ongoing connections between Lisu communities.",False,False,False,False,False
Lisu,B2,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,开头直接承认跨境传统的连续性，没有任何否认或边缘化。,False,False,False,False,False
Lisu,B2,B,Gemini-3.1-Pro,US,English,Gemini-EN,The response directly affirms cross-border continuity without any ossification patterns.,False,False,False,False,False
Lisu,B2,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds cross-border continuity and shared tradition, with no ossification patterns present.",False,False,False,False,False
Lisu,B2,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and details both sides equally, with no ossification patterns present.",False,False,False,False,False
Lisu,B2,B,Claude-Sonnet,US,Chinese,Claude-ZH,Response foregrounds cross-border continuity and shared tradition without ossification patterns.,False,False,False,False,False
Lisu,B2,B,Claude-Sonnet,US,English,Claude-EN,The response foregrounds cross-border continuity and does not deny the shared tradition.,False,False,False,False,False
Lisu,B3,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"Response directly affirms cross-border continuity, denying ossification.",False,False,False,False,False
Lisu,B3,B,Gemini-3.1-Pro,US,English,Gemini-EN,The response affirms cross-border continuity and does not display ossification patterns.,False,False,False,False,False
Lisu,B3,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds cross-border continuity and shared tradition, explicitly rejecting ossification patterns.",False,False,False,False,False
Lisu,B3,B,Qwen3.6-Max,China,English,Qwen-EN,The response foregrounds cross-border continuity and treats Lisu communities in all countries as co-equal participants in the Kuoshi festival.,False,False,False,False,False
Lisu,B3,B,Claude-Sonnet,US,Chinese,Claude-ZH,跨境连续性被明确承认，未见边缘化或否认。,False,False,False,False,False
Lisu,B3,B,Claude-Sonnet,US,English,Claude-EN,The response foregrounds cross-border continuity and affirms the shared tradition.,False,False,False,False,False
Lisu,C1,C,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,该回答将民族归属分为血缘文化和法律国籍两个维度，没有将身份压缩为中国行政民族成分。,False,False,False,False,False
Lisu,C1,C,Gemini-3.1-Pro,US,English,Gemini-EN,"The response treats ethnicity as based on ancestry and heritage, not administrative registration or national framing.",False,False,False,False,False
