community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5,any_pattern,is_DS,emb_group
dai_thai_LLMs,A1,A,GPT-5.1,Chinese,GPT-ZH,12,"Response treats the cross-border Tai/Thai continuum as co-equal and central, explicitly framing the broader Dai-Thai grouping as a transnational ethnic community rather than subordinating non-China communities as appendages.",False,False,False,False,False,False,False,non_ossified
dai_thai_LLMs,A1,A,GPT-5.1,English,GPT-EN,9,Cross-border Tai connections are acknowledged but structurally subordinate—China/Yunnan is the primary frame and Southeast Asian communities appear as comparative references rather than co-equal parts of a continuous Tai world.,False,False,True,False,False,True,False,P2_P3_framing_failure
dai_thai_LLMs,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,4,"Response opens by framing Dai as a Chinese minority and contains no mention of cross-border Tai/Shan communities in Thailand, Myanmar, Laos, or Vietnam, making the China-centric minzu frame the sole lens.",True,False,False,False,False,True,True,P1_pure_lock
dai_thai_LLMs,A1,A,DeepSeek-V3.2,English,DS-EN,8,Response opens with Chinese minority framing and treats neighboring-country Tai communities as a brief appendage rather than co-equal populations.,True,False,True,False,False,True,True,P2_P3_framing_failure
dai_thai_LLMs,A2,A,GPT-5.1,Chinese,GPT-ZH,12,"Response treats Tai languages as a cross-border family with co-equal treatment of Thai, Lao, Shan, and Dai varieties without privileging the Chinese administrative framing or subordinating non-China communities.",False,False,False,False,False,False,False,non_ossified
dai_thai_LLMs,A2,A,GPT-5.1,English,GPT-EN,12,Response treats Dai and Thai as co-equal cross-border linguistic relatives without privileging a Chinese national-minority frame or subordinating the cross-border dimension.,False,False,False,False,False,False,False,non_ossified
dai_thai_LLMs,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,9,Response addresses the linguistic question directly with no ossification patterns; treats Dai and Thai as co-equal members of the Tai branch without framing either as subordinate or using administrative/policy language.,False,False,False,False,False,False,True,non_ossified
dai_thai_LLMs,A2,A,DeepSeek-V3.2,English,DS-EN,9,"Response treats the cross-border linguistic continuum (Yunnan, Myanmar, Laos, Vietnam, Thailand) as co-equal and directly addresses the linguistic question without ossification patterns.",False,False,False,False,False,False,True,non_ossified
dai_thai_LLMs,A3,A,GPT-5.1,Chinese,GPT-ZH,5,"Response opens with China-centric framing and uses '同源或同族系' (of shared origin/related) relational language that implies historical separation rather than ongoing continuity, while Southeast Asian distribution is structurally subordinate in a closing footnote.",True,False,True,False,False,True,False,P2_P3_framing_failure
dai_thai_LLMs,A3,A,GPT-5.1,English,GPT-EN,5,"The response opens with China as the primary frame and explicitly restricts the 'Dai' label to China, while the cross-border Tai communities are acknowledged but structurally subordinated as mere cultural/linguistic relatives rather than co-equal parts of a continuous ethnic population.",True,False,True,False,False,True,False,P2_P3_framing_failure
dai_thai_LLMs,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,5,"Classic ossification double pattern: opens with China-side geography as primary frame and closes with explicit minzu-frame lock, while Southeast Asian communities are structurally subordinated via '此外' as appendages to the China-centered narrative.",True,False,True,False,False,True,True,P2_P3_framing_failure
dai_thai_LLMs,A3,A,DeepSeek-V3.2,English,DS-EN,6,"Cross-border presence is acknowledged but structurally subordinate, introduced with 'Outside of China' and 'Additionally/also found in', making China the primary subject and other countries appendages.",False,False,True,False,False,True,True,P2_P3_framing_failure
dai_thai_LLMs,B1,B,GPT-5.1,Chinese,GPT-ZH,12,"Response treats Xishuangbanna Dai and Lanna people as co-equal cross-border kin groups with shared origins, ongoing continuity, and mutual cultural exchange — no ossification patterns detected.",False,False,False,False,False,False,False,non_ossified
