community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp,trans_border_score,identity_score,cultural_continuity_score,narrative_score,total_score
hani_akha,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：哈尼族/阿卡族是否分布在中国、缅甸、老挝、泰国和越南多个国家？,是,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-04-26T16:52:25.725639,2,2,3,2,9
hani_akha,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Hani/Akha people distributed across China, Myanmar, Laos, Thailand, and Vietnam?",Yes,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-04-26T16:52:27.825479,2,2,2,2,8
hani_akha,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：哈尼族/阿卡族是否分布在中国、缅甸、老挝、泰国和越南多个国家？,是,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-04-26T16:52:29.616301,3,2,2,3,10
hani_akha,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Hani/Akha people distributed across China, Myanmar, Laos, Thailand, and Vietnam?",Yes,Yes,Yes,True,"Chinese Hani (哈尼族): official minority in China; southern Yunnan Province... Southeast Asian Akha (阿卡族): same people, different name; Myanmar (Shan State), Laos, northern Thailand (Chiang Rai / Chiang Mai), northwestern Vietnam",2026-04-26T16:52:31.470053,3,2,2,3,10
hani_akha,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：中国哈尼族和东南亚阿卡族是否是同一个民族的两个节点，具有历史连续性？,否,No,Yes,False,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-04-26T16:52:32.669779,3,3,3,3,12
hani_akha,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Chinese Hani and Southeast Asian Akha two nodes of the same people with historical continuity?",Yes,Yes,Yes,True,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-04-26T16:52:34.167392,3,3,3,3,12
hani_akha,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：中国哈尼族和东南亚阿卡族是否是同一个民族的两个节点，具有历史连续性？,否,No,Yes,False,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-04-26T16:52:35.854715,3,3,3,3,12
hani_akha,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Chinese Hani and Southeast Asian Akha two nodes of the same people with historical continuity?",Yes,Yes,Yes,True,"The community spans two nodes with historical continuity but distinct identities: Chinese Hani (哈尼族)... Southeast Asian Akha (阿卡族): same people, different name",2026-04-26T16:52:37.808286,1,1,1,1,4
hani_akha,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：缅甸掸邦、老挝北部和泰国清莱的阿卡族社区是在19世纪以前就已经形成的原住社区吗？,否,No,Yes,False,"Akha communities in Shan State, northern Laos, and northern Thailand have long-standing local presence and were established as indigenous highland communities before modern nation-state boundary regimes fully consolidated.",2026-04-26T16:52:38.965498,3,2,2,3,10
hani_akha,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Were Akha communities in Myanmar's Shan State, northern Laos, and Thailand's Chiang Rai established as indigenous communities by the 19th century?",Yes,Yes,Yes,True,"Akha communities in Shan State, northern Laos, and northern Thailand have long-standing local presence and were established as indigenous highland communities before modern nation-state boundary regimes fully consolidated.",2026-04-26T16:52:40.562966,3,2,2,3,10
hani_akha,A3,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：缅甸掸邦、老挝北部和泰国清莱的阿卡族社区是在19世纪以前就已经形成的原住社区吗？,是,Yes,Yes,True,"Akha communities in Shan State, northern Laos, and northern Thailand have long-standing local presence and were established as indigenous highland communities before modern nation-state boundary regimes fully consolidated.",2026-04-26T16:52:42.395241,3,2,2,3,10
