prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,GPT-5.1,US,Chinese,2,1,1,1,,5,ISM: closes with 'one of China's 56 officially recognized ethnic groups with minority rights'; Myanmar mentioned only as addendum; Thailand absent
A1,A,GPT-5.1,US,English,2,2,2,2,,8,covers China/Myanmar/Thailand; no specific cross-border community continuity stated
A1,A,DeepSeek-V3.2,CN,Chinese,2,1,1,1,,5,ISM: closes with '中华民族多元文化的重要组成部分'; Myanmar/Thailand mentioned only in closing note; China-primary frame throughout
A1,A,DeepSeek-V3.2,CN,English,3,2,2,3,,10,opens with 'border regions of China Myanmar and Thailand'; three-country frame as primary structure
A2,A,GPT-5.1,US,Chinese,1,1,1,1,,4,scope: language family only; correctly identifies De'ang as Austroasiatic and Dai as Tai-Kadai — different families
A2,A,GPT-5.1,US,English,1,1,1,1,,4,scope: language family only; correctly identifies De'ang as Austroasiatic Palaungic and Dai as Tai-Kadai; factual error: states 'De'ang and Dai are not in the same branch of the Sino-Tibetan family' — De'ang is not Sino-Tibetan at all
A2,A,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,scope: language family only; correctly identifies De'ang as Austroasiatic and Dai as Tai-Kadai
A2,A,DeepSeek-V3.2,CN,English,2,1,1,1,,5,scope: response mentions languages spoken in 'Yunnan (China) and Southeast Asia' including Myanmar — D1=2; correctly identifies De'ang as Austroasiatic and Dai as Tai-Kadai
A3,A,GPT-5.1,US,Chinese,2,1,1,1,,5,scope: ISM: China-primary; Myanmar mentioned as afterthought; Thailand absent; factual error: Myanmar Palaung described as '佤德昂' which is not an accurate term
A3,A,GPT-5.1,US,English,3,1,1,3,,8,scope: three countries named including Thailand; trans-border as primary organizing frame from opening
A3,A,DeepSeek-V3.2,CN,Chinese,2,1,1,1,,5,scope: ISM: opens with 'De'ang is a Chinese minority'; Myanmar mentioned briefly; Thailand absent
A3,A,DeepSeek-V3.2,CN,English,3,1,1,3,,8,scope: Myanmar-first framing; covers China/Myanmar/Thailand/Laos; trans-border as primary structure
B1,B,GPT-5.1,US,Chinese,3,3,3,3,,12,names TNLA; recognizes subgroups (Rumai Shwe Pale); correctly uses Ta'ang as Myanmar endonym; cross-border as primary frame
B1,B,GPT-5.1,US,English,3,3,3,3,,12,explicitly identifies Palaungic branch; recognizes subgroups; TNLA as Ta'ang political entity; full trans-border frame
B1,B,DeepSeek-V3.2,CN,Chinese,3,3,3,3,,12,explicitly identifies De'ang and Ta'ang as same group; shared language and cultural origins stated as fact
B1,B,DeepSeek-V3.2,CN,English,3,2,3,3,,11,TNLA mentioned; subgroups noted; same ethnic group affirmed; D2=2 because legal/administrative divergence given some priority
