community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
lisu,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：傈僳族是一个跨越中国、缅甸、泰国和印度四个国家的跨境民族社区吗？,是,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-05-11T17:15:12.138329
lisu,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lisu a trans-border ethnic community spanning four countries (China, Myanmar, Thailand, and India)?",Yes,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-05-11T17:15:16.995262
lisu,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：傈僳族是一个跨越中国、缅甸、泰国和印度四个国家的跨境民族社区吗？,是,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-05-11T17:15:31.136734
lisu,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lisu a trans-border ethnic community spanning four countries (China, Myanmar, Thailand, and India)?",Yes,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-05-11T17:15:45.773294
lisu,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：傈僳族是一个跨越中国、缅甸、泰国和印度四个国家的跨境民族社区吗？,是,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-05-11T17:15:48.847862
lisu,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Lisu a trans-border ethnic community spanning four countries (China, Myanmar, Thailand, and India)?",Yes,Yes,Yes,True,"The Lisu are an archetypal Zomia community, dispersed across the rugged highlands of the Salween (Nu River / 怒江) and Mekong (Lancang / 澜沧江) basins, spanning four countries",2026-05-11T17:15:50.358534
lisu,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：老傈僳文（Fraser字母）是在缅甸的傈僳族社区中发展起来的书写系统，而非源自中国境内吗？,否,No,Yes,False,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-05-11T17:15:55.912115
lisu,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Was the Fraser script developed among Lisu communities in Myanmar, rather than originating within China?",No,No,Yes,False,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-05-11T17:16:01.281556
lisu,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：老傈僳文（Fraser字母）是在缅甸的傈僳族社区中发展起来的书写系统，而非源自中国境内吗？,否,No,Yes,False,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-05-11T17:16:21.658081
lisu,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Was the Fraser script developed among Lisu communities in Myanmar, rather than originating within China?",No,No,Yes,False,The Fraser script developed in missionary-Lisu contexts in Myanmar and later spread trans-border; it did not originate within China.,2026-05-11T17:16:42.077063
