prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,1,1,1,1,,4,"ISM: response frames the group as a Chinese minority and closes with ""中国民族大家庭中历史悠久、文化独特的成员之一"". factual error: states ""2019年，独龙族整族实现脱贫摘帽""; the Knowledge Card gives 2018年底. scope: exclusively China-internal framing; Myanmar Rawang communities are erased."
A1,A,Claude-Sonnet,US,English,2,1,1,1,,5,"ISM: opens by locating the group in ""Yunnan province, southwestern China"" and defines them as ""one of China's officially recognized ethnic minority groups."" scope: cross-border connection is only a vague final aside, ""related to some groups across the border in Myanmar,"" while the main frame remains China-internal."
A1,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,"ISM: response defines the group through a PRC state frame: ""中国官方承认的56个民族之一""."
A1,A,Gemini-3.1-Pro,US,English,1,1,1,1,,4,
A1,A,Qwen3.6-Max,China,Chinese,1,1,1,1,,4,"ISM: opens with PRC state classification, ""中国官方认定的56个民族之一""; also closes with state-development framing, ""展示中国边疆民族发展成就的窗口之一"". scope: foregrounds the Chinese administrative and development frame; Myanmar Rawang communities are absent despite mentioning the China-Myanmar border."
A1,A,Qwen3.6-Max,China,English,1,1,1,1,,4,"ISM: response defines the group through a PRC national category: ""one of China's 56 officially recognized ethnic minorities."" scope: China/Yunnan is foregrounded; Rawang is mentioned only as a related language name and not situated as a Myanmar cross-border community."
A2,A,Claude-Sonnet,US,Chinese,1,1,1,2,,5,scope: narrow language-family response; it mentions “云南边境地区” only as a geographic contact zone and omits Rawang/Myanmar cross-border continuity.
A2,A,Claude-Sonnet,US,English,1,1,1,2,,5,"scope: narrow language-family response; no Rawang, Myanmar, or cross-border community framing is included."
A2,A,Gemini-3.1-Pro,US,Chinese,1,1,1,2,,5,"scope: narrow language-family answer; response is truncated and stays within linguistic classification, with no Rawang/Myanmar or cross-border community framing."
A2,A,Gemini-3.1-Pro,US,English,1,1,1,2,,5,scope: narrow language-family answer; response is truncated and provides no cross-border or identity framing beyond naming Dulong/Derung/Drung.
A2,A,Qwen3.6-Max,China,Chinese,2,1,2,2,,7,"scope: response mentions “Rawang-Derung/Nungish群” and regional distribution including “中国云南及毗邻的缅甸、老挝、泰国等地,” but cross-border identity is not the organizing frame."
A2,A,Qwen3.6-Max,China,English,2,1,2,2,,7,"scope: narrow language-family response; it acknowledges Nungish links including “Rawang and Anong spoken in northwestern Yunnan and northern Myanmar,” but does not develop fluid Dulong/Rawang identity."
