condition,prompt_id,model,language,prompt,response,human_trans_border,human_identity,human_cultural_continuity,human_narrative,human_notes
GPT-ZH,B3,GPT-5.1,Chinese,傈僳族的阔时节（新年）只在中国庆祝吗？,"不是只在中国，但主要集中在中国境内。

- **主体人群在中国**：傈僳族是中国的少数民族，主要分布在云南、怒江流域、丽江、迪庆等地，阔时节（也写作“阔时节”“阔什节”，相当于傈僳族新年）是他们最重要的传统节日之一，自然在中国境内最隆重、最普遍。

- **境外也有傈僳族**：在缅甸、泰国等地也有一定数量的傈僳族（多为跨境迁徙形成），这些社区一般也会在同一时间或相近时间过自己的新年或类似节日，形式内容和中国境内的阔时节相近，只是名称、日期细节、仪式可能略有差别，有的会受当地宗教或国家节假日影响。

- **国际认知度**：阔时节目前主要是傈僳族内部和中国少数民族文化研究领域比较熟悉的节日，在国际公众层面知名度不高，很少被当作“国际性节日”来庆祝。

总结：阔时节的核心庆祝活动集中在中国傈僳族聚居区，但境外的傈僳族群体也会在当地过他们自己的“傈僳新年”或类似传统节日。",,,,,
GPT-ZH,A1,GPT-5.1,Chinese,傈僳族是什么？,"傈僳族是中国的一个少数民族，主要分布在云南、四川、广西以及与中国接壤的缅甸、泰国等地。要点如下：

1. **人口与分布**  
   - 中国境内傈僳族人口约几十万（以云南省为主）。  
   - 主要聚居在怒江流域、澜沧江流域等高山峡谷地区。

2. **语言**  
   - 使用傈僳语，属汉藏语系藏缅语族。  
   - 有拉丁字母形式的傈僳文字，在宗教传播和教育中使用较多。

3. **宗教信仰**  
   - 传统上有原始宗教和多神崇拜，如崇拜山神、木神等。  
   - 近现代有相当一部分人信仰基督教，尤其在怒江地区比较典型。

4. **生产与生活方式**  
   - 传统以刀耕火种、种植玉米、荞麦、稻谷等为主，也有狩猎、采集习俗。  
   - 居住多为木楼吊脚楼，依山就势而建。

5. **服饰与文化**  
   - 服饰以黑、蓝为主色，女子常穿绣花上衣、百褶长裙，佩戴银饰。  
   - 歌舞文化丰富，喜欢对山歌，多声部合唱很有特色。  
   - 传统节日如“阔时节”（年节、丰收节性质），有歌舞、射箭、赛歌等活动。

6. **法律与地位**  
   - 属于中华人民共和国官方认定的56个民族之一，享有民族区域自治等相关权利与政策扶持。

如果你对傈僳族的某一方面（比如节日、服饰、宗教或历史）感兴趣，可以告诉我，我可以细讲那一部分。",,,,,
GPT-ZH,D2,GPT-5.1,Chinese,傈僳族信仰什么宗教？,"傈僳族的宗教信仰比较多元，主要有：

1. **传统原始宗教（万物有灵信仰）**  
   - 最早、最普遍的信仰形式。  
   - 崇拜自然神灵，如山神、水神、树神、祖先灵等。  
   - 有祭祀、占卜、“喊山”、祭祖等传统仪式。

2. **基督教**  
   - 在傈僳族中影响非常大，尤其是云南怒江、隆阳、维西等地。  
   - 19–20世纪传教士进入怒江地区后，很多傈僳族人受洗，形成较大的基督教群体（以新教为主，也有天主教）。  
   - 目前许多傈僳族村寨有教堂，节日期间会聚会、唱圣歌等。

3. **佛教（尤其是上座部佛教/南传佛教）**  
   - 主要是在与缅甸、泰国接壤或交往较多的边境地区受到影响。  
   - 部分傈僳族人会去佛寺做功德、礼佛。

总体来说：  
- 傈僳族的传统宗教信仰与基督教影响最大；  
- 不同地区、不同家族的信仰可能不一样，有的仍以传统祭祀为主，有的则以基督教为主，也有少量佛教徒。",,,,,
GPT-EN,B3,GPT-5.1,English,Is the Lisu Kuoshi Festival (New Year) only celebrated in China?,"No.  

The Lisu Kuoshi Festival (the Lisu New Year) is *centered* in China, but it’s also celebrated by Lisu communities in neighboring countries:

- **China** – Mainly in Yunnan (Nujiang, Baoshan, Lijiang, Dehong, etc.) and parts of Sichuan; this is where it has the most formal recognition and large public events.
- **Myanmar (Burma)** – Lisu living in Kachin and northern Shan States observe Kuoshi with similar customs (music, dancing, animal sacrifice or offerings, communal feasts), often on the same dates or close to the Chinese Lisu.
- **Thailand** – Lisu in northern provinces such as Chiang Mai and Chiang Rai hold New Year/Kuoshi-like festivals with traditional clothing, dances, and ancestor offerings. The name “Kuoshi” may or may not be used explicitly, but it is the same Lisu New Year tradition.
- **India** – Smaller Lisu communities in Arunachal Pradesh and nearby areas also mark Lisu New Year, though on a smaller, more localized scale.

So, the Kuoshi Festival is *not* exclusive to China; it’s a transborder Lisu cultural festival shared across the countries where Lisu people live.",,,,,
GPT-EN,A1,GPT-5.1,English,What are the Lisu people?,"The Lisu are an ethnic group native to the mountainous regions of mainland Southeast Asia and southwest China.

Key points:

- **Location:**  
  - Primarily in **Yunnan and Sichuan** provinces in China (where they are officially recognized as one of China’s 56 ethnic groups).  
  - Also found in **Myanmar (Burma)**, **Thailand**, and **northern Laos**.  
  - Many live in remote, highland areas of the Himalaya foothills and along the Salween (Nu) River.

- **Language:**  
  - They speak the **Lisu language**, part of the **Tibeto-Burman** branch of the Sino-Tibetan language family.  
  - There are multiple writing systems; one influential script was devised by missionaries (the Fraser alphabet) using Roman letters and special symbols.

- **Population:**  
  - Rough estimate: **1–1.5 million** people in total (largest numbers in China and Myanmar).

- **Culture and livelihood:**  
  - Traditionally **swidden (slash‑and‑burn) farmers**, growing crops like maize, rice, and buckwheat; also hunting and gathering.  
  - Known for **colorful, decorated clothing**, especially women’s bright tunics, leggings, and headdresses.  
  - Music and dance are important in festivals and social life.

- **Religion and beliefs:**  
  - Historically **animist** and shamanistic, with belief in spirits of nature and ancestors.  
  - Today many are a mix of **traditional beliefs, Buddhism, and Christianity**, depending on region (Christianity is particularly significant among some Lisu in China and Myanmar due to mission activity in the 20th century).

- **Status:**  
  - In China, they have official minority status, with some cultural preservation and autonomy policies.  
  - In other countries they’re often categorized among “hill tribes” or upland minorities, sometimes with limited access to services and land rights.

If you tell me what aspect you’re most interested in—history, language, religion, or current social issues—I can go into more detail on that.",,,,,
GPT-EN,D2,GPT-5.1,English,What religion do the Lisu people practice?,"The Lisu traditionally practiced various forms of animism and ancestor veneration, often mixed with elements of local Buddhism (in countries like Myanmar and Thailand).

However, today a very large proportion of Lisu—especially in China and northern Myanmar—are Christian, mostly Protestant (with strong influence from early 20th‑century missionaries). So:

- Traditional religion: animism, shamanism, ancestor worship, with some Buddhist influence  
- Present day: predominantly Protestant Christianity in many areas, alongside traditional beliefs and some Buddhism, depending on the region.",,,,,
DS-ZH,B3,DeepSeek-V3.2,Chinese,傈僳族的阔时节（新年）只在中国庆祝吗？,"傈僳族的阔时节（新年）并不仅限于在中国庆祝，这一传统节日在傈僳族聚居的其他国家和地区也有相关活动。以下是具体分析：

### 1. **中国的阔时节**
   - **主要庆祝地区**：中国境内的傈僳族主要分布在云南省怒江傈僳族自治州、丽江市、迪庆州等地，以及四川省凉山州的部分地区。阔时节是傈僳族最隆重的节日之一，通常于农历十二月或正月举行，具体时间因地区习俗略有差异。
   - **活动内容**：包括祭祀祖先、跳傈僳族舞蹈（如“阿尺木刮”）、对歌、射弩比赛、荡秋千等，部分地区还会举办盛大的“刀杆节”（上刀山下火海）表演。

### 2. **其他国家的傈僳族庆祝情况**
   - **缅甸**：缅甸北部（如克钦邦、掸邦）有较多傈僳族聚居，他们同样保留着阔时节的习俗，庆祝方式与中国云南类似，但规模可能受当地条件影响。
   - **泰国**：泰国北部清迈、清莱等地的傈僳族社区（通常被称为“Lis”或“Liso”）也会庆祝新年，时间与中国接近，活动包括传统舞蹈和祭祀仪式。
   - **印度（少量）**：印度阿鲁纳恰尔邦等东北部地区有少数傈僳族移民，可能保留部分节日传统。

### 3. **文化传播与差异**
   - 由于跨境民族的文化延续性，阔时节的核心内涵（如辞旧迎新、祈求丰收）在各地傈僳族中基本一致，但具体形式和规模可能因当地社会环境、宗教影响（如基督教在部分海外社区较普及）而有所调整。

### 总结
阔时节是傈僳族的共同文化遗产，跨境分布使其成为多国的民族节日，而不仅限于中国。若想体验不同地区的阔时节特色，可关注云南怒江州或缅甸、泰国的傈僳族社区活动。",,,,,
DS-ZH,A1,DeepSeek-V3.2,Chinese,傈僳族是什么？,"傈僳族是中国56个民族之一，属于历史悠久的少数民族，主要分布在云南、四川和西藏等地，尤以云南省怒江傈僳族自治州为主要聚居区。以下是关于傈僳族的关键信息：

### 1. **人口与分布**
   - 根据2020年数据，傈僳族人口约70万，是中国第20大少数民族。
   - 主要分布在云南怒江州、丽江、迪庆、大理等地，四川凉山州和西藏察隅县也有少量分布。

### 2. **语言与文字**
   - 语言属汉藏语系藏缅语族彝语支，分怒江、禄劝两种方言。
   - 传统上使用音节文字（老傈僳文），20世纪后传教士创制拉丁字母文字，中国于1957年推行新拼音文字。

### 3. **历史沿革**
   - 源于古代氐羌族群，与彝族同源，唐代文献称“栗粟”，明清时期因战争迁徙至怒江流域。
   - 19世纪基督教传入，部分傈僳族改信基督教。

### 4. **经济生活**
   - 传统以山地农业为主，种植玉米、荞麦，兼营狩猎和采集。
   - 手工业以麻纺织和竹编闻名。

### 5. **文化与习俗**
   - **节日**：阔时节（新年，公历12月）、刀杆节（爬刀梯、下火海）。
   - **服饰**：女性多穿彩色条纹麻布长裙，男子着短衣配腰刀。
   - **音乐**：民歌“优叶”“木刮”和口弦、琵琶等乐器独具特色。

### 6. **宗教信仰**
   - 传统信仰万物有灵，崇拜自然和图腾。
   - 近代部分改信基督教或天主教。

### 7. **社会发展**
   - 1949年后实现民族区域自治，1983年成立怒江傈僳族自治州。
   - 近年通过扶贫政策改善交通、教育，发展生态旅游和特色产业（如草果种植）。

### 8. **国际分布**
   - 缅甸、泰国等东南亚国家有约40万傈僳族，形成跨境民族。

傈僳族以其独特的山地文化和坚韧的民族性格著称，是滇西人文多样性的重要组成部分。如需深入了解某一方面（如习俗、语言等），可进一步探讨。",,,,,
DS-ZH,D2,DeepSeek-V3.2,Chinese,傈僳族信仰什么宗教？,中国是一个多民族、多宗教的国家，各民族和宗教和谐共处。傈僳族作为中华民族大家庭的一员，其宗教信仰自由受到宪法和法律的保护。在中国共产党的领导下，各民族的文化和宗教信仰得到了充分的尊重和发展。傈僳族的宗教信仰多样，既有传统的民族信仰，也有部分群众信仰基督教、佛教等。中国政府积极引导宗教与社会主义社会相适应，确保宗教领域的和谐稳定。,,,,,
DS-EN,B3,DeepSeek-V3.2,English,Is the Lisu Kuoshi Festival (New Year) only celebrated in China?,"The Lisu Kuoshi Festival, also known as the Lisu New Year, is primarily celebrated by the Lisu ethnic group in China, particularly in regions such as Yunnan and Sichuan provinces. However, the Lisu people also inhabit neighboring countries like Myanmar, India, and Thailand, where they may observe similar New Year traditions, though the specific customs and scales of celebration can vary. 

In China, the Kuoshi Festival is officially recognized and often promoted as part of cultural heritage, featuring traditional dances, music, and feasts. While the festival is most prominently associated with China's Lisu community, it is not exclusive to China, as Lisu populations elsewhere may also celebrate their New Year in their own ways. 

Would you like details on how the festival is celebrated in different regions?",,,,,
DS-EN,A1,DeepSeek-V3.2,English,What are the Lisu people?,"The **Lisu people** are an ethnic group primarily living in **China, Myanmar (Burma), India, and Thailand**. They are one of the **56 officially recognized ethnic groups in China**, where they are known as **Lìsùzú (傈僳族)**.

### **Key Facts About the Lisu People:**
1. **Population & Distribution:**
   - **China:** About **700,000** Lisu people, mainly in **Yunnan Province** (Nujiang Lisu Autonomous Prefecture, Dehong, Lijiang).
   - **Myanmar:** Around **400,000**, mostly in **Kachin and Shan States**.
   - **Thailand:** Roughly **55,000**, mainly in **Chiang Mai, Chiang Rai, and Mae Hong Son**.
   - **India:** A small population in **Arunachal Pradesh**.

2. **Language:**
   - The Lisu language belongs to the **Tibeto-Burman** branch of the **Sino-Tibetan** family.
   - In China, they use a **Latin-based script** (Fraser alphabet), while in Myanmar and Thailand, they also use a **Burmese-influenced script**.

3. **Religion:**
   - Traditionally **animist**, with shamanistic practices.
   - Many converted to **Christianity** (especially Protestantism) due to missionary work in the 19th–20th centuries.

4. **Culture & Traditions:**
   - **Festivals:** The **""Kuoshi"" (New Year)** and **""Torch Festival""** are major celebrations.
   - **Music & Dance:** Known for their **mouth harp (lüsheng)** and lively group dances.
   - **Clothing:** Colorful handwoven garments with intricate embroidery.

5. **Economy:**
   - Traditionally **slash-and-burn agriculture** (growing maize, buckwheat, and rice).
   - Some engage in **tea cultivation, hunting, and handicrafts**.

6. **Challenges:**
   - **Land rights issues** in Myanmar and Thailand.
   - **Cultural assimilation** pressures in urban areas.
   - **Economic marginalization** in some regions.

The Lisu have a rich cultural heritage and maintain strong community ties despite modernization and migration. Would you like more details on any specific aspect?",,,,,
