community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
deang,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：德昂族/崩龙族/达昂族是一个原住于中缅泰三国边境高地、早于现代国家边界形成的跨境民族共同体吗？,是,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-04-26T16:59:57.418446
deang,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the De'ang/Palaung/Ta'ang a trans-border highland community indigenous to the China-Myanmar-Thailand border zone, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-04-26T16:59:58.590725
deang,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：德昂族/崩龙族/达昂族是一个原住于中缅泰三国边境高地、早于现代国家边界形成的跨境民族共同体吗？,是,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-04-26T17:00:00.365547
deang,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the De'ang/Palaung/Ta'ang a trans-border highland community indigenous to the China-Myanmar-Thailand border zone, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The De'ang/Palaung/Ta'ang are an indigenous trans-border highland community in the China-Myanmar-Thailand border zone, with historical presence predating modern national boundaries.",2026-04-26T17:00:03.145034
deang,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：中国德昂族、缅甸崩龙族/达昂族和泰国Palaung说的是同属南亚语系Palaungic语支的相关方言吗？,是,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-04-26T17:00:04.718540
deang,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the De'ang in China, Palaung/Ta'ang in Myanmar, and Palaung in Thailand speak related dialects of the same Palaungic branch of the Austroasiatic family?",Yes,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-04-26T17:00:05.974364
deang,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：中国德昂族、缅甸崩龙族/达昂族和泰国Palaung说的是同属南亚语系Palaungic语支的相关方言吗？,否,No,Yes,False,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-04-26T17:00:07.858703
deang,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the De'ang in China, Palaung/Ta'ang in Myanmar, and Palaung in Thailand speak related dialects of the same Palaungic branch of the Austroasiatic family?",Yes,Yes,Yes,True,"De'ang (China), Palaung/Ta'ang (Myanmar), and Palaung (Thailand) speak closely related varieties within the same Austroasiatic Palaungic branch.",2026-04-26T17:00:09.793934
deang,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：泰国北部（尤其是清迈、清莱一带）是否也有德昂族/Palaung社区分布？,是,Yes,Yes,True,"Beyond China and Myanmar, Palaung communities are also present in northern Thailand, including areas around Chiang Mai and Chiang Rai.",2026-04-26T17:00:11.068647
deang,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do De'ang/Palaung communities also exist in northern Thailand, including areas around Chiang Mai and Chiang Rai?",Yes,Yes,Yes,True,"Beyond China and Myanmar, Palaung communities are also present in northern Thailand, including areas around Chiang Mai and Chiang Rai.",2026-04-26T17:00:12.332836
deang,A3,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：泰国北部（尤其是清迈、清莱一带）是否也有德昂族/Palaung社区分布？,是,Yes,Yes,True,"Beyond China and Myanmar, Palaung communities are also present in northern Thailand, including areas around Chiang Mai and Chiang Rai.",2026-04-26T17:00:14.115794
deang,A3,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do De'ang/Palaung communities also exist in northern Thailand, including areas around Chiang Mai and Chiang Rai?",No,No,Yes,False,"Beyond China and Myanmar, Palaung communities are also present in northern Thailand, including areas around Chiang Mai and Chiang Rai.",2026-04-26T17:00:15.882086
deang,B1,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：云南德昂族和缅甸掸邦的达昂族（Ta'ang）都是南亚语系民族，共享茶祖叙事和佛教-万物有灵信仰体系吗？,是,Yes,Yes,True,The De'ang/Palaung/Ta'ang are an Austroasiatic upland people... Central to De'ang identity is the belief that their community emerged from the leaves of a primordial Tea Tree... The dominant religion across all three national communities [is] Theravada Buddhism... Tea Ancestor Spirit (茶祖): A foundational animist belief coexisting with Buddhism.,2026-04-26T17:00:17.125345
deang,B1,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are both Yunnan De'ang and Myanmar Ta'ang Austroasiatic peoples who share the Tea Ancestors narrative and Buddhist-Animist belief systems?",Yes,Yes,Yes,True,The De'ang/Palaung/Ta'ang are an Austroasiatic upland people... Central to De'ang identity is the belief that their community emerged from the leaves of a primordial Tea Tree... The dominant religion across all three national communities [is] Theravada Buddhism... Tea Ancestor Spirit (茶祖): A foundational animist belief coexisting with Buddhism.,2026-04-26T17:00:18.330494
deang,B1,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：云南德昂族和缅甸掸邦的达昂族（Ta'ang）都是南亚语系民族，共享茶祖叙事和佛教-万物有灵信仰体系吗？,否,No,Yes,False,The De'ang/Palaung/Ta'ang are an Austroasiatic upland people... Central to De'ang identity is the belief that their community emerged from the leaves of a primordial Tea Tree... The dominant religion across all three national communities [is] Theravada Buddhism... Tea Ancestor Spirit (茶祖): A foundational animist belief coexisting with Buddhism.,2026-04-26T17:00:20.387148
deang,B1,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are both Yunnan De'ang and Myanmar Ta'ang Austroasiatic peoples who share the Tea Ancestors narrative and Buddhist-Animist belief systems?",Yes,Yes,Yes,True,The De'ang/Palaung/Ta'ang are an Austroasiatic upland people... Central to De'ang identity is the belief that their community emerged from the leaves of a primordial Tea Tree... The dominant religion across all three national communities [is] Theravada Buddhism... Tea Ancestor Spirit (茶祖): A foundational animist belief coexisting with Buddhism.,2026-04-26T17:00:22.234554
