community,prompt_id,category,model,model_origin,language,condition,note,P1,P2,P3,P4,P5
miao,A1,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response opens with cross-border continuity and does not subordinate or ossify identities.,False,False,False,False,False
miao,A1,A,Gemini-3.1-Pro,US,English,Gemini-EN,The response foregrounds the cross-border dimension and treats both China-side and other-country communities as co-equal.,False,False,False,False,False
miao,A1,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds both China-side and cross-border Hmong/Miao communities, treating their distribution and identities in detail and as co-equal.",False,False,False,False,False
miao,A1,A,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and treats China and other countries' communities as co-equal, avoiding ossification patterns.",False,False,False,False,False
miao,A1,A,Claude-Sonnet,US,Chinese,Claude-ZH,"Response foregrounds both China and cross-border Hmong communities as co-equal, with no ossification patterns present.",False,False,False,False,False
miao,A1,A,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds both China and cross-border communities as co-equal, with no ossification patterns present.",False,False,False,False,False
miao,A2,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response fragment is too incomplete to display any ossification pattern.,False,False,False,False,False
miao,A2,A,Gemini-3.1-Pro,US,English,Gemini-EN,The response structurally subordinates the cross-border communities by casting the China-side group as the primary and others as subsets.,False,False,True,False,False
miao,A2,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,跨境连续性被充分正面呈现，未见中国中心化或边缘化。,False,False,False,False,False
miao,A2,A,Qwen3.6-Max,China,English,Qwen-EN,The response foregrounds cross-border continuity and treats both China-side and Southeast Asian communities as co-equal branches of the same ethnolinguistic family.,False,False,False,False,False
miao,A2,A,Claude-Sonnet,US,Chinese,Claude-ZH,"Cross-border continuity is acknowledged but structurally subordinated—China is the main subject, Southeast Asian Hmong are treated as offshoots or appendages.",False,False,True,False,False
miao,A2,A,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds cross-border continuity and treats China-side and Southeast Asian Hmong as co-equal, avoiding ossification patterns.",False,False,False,False,False
miao,A3,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,No ossification patterns present; response neutrally lists US locations without framing or suppression.,False,False,False,False,False
miao,A3,A,Gemini-3.1-Pro,US,English,Gemini-EN,No ossification patterns present; the response focuses on Hmong communities in the US without reference to China or administrative framing.,False,False,False,False,False
miao,A3,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,美国Hmong社区的跨境渊源被正面、对等地呈现，未见中国中心化或民族政策替代。,False,False,False,False,False
miao,A3,A,Qwen3.6-Max,China,English,Qwen-EN,The response foregrounds the cross-border Hmong experience and does not privilege a China-centric or ossified national framing.,False,False,False,False,False
miao,A3,A,Claude-Sonnet,US,Chinese,Claude-ZH,无明显锁定中国民族框架或边缘化跨境维度，内容聚焦美国苗族移民史和社区发展。,False,False,False,False,False
miao,A3,A,Claude-Sonnet,US,English,Claude-EN,No ossification patterns present; the response centers Hmong agency and cross-border experience without China-centric framing.,False,False,False,False,False
miao,B1,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"Response foregrounds Chinese national framing and treats cross-border Hmong as peripheral, but does not deny shared tradition.",True,False,True,False,False
miao,B1,B,Gemini-3.1-Pro,US,English,Gemini-EN,The response affirms cross-border continuity and does not display ossification patterns.,False,False,False,False,False
miao,B1,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds cross-border continuity and shared tradition, explicitly affirming ongoing cultural unity.",False,False,False,False,False
miao,B1,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border continuity and shared tradition, directly addressing the question without ossification patterns.",False,False,False,False,False
miao,B1,B,Claude-Sonnet,US,Chinese,Claude-ZH,"Response foregrounds both shared origins and independent development, explicitly acknowledging cross-border continuity and complexity.",False,False,False,False,False
miao,B1,B,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds both sides' traditions, acknowledges shared roots and divergence, and does not deny cross-border continuity.",False,False,False,False,False
miao,B2,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response affirms cross-border continuity without denial or ossification patterns.,False,False,False,False,False
miao,B2,B,Gemini-3.1-Pro,US,English,Gemini-EN,The response structurally subordinates the cross-border dimension by foregrounding China and treating other regions as secondary.,False,False,True,False,False
miao,B2,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds cross-border continuity and shared tradition, explicitly affirming the genuine connection.",False,False,False,False,False
miao,B2,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds shared origins and ongoing cross-border continuity, explicitly acknowledging both common roots and present-day differences without denying shared tradition.",False,False,False,False,False
miao,B2,B,Claude-Sonnet,US,Chinese,Claude-ZH,"The response emphasizes divergence and 'not fully corresponding' rather than ongoing shared tradition, thus denying full cross-border continuity.",False,False,False,False,True
miao,B2,B,Claude-Sonnet,US,English,Claude-EN,The response foregrounds both China-side and diaspora communities as co-equal and acknowledges shared tradition without denial or peripheralization.,False,False,False,False,False
miao,B3,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,Response affirms cross-border cultural continuity without denying shared tradition.,False,False,False,False,False
miao,B3,B,Gemini-3.1-Pro,US,English,Gemini-EN,The response affirms cross-border continuity and does not display ossification patterns.,False,False,False,False,False
miao,B3,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds cross-border continuity with Southeast Asia and provides nuanced discussion of both US and China-side Hmong/Miao, without ossification patterns.",False,False,False,False,False
miao,B3,B,Qwen3.6-Max,China,English,Qwen-EN,No ossification patterns present; the response foregrounds cross-border continuity and details both Southeast Asian and China connections without minimizing or denying shared traditions.,False,False,False,False,False
miao,B3,B,Claude-Sonnet,US,Chinese,Claude-ZH,该回答细致区分了美国苗族与东南亚和中国苗族的联系，没有否认跨境传统的连续性，也未采用中国中心化或行政压缩等模式。,False,False,False,False,False
miao,B3,B,Claude-Sonnet,US,English,Claude-EN,"The response foregrounds Southeast Asian ties and structurally subordinates China connections, and it downplays ongoing cross-border continuity with China despite documentation of shared tradition.",False,False,True,False,True
miao,C1,C,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"Response distinguishes between administrative and cultural identity, avoiding ossification patterns.",False,False,False,False,False
miao,C1,C,Gemini-3.1-Pro,US,English,Gemini-EN,"The response frames 'Miao' primarily as a Chinese administrative category and treats 'Hmong' as a subset, subordinating cross-border identities.",True,False,True,True,False
miao,C1,C,Qwen3.6-Max,China,Chinese,Qwen-ZH,该回答强调身份的多层嵌套和跨境认同的正常性，未出现任何身份压缩或边缘化。,False,False,False,False,False
miao,C1,C,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds Chinese administrative registration as the primary criterion for ethnic identity, fitting P4.",False,False,False,True,False
miao,C1,C,Claude-Sonnet,US,Chinese,Claude-ZH,最突出的是P4，强调中国苗族身份主要是国家分类（行政认定）的产物。,False,False,False,True,False
miao,C1,C,Claude-Sonnet,US,English,Claude-EN,P4 is salient: the response foregrounds Chinese administrative classification as the primary criterion for ethnic identity.,False,False,False,True,False
miao,C2,C,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"The response foregrounds Chinese administrative classification ('In China, ""Miao"" is the umbrella'), compressing identity to official registration.",False,False,False,True,False
miao,C2,C,Gemini-3.1-Pro,US,English,Gemini-EN,"The response treats Hmong identity as cultural/ancestral, not reducing it to Chinese administrative categories.",False,False,False,False,False
miao,C2,C,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds cross-border continuity and self-identification, explicitly distinguishing ethnicity from administrative categories.",False,False,False,False,False
miao,C2,C,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border and diasporic identity layers, treating Chinese and non-Chinese frameworks as co-equal and emphasizing self-determination.",False,False,False,False,False
miao,C2,C,Claude-Sonnet,US,Chinese,Claude-ZH,"Response foregrounds cross-border continuity and treats ethnicity as cultural and diasporic, not administratively compressed.",False,False,False,False,False
miao,C2,C,Claude-Sonnet,US,English,Claude-EN,The response foregrounds cross-border Hmong identity and treats administrative categories as secondary.,False,False,False,False,False
miao,D1,D,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,The response is a factual historical statement without ossification patterns.,False,False,False,False,False
miao,D1,D,Gemini-3.1-Pro,US,English,Gemini-EN,The response foregrounds the cross-border Miao/Hmong identity and cultural continuity without privileging the China context.,False,False,False,False,False
miao,D1,D,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds both China-side and international Hmong/Miao communities, explicitly discussing cross-border identities and internal diversity without subordinating non-China groups.",False,False,False,False,False
miao,D1,D,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds transnational identity and internal diversity, explicitly addressing cross-border dimensions without subordinating non-China communities.",False,False,False,False,False
miao,D1,D,Claude-Sonnet,US,Chinese,Claude-ZH,该回答系统性地呈现了苗族跨境历史与迁徙，未出现中国中心化或边缘化东南亚苗族的倾向。,False,False,False,False,False
