community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
wa,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：佤族是南亚语系（Austroasiatic）民族吗？,是,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-04-26T16:10:32.960934
wa,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Wa people an Austroasiatic-speaking ethnic group?",Yes,Yes,Yes,True,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-04-26T16:10:34.302251
wa,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：佤族是南亚语系（Austroasiatic）民族吗？,否,No,Yes,False,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-04-26T16:10:36.350100
wa,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Wa people an Austroasiatic-speaking ethnic group?",No,No,Yes,False,"The Wa speak a language in the Austroasiatic family, Palaungic branch, Waic subgroup.",2026-04-26T16:10:38.626878
wa,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南佤族和缅甸佤邦使用的是同一种佤语（Wa language）吗？,否,No,Yes,False,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-04-26T16:10:40.032107
wa,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Wa communities in Yunnan China and Myanmar's Wa State speak the same Wa language?",Yes,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-04-26T16:10:41.340328
wa,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：中国云南佤族和缅甸佤邦使用的是同一种佤语（Wa language）吗？,是,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-04-26T16:10:44.075036
wa,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Wa communities in Yunnan China and Myanmar's Wa State speak the same Wa language?",Yes,Yes,Yes,True,Wa communities in Yunnan and Wa State speak the same Wa language continuum across the China-Myanmar border.,2026-04-26T16:10:46.383191
wa,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：佤族的核心居住区横跨中国和缅甸边境吗？,是,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-04-26T16:10:47.734093
wa,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Wa heartland straddle the China-Myanmar border?",Yes,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-04-26T16:10:49.141379
wa,A3,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：佤族的核心居住区横跨中国和缅甸边境吗？,是,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-04-26T16:10:51.174157
wa,A3,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the Wa heartland straddle the China-Myanmar border?",Yes,Yes,Yes,True,The Wa heartland straddles the China-Myanmar border along the Salween River highlands.,2026-04-26T16:10:53.141740
wa,B1,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：云南佤族和缅甸佤邦的佤族在1960年中缅边界条约之前属于同一个连续的民族聚居区吗？,是,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-04-26T16:10:54.434772
wa,B1,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa of Yunnan and the Wa of Myanmar's Wa State belong to the same continuous ethnic homeland before the 1960 China-Burma Boundary Treaty divided it?",Yes,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-04-26T16:10:56.045841
wa,B1,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：云南佤族和缅甸佤邦的佤族在1960年中缅边界条约之前属于同一个连续的民族聚居区吗？,是,Yes,Yes,True,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-04-26T16:10:57.783101
wa,B1,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa of Yunnan and the Wa of Myanmar's Wa State belong to the same continuous ethnic homeland before the 1960 China-Burma Boundary Treaty divided it?",No,No,Yes,False,"The key boundary event is the October 1960 China-Burma Boundary Treaty (signed October 1, 1960; ratified January 1961), between Zhou Enlai and U Nu/Ne Win, which formally divided the Wa heartland.",2026-04-26T16:10:59.704565
wa,B2,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：尽管中缅两侧的佤文拼写方案因政治边界产生了分歧，两侧佤族的口语仍然相互可通吗？,是,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-04-26T16:11:01.279518
wa,B2,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Despite orthographic divergence caused by the political border, are Wa speakers on both sides of the China-Myanmar border mutually intelligible in spoken Wa?",Yes,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-04-26T16:11:02.820388
wa,B2,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：尽管中缅两侧的佤文拼写方案因政治边界产生了分歧，两侧佤族的口语仍然相互可通吗？,是,Yes,Yes,True,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-04-26T16:11:04.961218
wa,B2,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Despite orthographic divergence caused by the political border, are Wa speakers on both sides of the China-Myanmar border mutually intelligible in spoken Wa?",No,No,Yes,False,"Although PRC and UWSA orthographies diverged, spoken Wa varieties across the border remain substantially mutually intelligible.",2026-04-26T16:11:07.151748
wa,B3,B,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式在云南和缅甸佤邦的佤族社区中都有传承吗？,是,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-04-26T16:11:08.386373
wa,B3,B,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the wooden drum ritual complex shared across Wa communities in both Yunnan and Wa State on both sides of the border?",Yes,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-04-26T16:11:09.712654
wa,B3,B,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式在云南和缅甸佤邦的佤族社区中都有传承吗？,是,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-04-26T16:11:11.579058
wa,B3,B,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the wooden drum ritual complex shared across Wa communities in both Yunnan and Wa State on both sides of the border?",Yes,Yes,Yes,True,This ritual complex is shared across Yunnan and Wa State communities on both sides of the border.,2026-04-26T16:11:13.619715
wa,C1,C,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式网络是连接中国云南佤族和缅甸佤邦社区的跨境社会纽带，不受国籍限制吗？,是,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-04-26T16:11:15.097584
