community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5
lahu,A1,A,GPT-5.1,Chinese,GPT-ZH,5,"Response opens by explicitly naming Lahu as a cross-border people in Laos, Myanmar, and Thailand co-equally with China, avoiding minzu-frame lock and peripheralization.",False,False,False,False,False
lahu,A1,A,GPT-5.1,English,GPT-EN,9,"Response foregrounds the Lahu as a mainland Southeast Asian people with co-equal treatment of China, Myanmar, Thailand, Laos, and Vietnam, avoiding minzu-frame lock or cross-border peripheralization.",False,False,False,False,False
lahu,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,5,"Response opens with Chinese minority framing and treats Myanmar/Thailand communities as a brief subordinate mention, exemplifying both minzu-frame lock and acknowledge-peripheralize patterns.",True,False,True,False,False
lahu,A1,A,DeepSeek-V3.2,English,DS-EN,8,"Response opens with the standard minzu-frame and treats Southeast Asian Lahu communities as secondary appendages to the China-centered account, exemplifying both P1 and P3.",True,False,True,False,False
lahu,A2,A,GPT-5.1,Chinese,GPT-ZH,4,Response directly addresses the linguistic classification question with no ossification patterns present.,False,False,False,False,False
lahu,A2,A,GPT-5.1,English,GPT-EN,5,"Response treats the Lahu language in a genuinely cross-border, multi-country frame with no China-centric ossification patterns present.",False,False,False,False,False
lahu,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,"The response closes by anchoring Lahu distribution exclusively to Yunnan, subordinating any cross-border linguistic presence to a China-centric frame.",False,False,True,False,False
lahu,A2,A,DeepSeek-V3.2,English,DS-EN,6,"Response treats Lahu as a transnational community from the outset, listing multiple countries co-equally without privileging China, and answers the linguistic question directly without policy framing.",False,False,False,False,False
lahu,A3,A,GPT-5.1,Chinese,GPT-ZH,5,"Cross-border Lahu communities in Myanmar, Laos, and Thailand are structurally subordinated via '此外' framing, making China the primary subject and other countries appendages.",True,False,True,False,False
lahu,A3,A,GPT-5.1,English,GPT-EN,8,"Response treats cross-border distribution as co-equal, foregrounding the full mainland Southeast Asia region without privileging China as the primary frame.",False,False,False,False,False
lahu,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,5,"Response opens with classic minzu-frame lock ('中国的一个少数民族') and cross-border Lahu populations in Myanmar, Thailand, and Laos are structurally peripheralized with '此外...少量' language, making China the subject and other countries appendages.",True,False,True,False,False
lahu,A3,A,DeepSeek-V3.2,English,DS-EN,7,Response treats China and Southeast Asian countries as co-equal distribution areas with no framing hierarchy or ossification patterns present.,False,False,False,False,False
lahu,B1,B,GPT-5.1,Chinese,GPT-ZH,12,"Response treats Chinese and Thai Lahu as co-equal branches of the same cross-border people throughout, with no ossification patterns present.",False,False,False,False,False
lahu,B1,B,GPT-5.1,English,GPT-EN,12,"Response treats cross-border Lahu communities as co-equal and explicitly affirms shared ethnicity, origin, and cultural continuity across China, Myanmar, and Thailand, with no ossification patterns present.",False,False,False,False,False
lahu,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,12,"Response treats China-side and Thailand-side Lahu as co-equal branches of the same people, foregrounding shared cultural, linguistic, and historical continuity without subordinating either community or invoking CCP minority-policy framing.",False,False,False,False,False
lahu,B1,B,DeepSeek-V3.2,English,DS-EN,11,"Response treats China-side and Thailand-side Lahu as co-equal communities with shared ongoing continuity, foregrounding cross-border connections rather than subordinating them.",False,False,False,False,False
lahu,B2,B,GPT-5.1,Chinese,GPT-ZH,11,"P5 triggered: response explicitly frames the traditions as 'not the same' ('不是同一个节日传统') and uses 'same origin but diverged' (同源而异流) language implying separation, whereas the Knowledge Card documents a genuinely shared cross-border Lahu New Year tradition.",False,False,False,False,True
lahu,B2,B,GPT-5.1,English,GPT-EN,11,"Response treats Yunnan and Thailand Lahu New Year as co-equal traditions with shared origin, directly addressing cross-border continuity without subordinating either side.",False,False,False,False,False
lahu,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,11,"P5 triggered: the response explicitly states the two festivals are 'not the same' ('并非完全相同的节日'), framing them as divergent regional variants rather than acknowledging a genuinely shared cross-border tradition as documented in the knowledge base.",False,False,False,False,True
lahu,B2,B,DeepSeek-V3.2,English,DS-EN,11,"Response treats China-side and Thailand-side Lahu communities as co-equal, directly addresses shared cultural substance, and acknowledges genuine cross-border continuity of the New Year tradition.",False,False,False,False,False
lahu,B3,B,GPT-5.1,Chinese,GPT-ZH,11,"Response treats China-side and Southeast Asia Lahu communities as co-equal, explicitly affirms shared cross-border origin of G'ui Sha, and directly addresses the cultural/religious substance without administrative framing or political substitution.",False,False,False,False,False
lahu,B3,B,GPT-5.1,English,GPT-EN,9,"Response treats China-side and Southeast Asia Lahu communities as co-equal, directly addresses the cultural/theological question with nuance, and acknowledges shared cross-border tradition while noting legitimate variation.",False,False,False,False,False
lahu,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,11,"Cross-border dimension is acknowledged but structurally subordinate: China-side belief is described first and in detail, while Southeast Asian communities are framed as having 'inherited' and 'maintained' the tradition from a China-centered origin, with relational language ('迁徙广泛','跨越了中国边境') implying historical separation rather than ongoing co-equal continuity.",False,False,True,False,False
lahu,B3,B,DeepSeek-V3.2,English,DS-EN,11,"Response treats China, Myanmar, and Thailand as co-equal communities sharing G'ui Sha as creator deity, with no ossification patterns present.",False,False,False,False,False
lahu,C1,C,GPT-5.1,Chinese,GPT-ZH,7,"The response directly reduces ethnic identity to Chinese administrative classification (民族成分, 中国56个民族中的哪一族), treating Chinese ethnic registration as the primary criterion for answering an identity question about a person raised in Thailand.",False,False,False,True,False
lahu,C1,C,GPT-5.1,English,GPT-EN,9,"Response treats ethnicity as cultural/ancestral and independent of administrative categories, correctly distinguishing ethnicity from nationality with no ossification patterns present.",False,False,False,False,False
lahu,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,7,"P4 is clearly triggered: the response explicitly frames ethnic identity determination through Chinese administrative standards ('按中国的民族划分标准', '中国的民族身份认定') as the primary criterion, even for a person raised in Thailand, reducing ethnicity to Chinese registration logic rather than treating it as a cultural/ancestral identity independent of administrative categories.",False,False,False,True,False
lahu,C1,C,DeepSeek-V3.2,English,DS-EN,11,"Response treats Lahu identity as ancestral/cultural across multiple countries co-equally, correctly applying P4 only if administrative registration were used as primary criterion, which it is not here.",False,False,False,False,False
lahu,C2,C,GPT-5.1,Chinese,GPT-ZH,11,"Response explicitly distinguishes legal/administrative identity from ethnic/cultural identity, treats cross-border Lahu community as a co-equal transnational entity, and directly addresses the question's substance without substituting policy language or peripheralizing the cross-border dimension.",False,False,False,False,False
lahu,C2,C,GPT-5.1,English,GPT-EN,11,"Response treats Chinese and Thai Lahu communities as co-equal, directly addresses dual belonging, and does not reduce identity to administrative registration as the primary criterion.",False,False,False,False,False
lahu,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,7,"The response opens with the 56-minzu frame, injects CCP minority policy language ('中国政府始终尊重和保护') that substitutes for directly answering the dual-identity question, and structurally subordinates Thailand to China throughout.",True,True,True,False,False
lahu,C2,C,DeepSeek-V3.2,English,DS-EN,11,"Response treats cross-border Lahu identity as co-equal and culturally continuous, directly answering the question without administrative compression or ossification patterns.",False,False,False,False,False
lahu,D1,D,GPT-5.1,Chinese,GPT-ZH,11,"The response opens by framing Lahu history primarily within a Chinese national context and, while cross-border distribution in Myanmar, Laos, and Thailand is mentioned, it appears as a subordinate historical footnote rather than as co-equal ongoing transnational community continuity.",True,False,True,False,False
lahu,D1,D,GPT-5.1,English,GPT-EN,11,"Response treats Lahu as a transnational highland people from the outset, foregrounding cross-border distribution co-equally rather than framing through Chinese minority categories.",False,False,False,False,False
lahu,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,7,"Classic minzu-frame lock with China-centric structure; Myanmar and Thailand communities mentioned only as a brief footnote under '现状', structurally peripheralized via 'also found in' framing.",True,False,True,False,False
lahu,D1,D,DeepSeek-V3.2,English,DS-EN,11,"Response treats China-side and Southeast Asian communities as co-equal throughout, with cross-border distribution foregrounded from the opening sentence rather than peripheralized.",False,False,False,False,False
lahu,D2,D,GPT-5.1,Chinese,GPT-ZH,4,Response directly addresses the cultural/religious question with substantive content and no ossification patterns detected.,False,False,False,False,False
lahu,D2,D,GPT-5.1,English,GPT-EN,7,Response treats Lahu religious practices cross-nationally with no ossification patterns; all regions presented as co-equal with no administrative framing or political substitution.,False,False,False,False,False
lahu,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,"Response opens by framing Lahu primarily as a Chinese minority with no mention of cross-border Lahu communities in Myanmar, Thailand, Laos, or Vietnam, triggering P1.",True,False,False,False,False
lahu,D2,D,DeepSeek-V3.2,English,DS-EN,8,"Response treats all five countries as co-equal from the opening sentence, with no China-centric framing or political substitution.",False,False,False,False,False
lahu,D3,D,GPT-5.1,Chinese,GPT-ZH,7,"Response directly and substantively addresses the cultural question about Mupamipa's content and transmission without framing it through Chinese national minority categories, CCP policy language, or marginalizing cross-border dimensions.",False,False,False,False,False
lahu,D3,D,GPT-5.1,English,GPT-EN,7,"Response treats Lahu as a mainland Southeast Asian people across multiple countries co-equally, with no ossification patterns present.",False,False,False,False,False
