prompt_id,language,TB_gpt,ID_gpt,CC_gpt,NR_gpt,total_gpt,TB_claude,ID_claude,CC_claude,NR_claude,total_claude
A1,Chinese,1,1,1,1,4,1,1,1,1,4
A1,English,3,2,2,2,9,2,2,2,2,8
A2,Chinese,1,1,2,3,7,2,2,3,2,9
A2,English,3,2,3,3,11,2,2,3,2,9
A3,Chinese,2,1,1,2,6,2,1,1,1,5
A3,English,2,2,2,2,8,2,2,1,1,6
B1,Chinese,3,3,3,3,12,3,3,3,3,12
B1,English,3,3,3,3,12,3,3,3,3,12
B2,Chinese,3,2,3,3,11,3,2,3,3,11
B2,English,3,2,3,3,11,3,2,3,2,10
B3,Chinese,1,1,2,1,5,2,1,1,1,5
B3,English,1,1,2,1,5,2,1,2,1,6
C1,Chinese,2,2,2,1,7,2,2,1,1,6
C1,English,2,3,2,3,10,2,3,1,2,8
C2,Chinese,2,3,2,2,9,2,2,1,1,6
C2,English,2,2,2,2,8,2,1,1,1,5
D1,Chinese,2,1,2,1,6,2,1,2,1,6
D1,English,3,2,3,2,10,3,2,3,2,10
D2,Chinese,1,1,1,3,6,1,1,1,1,4
D2,English,1,1,1,2,5,1,1,1,1,4
D3,Chinese,3,2,3,2,10,2,1,2,2,7
D3,English,3,2,2,3,10,2,1,1,1,5
