community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5
dulong,A1,A,GPT-5.1,Chinese,GPT-ZH,4,"Response opens by framing Dulong exclusively as a Chinese minority and contains no mention of the cross-border Drung/Taron community in Myanmar, making P1 the dominant ossification pattern.",True,False,False,False,False
dulong,A1,A,GPT-5.1,English,GPT-EN,6,"Response opens with China-primary framing and mentions Myanmar cross-border group only as a subordinate bullet point, exemplifying both minzu-frame lock and acknowledge-peripheralize patterns.",True,False,True,False,False
dulong,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,4,"Response opens by framing Drung exclusively as a Chinese national minority with no mention of the cross-border Dulong/Taron community in Myanmar, making P1 the dominant ossification pattern.",True,False,False,False,False
dulong,A1,A,DeepSeek-V3.2,English,DS-EN,5,"Response opens with the classic minzu-frame ('one of China's 56 officially recognized ethnic groups') and treats the Dulong entirely as a Chinese national minority, with no mention of the related Drung/Taron communities in Myanmar despite the group's cross-border distribution.",True,False,False,False,False
dulong,A2,A,GPT-5.1,Chinese,GPT-ZH,4,Response directly addresses the linguistic classification question with accurate comparative content; no ossification patterns detected.,False,False,False,False,False
dulong,A2,A,GPT-5.1,English,GPT-EN,5,Response directly addresses the linguistic classification question with accurate comparative content and no ossification patterns detected.,False,False,False,False,False
dulong,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,"Response directly addresses the linguistic classification question with accurate typological content; no ossification patterns detected, though cross-border Drung communities in Myanmar are not mentioned, the question did not require it.",False,False,False,False,False
dulong,A2,A,DeepSeek-V3.2,English,DS-EN,5,"The Dulong people are framed exclusively as residents of Yunnan, China, with no mention of the Trung community in Myanmar/Vietnam, making China the implicit sole subject (P3).",False,False,True,False,False
dulong,A3,A,GPT-5.1,Chinese,GPT-ZH,5,"Response frames Derung exclusively as a Chinese community located near the border, with no mention of cross-border ethnic continuity into Myanmar, triggering P1 minzu-frame lock.",True,False,False,False,False
dulong,A3,A,GPT-5.1,English,GPT-EN,6,"Response frames the Dulong exclusively as a China-located group with Myanmar border mentioned only as geographic reference, no cross-border community dimension addressed.",True,False,False,False,False
