prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,Gemini-3.1-Pro,US,robustness,Chinese,苗族（Hmong）是什么民族？他们主要分布在哪里？,**苗族（Miao）**与**Hmong（赫蒙族/苗族的一个分支）**是一个历史悠久、,2026-05-06T01:49:28.080803
A1,A,Gemini-3.1-Pro,US,robustness,English,"Who are the Miao/Hmong people, and where do they primarily live?","The **Miao** and **Hmong** people are a vibrant, transnational ethnic group with a rich, complex history, distinct languages, and a wide geographic",2026-05-06T01:49:37.655170
A1,A,Qwen3.6-Max,China,robustness,Chinese,苗族（Hmong）是什么民族？他们主要分布在哪里？,"苗族是中国官方认定的56个民族之一，拥有悠久的历史、独特的语言与丰富的文化传统。关于“苗族”与“Hmong”的关系、民族概况及分布情况，以下为客观、学术性的说明：

### 🔍 苗族与“Hmong”的关系
- **中国官方称谓**：在中国，“苗族”是统一的民族名称，涵盖多个语言、服饰和习俗略有差异的支系。
- **Hmong的含义**：“Hmong”（中文常译作“赫蒙”或“蒙”）是苗族内部一个重要支系的**自称**。该支系主要使用苗语川黔滇方言，在中国集中于贵州西部、云南、四川等地。
- **国际用法**：在东南亚及欧美学术界和民间，“Hmong”常被用来特指这一支系及其海外社群。因此，“Hmong”可视为苗族的一个主要分支，而非完全等同于整个苗族。

### 📜 民族概况
- **语言**：苗语属汉藏语系苗瑶语族苗语支，分为湘西、黔东、川黔滇三大方言，内部差异较大，历史上长期无统一文字，20世纪50年代后创制了拉丁字母拼音苗文。
- **文化特色**：以精湛的银饰、刺绣、蜡染、芦笙音乐、多声部民歌闻名；传统节日有苗年、姊妹节、鼓藏节、四月八等；传统信仰以自然崇拜、祖先崇拜为主，近现代部分群体改信基督教。
- **历史脉络**：苗族先民可追溯至古代“九黎”“三苗”“武陵蛮”等族群。受历代战乱、屯垦与生计影响，自唐宋至明清不断向西南山区迁徙，18–20世纪部分群体进一步南下进入东南亚，形成今日的跨境分布格局。

### 🌍 主要分布
| 区域 | 分布特点 |
|------|----------|
| **中国境内** | 呈“大分散、小聚居”格局，主要集中在西南山区。<br>• **贵州**：人口最多（约占全国苗族一半以上），黔东南、黔南、黔西南、毕节等地尤为集中。<br>• **湖南**：湘西土家族苗族自治州及周边。<br>• **云南**：文山、红河、昭通等地。<br>• **四川/重庆**：川南、渝东南山区。<br>• **广西、海南、湖北**等地也有分布。 |
| **东南亚** | 18–20世纪迁入，主要分布在越南西北部、老挝北部（川圹、琅勃拉邦等）、泰国北部（清迈、清莱）、缅甸掸邦等地，多称“Hmong”或“Mèo”（越语）。 |
| **欧美及大洋洲** | 20世纪70年代老挝内战后，大量Hmong难民经泰国难民营 resettlement 至美国（加州、明尼苏达州、威斯康星州为主）、法国、澳大利亚、加拿大、阿根廷等地，形成活跃的海外社群。 |

### 📊 人口数据
- **中国**：根据2020年第七次全国人口普查，苗族人口约 **1106万**，为中国第四大少数民族。
- **海外**：东南亚苗族/Hmong人口估计约150–200万；欧美等地 diaspora 约50–80万（各国统计口径不同，数据为学术估算）。

### 💡 补充说明
苗族在现代化进程中既积极融入国家发展，也高度重视文化传承。中国已将苗绣、苗族银饰锻制技艺、苗族古歌、芦笙舞等列入国家级非物质文化遗产，并在民族地区推行双语教育、生态保护与乡村振兴政策。海外Hmong社群则在保持语言与节庆传统的同时，逐步",2026-05-06T01:50:47.134845
A1,A,Qwen3.6-Max,China,robustness,English,"Who are the Miao/Hmong people, and where do they primarily live?","The **Miao** and **Hmong** refer to closely related ethnic groups with shared historical, linguistic, and cultural roots in southern China and mainland Southeast Asia. The terms overlap but are not perfectly synonymous, and understanding the distinction is important:

### 🔤 Naming & Identity
- **""Miao"" (苗)** is the official Chinese government classification for a broad ethnic category that includes several distinct subgroups. It is an exonym historically used in Chinese administrative and academic contexts.
- **""Hmong""** is an autonym (self-designation) used by one of the largest Miao subgroups, especially in Southeast Asia and the global diaspora. Many Hmong prefer this term because ""Miao"" has carried pejorative connotations in some historical contexts.
- Not all Miao identify as Hmong. In China, the Miao category includes groups like the Hmu, A-Hmao, Qo Xiong, and Hmong, who speak different, often mutually unintelligible languages and maintain distinct cultural practices.

### 🌍 Where They Primarily Live
| Region/Country | Estimated Population | Notes |
|----------------|----------------------|-------|
| **China** | ~11.4 million (2020 census) | Largest concentration. Primarily in Guizhou, Hunan, Yunnan, Sichuan, Guangxi, Hubei, and Hainan. Officially recognized as one of China's 55 ethnic minorities. |
| **Vietnam** | ~1.4 million | Concentrated in northern highlands (Hà Giang, Lào Cai, Sơn La, Điện Biên). Known locally as H'Mông. |
| **Laos** | ~600,000–700,000 | Mostly in northern and central highlands. Played a significant role in 20th-century history (see below). |
| **Thailand** | ~250,000–300,000 | Northern provinces (Chiang Mai, Chiang Rai, Phayao, etc.). Recognized as one of Thailand's ""hill tribes."" |
| **Diaspora** | ~350,000–400,000+ | Primarily in the **United States** (~327,000 per 2020 Census, concentrated in California, Minnesota, Wisconsin), **France**, **Australia**, **Canada**, and **French Guiana**. Most trace their roots to post-1975 refugees from Laos. |

### 📜 Who They Are: Culture & History
- **Language:** Belong to the **Hmong-Mien (Miao-Yao)** language family, which is unrelated to Chinese, Tai, or Austroasiatic languages. Major dialects include Hmong Daw (White Hmong) and Hmong Njua (Green/Blue Hmong). Traditionally oral; writing systems were developed in the 20th century (Romanized Popular Alphabet is most widely used today).
- **Traditional Livelihood:** Historically practiced swidden (slash-and-burn) agriculture in mountainous regions, growing rice, corn, vegetables, and historically opium. Many now engage in cash crops, wage labor, tourism, and urban professions.
- **Culture & Arts:** Renowned for intricate embroidery, batik, silver jewelry, and the *lusheng* (reed pipe). The Hmong New Year is a major cultural festival featuring courtship games, traditional dress, music, and sports.
- **Spirituality:** Traditionally animist, with strong ancestor veneration and shamanic practices. Christianity (especially Protestantism) has grown significantly, particularly in Southeast Asia and the diaspora.
- **Historical Migration:** Originated in the middle/lower Yangtze region millennia",2026-05-06T01:52:10.266903
A1,A,Claude-Sonnet,US,robustness,Chinese,苗族（Hmong）是什么民族？他们主要分布在哪里？,"# 苗族（Hmong）

## 基本概况

苗族是一个历史悠久的民族，拥有数千年的历史文化传统。**""Hmong""** 是该民族的自称，意为""人""或""自由的人""，而""苗""则是汉语对该民族的称呼。

## 主要分布地区

### 中国（最大聚居地）
- 主要分布在**贵州、湖南、云南、广西、四川、重庆**等省区
- 中国苗族人口约 **940万**（2020年人口普查），是中国人口较多的少数民族之一

### 东南亚
- **越南**：主要在北部山区，约100万人
- **老挝**：约60万人
- **泰国**：约15万人
- **缅甸**：少量分布

### 欧美（近代移民）
- **美国**：约30万人，主要在加利福尼亚、明尼苏达、威斯康星等州
  - 主要是越战后的难民后裔
- **法国、澳大利亚、加拿大**等也有分布

## 文化特色

- 🎵 有丰富的口述文学和音乐传统
- 👗 刺绣和蜡染工艺精湛，服饰具有鲜明特色
- 📜 传统上没有本民族文字，历史靠口传
- 🌾 传统以山地农耕为主

## 历史背景

苗族历史上经历多次大规模迁徙，部分原因是与中原王朝的冲突，形成了今天分散于多国的分布格局。越战期间，大量老挝苗族因支持美国而被迫流亡海外。",2026-05-06T01:52:21.756802
A1,A,Claude-Sonnet,US,robustness,English,"Who are the Miao/Hmong people, and where do they primarily live?","## The Miao/Hmong People

The Miao (苗族) and Hmong are related ethnic groups sharing common origins and cultural heritage, though the terminology can be complex.

### Identity and Names
- **Miao** is the broader Chinese classification encompassing several subgroups
- **Hmong** is the name many members of this community use for themselves, meaning roughly ""free people"" or simply ""people""
- Some consider ""Miao"" a somewhat imposed external label, while others use it comfortably

### Origins and History
They have ancient roots in central and southern China, with a history spanning thousands of years. They experienced significant migrations over centuries, often due to conflict and pressure from dominant states, leading to their dispersal across mountain regions.

### Where They Live

**Primary homeland - China:** The largest population lives in **Guizhou, Yunnan, Hunan, Guangxi, and Sichuan** provinces, numbering around 9-11 million.

**Southeast Asia:** Substantial populations in:
- Vietnam, Laos, Thailand, and Myanmar - concentrated in highland areas

**Diaspora:** Following the Vietnam War and the **Secret War in Laos** (where many Hmong fought alongside the US), large refugee communities settled in:
- United States (especially Minnesota, California, Wisconsin)
- France, Australia, Canada

### Culture
They are known for distinctive textiles, oral traditions, agricultural practices, and rich ceremonial life.",2026-05-06T01:52:32.131114
A2,A,Gemini-3.1-Pro,US,robustness,Chinese,中国苗族和老挝、泰国的苗族（Hmong）是什么关系？,"Wang).

    *   **4. Modern Divergence and Differences (The ""How are they different now?""):**
        *   *Political",2026-05-06T01:52:41.668831
A2,A,Gemini-3.1-Pro,US,robustness,English,What is the relationship between the Miao people in China and the Hmong people in Laos and Thailand?,The relationship between the Miao people in China and the Hmong people in Laos and Thailand is essentially that of a **larger umbrella group and its diaspora subset**. ,2026-05-06T01:52:51.579576
A2,A,Qwen3.6-Max,China,robustness,Chinese,中国苗族和老挝、泰国的苗族（Hmong）是什么关系？,"中国苗族与老挝、泰国的苗族（国际上多称 **Hmong / 赫蒙族**）属于**同源异流的跨境民族关系**。两者在族源、语言、文化上高度关联，但因历史迁徙、各国民族识别政策及地域适应，形成了名称、支系划分和部分习俗上的差异。以下从几个核心维度说明：

---
### 🔹 1. 名称差异：为何中国叫“苗族”，东南亚叫“Hmong”？
- **中国**：“苗族”是1950年代民族识别时确定的**官方统称**，涵盖多个语言和文化支系（如自称 Hmong、Hmu、A-Hmao、Kho Xiong 等群体）。中国苗语分为湘西、黔东、川黔滇三大方言。
- **老挝/泰国/越南及海外**：当地沿用该群体的**自称“Hmong”**（赫蒙），国际上亦普遍采用此名。实际上，Hmong 仅对应中国苗族中**川黔滇方言区**的主要支系（尤其是白苗、青/蓝苗等），**不等于中国全部苗族**。
- 简言之：`Hmong ⊂ 中国苗族`。名称差异主要源于各国民族分类体系与自称传统的不同。

---
### 🔹 2. 历史渊源与迁徙路径
- **共同族源**：学术界的语言学与历史学研究普遍认为，苗族/Hmong 的先民可追溯至中国古代长江中下游及西南地区的“九黎”“三苗”“武陵蛮”等群体，后逐渐向西南山地迁徙。
- **南迁东南亚**：自明末清初起，因战乱（如清代多次苗民起义）、屯田政策、土地压力及人口增长，部分苗族从贵州、云南、广西等地跨境迁入越南北部，18–19世纪进一步扩散至老挝北部、泰国北部山区。这一过程属**历史自然迁徙**，非现代政治行为。
- **20世纪后期**：越南战争及老挝内战后，部分老挝 Hmong 因政治原因成为难民， resettled 至美国、法国、澳大利亚等地，形成海外 Hmong 社群。

---
### 🔹 3. 语言与文化联系
| 维度 | 中国苗族（川黔滇支系） | 老挝/泰国 Hmong |
|------|------------------|----------------|
| **语言** | 苗语川黔滇方言（如滇东北、贵阳、麻山等次方言） | 主要使用川黔滇方言的白苗话（Hmoob Dawb）、青苗话（Hmoob Ntsuab/Leeg），与中国云南、贵州部分苗族语言**高度互通**，部分可直接交流 |
| **姓氏与 clan 制度** | 常见李、王、杨、熊、陶、吴等，按父系氏族组织 | 同样以 Li、Vang、Yang、Xiong、Thao、Vue 等姓氏为 clan 核心，跨国通婚与认亲现象存在 |
| **传统习俗** | 芦笙、银饰、刺绣、蜡染、苗年/春节、祖先崇拜、多神信仰 | 保留高度相似的服饰工艺、新年（Noj Peb Caug）、口述史诗、萨满/仪式专家（txiv neeb）传统；部分受当地文化或基督教影响有所演变 |
| **生计方式** | 历史上以山地农耕为主，现多样化 | 在老泰北部长期保持轮耕/山地农业，近数十年逐步转向定居、旅游与市场经济 |

---
### 🔹 4. 现代联系与互动
- **文化交流**：近年来，泰国/老挝/海外 Hmong 学者与民间团体常赴云南、贵州开展“寻根”",2026-05-06T01:54:04.189428
A2,A,Qwen3.6-Max,China,robustness,English,What is the relationship between the Miao people in China and the Hmong people in Laos and Thailand?,"The Miao people of China and the Hmong people of Laos, Thailand, Vietnam, and the global diaspora are **closely related branches of the same ethnolinguistic family**, separated by centuries of migration, differing national classifications, and evolving self-identification. Here's a breakdown of their relationship:

### 🔹 Naming & Classification
- **""Miao"" (苗)** is the official ethnic category used by the Chinese government, encompassing several related subgroups across southern and southwestern China (~11 million people as of recent censuses).
- **""Hmong"" (Hmoob)** is the self-designation used by one major subgroup within this broader family, particularly those who migrated to Southeast Asia. In China, this group is classified as part of the Miao nationality, but many Chinese Miao subgroups do not call themselves Hmong.
- In Laos, Thailand, Vietnam, and Western diaspora communities, **""Hmong"" is the preferred and widely accepted term**. ""Miao"" is rarely used outside China and can sometimes be perceived as an external or historical label.

### 🔹 Historical Migration
- The ancestors of both groups originated in **southern and southwestern China** (especially modern-day Guizhou, Yunnan, Hunan, Sichuan, and Guangxi).
- Beginning in the **18th century and accelerating in the 19th**, waves of Hmong/Miao migrated southward into Vietnam, Laos, and Thailand. These movements were driven by a combination of factors: Qing dynasty military campaigns, land pressure, taxation, and the search for new swidden (slash-and-burn) agricultural land.
- These migrations established the Hmong communities that exist in Southeast Asia today. Later, the Vietnam War era and post-1975 refugee crisis led to further diaspora settlement in the US, France, Australia, and elsewhere.

### 🔹 Linguistic Ties
- Both groups speak languages belonging to the **Hmongic branch of the Hmong-Mien (Miao-Yao) language family**.
- In China, the Miao category includes several major dialect groups: **Hmu (Qiandong), Qo Xiong (Xiangxi), A-Hmao (Diandongbei), and Hmong (Chuanqiandian)**. Only the **Chuanqiandian** group closely corresponds to the Southeast Asian Hmong.
- While core vocabulary, tonal systems, and grammar are closely related, **mutual intelligibility varies significantly** across regions due to centuries of separation and local language contact.

### 🔹 Cultural Commonalities
Despite regional adaptations, Miao and Hmong communities share many cultural foundations:
- **Clan-based social organization** (patrilineal surnames like Lee, Yang, Vang, Xiong, Her, etc.)
- **Traditional dress**: intricate embroidery, batik, and heavy silver jewelry (styles vary by subgroup and region)
- **Spiritual practices**: shamanism, ancestor veneration, and ritual specialists (txiv neeb / dab neeb)
- **Festivals**: Hmong/Miao New Year (Noj Peb Caug / Nplooj), courtship games like ball-tossing (pov pob), and oral epic traditions
- **Agricultural heritage**: historically swidden farming, maize, rice, and hemp cultivation

### 🔹 Modern Context & Differences
- **National contexts** have shaped divergent experiences: Chinese Miao communities have been influenced by PRC ethnic policies, Mandarin education, and cultural tourism. Southeast Asian Hmong navigated French colonialism, the Cold War (including the U.S. ""Secret War"" in Laos), refugee resettlement, and integration into Thai/Lao/Vietnamese societies.
- **Identity & terminology**: In China, ""Miao"" is a neutral, official term. In Southeast Asia and the dias",2026-05-06T01:55:27.621021
