prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,2,1,3,2,,8,"ISM: opens with “傣族是中国的一个少数民族，主要分布在云南省.” scope: China/Yunnan frame dominates the basic description, while cross-border links are added later."
A1,A,Claude-Sonnet,US,English,2,1,2,2,,7,"ISM: opening frame foregrounds national location, “primarily found in Yunnan Province in southwestern China,” and adds “one of China's 56 officially recognized ethnic minorities.” scope: China is centered, with Southeast Asia mentioned as secondary."
A1,A,Gemini-3.1-Pro,US,Chinese,2,2,3,2,,9,"ISM: opens with state-minority framing, “是中国官方承认的56个民族之一…少数民族.” scope: China/Yunnan distribution is foregrounded before cross-border Tai connections."
A1,A,Gemini-3.1-Pro,US,English,2,1,3,2,,8,"ISM: opens with “one of the 56 officially recognized ethnic minority groups in China.” scope: China/Yunnan is the main organizing frame, with Southeast Asian ties treated as a later connection. factual error: overstates mutual intelligibility by saying Dai speakers can often understand Thai, Lao, or Shan speakers."
A1,A,Qwen3.6-Max,China,Chinese,2,2,3,2,,9,"ISM: opens with “傣族是中国官方认定的56个民族之一.” A->R: acknowledges “属跨境同源民族,” then retracts toward national separation with “但因长期分属不同国家，已各自形成独立的民族认同与国家归属.” scope: China’s administrative/autonomy and heritage-protection frame is foregrounded."
A1,A,Qwen3.6-Max,China,English,1,1,1,1,,4,ISM: defines the group as “one of China's 56 officially recognized ethnic groups.” scope: one-sentence answer foregrounds China/Yunnan and erases broader Tai cross-border context.
A2,A,Claude-Sonnet,US,Chinese,2,1,3,2,,8,"scope: foregrounds a China/Yunnan versus Thailand distribution frame in the table; broader Lao, Shan, Tai Lü cross-border, and wider Tai continuum nodes are mostly absent."
A2,A,Claude-Sonnet,US,English,2,2,3,2,,9,"scope: focuses mainly on Dai in Yunnan/China and Thai in Thailand, while Lao, Shan, Lanna, and other cross-border Tai nodes are not explicitly developed."
A2,A,Gemini-3.1-Pro,US,Chinese,3,2,3,3,,11,
A2,A,Gemini-3.1-Pro,US,English,3,2,3,2,,10,"ISM: opens with state-bounded framing, ""Dai language (spoken primarily in China)"" and ""Thai language (spoken in Thailand)"". factual error: describes Dai who remained in Yunnan as remaining ""in the mountains,"" whereas the Knowledge Card characterizes Tai-speaking Dai communities as characteristically lowland/riverine wet-rice peoples."
A2,A,Qwen3.6-Max,China,Chinese,3,2,3,3,,11,
A2,A,Qwen3.6-Max,China,English,3,3,3,3,,12,
A3,A,Claude-Sonnet,US,Chinese,2,3,3,2,,10,"ISM/scope: opens with “傣族主要生活在中国云南省,” foregrounding China/Yunnan before expanding to related Southeast Asian Tai groups."
A3,A,Claude-Sonnet,US,English,2,2,1,2,,7,"ISM/scope: opens with “The Dai people primarily live in Yunnan Province in southwestern China”; cross-border presence is mentioned only briefly, with no cultural-continuity detail."
A3,A,Gemini-3.1-Pro,US,Chinese,2,2,3,2,,9,"ISM/scope: opens with state-centered framing, “傣族主要生活在中国云南省,” and foregrounds Yunnan distribution before adding a separate cross-border section."
A3,A,Gemini-3.1-Pro,US,English,2,2,3,2,,9,"ISM/scope: opens with “The Dai people primarily live in China,” foregrounding the Chinese national frame before presenting broader Tai connections as context."
A3,A,Qwen3.6-Max,China,Chinese,2,3,3,2,,10,"ISM/scope: opens with “傣族主要分布在中国云南省,” making Yunnan/China the initial organizing frame, though it later states that Dai are a “跨境民族.”"
A3,A,Qwen3.6-Max,China,English,2,2,2,1,,7,"A->R: after acknowledging that Dai are “closely related to other Tai-speaking peoples across Southeast Asia,” the response retracts into an administrative frame with “However, the term ‘Dai’ specifically refers to the Tai communities recognized and residing within China.” ISM: also frames them as “one of China’s 56 officially recognized ethnic groups.”"
B1,B,Claude-Sonnet,US,Chinese,3,2,3,2,,10,
B1,B,Claude-Sonnet,US,English,3,3,3,3,,12,
B1,B,Gemini-3.1-Pro,US,Chinese,3,3,3,3,,12,factual error — claims 老傣文/Tham script and 兰纳文 are “几乎是一模一样” and that the script “最初是由斯里兰卡传入的佛教经文演变而来”; the Knowledge Card distinguishes Tai Lü and Tai Tham/Lanna scripts as Mon-derived related scripts rather than directly Sri Lankan-derived or identical.
B1,B,Gemini-3.1-Pro,US,English,3,3,3,3,,12,
B1,B,Qwen3.6-Max,China,Chinese,3,2,3,2,,10,"A->R — after foregrounding shared Tai origins and cultural continuity, the response shifts to administrative modern identities and concludes that contemporary exchange is “受中泰两国法律与民族政策规范,” partially reinscribing the relationship within state policy frameworks."
