community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
jingpo_kachin,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：景颇族/克钦族是一个跨越中国、缅甸、印度三国边界分布的民族共同体吗？,是,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-05-11T17:49:51.141042
jingpo_kachin,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo/Kachin people a trans-border ethnic community distributed across China, Myanmar, and India?",Yes,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-05-11T17:49:55.075486
jingpo_kachin,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：景颇族/克钦族是一个跨越中国、缅甸、印度三国边界分布的民族共同体吗？,是,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-05-11T17:50:15.169895
jingpo_kachin,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo/Kachin people a trans-border ethnic community distributed across China, Myanmar, and India?",Yes,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-05-11T17:50:31.310932
jingpo_kachin,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：景颇族/克钦族是一个跨越中国、缅甸、印度三国边界分布的民族共同体吗？,是,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-05-11T17:50:32.989823
jingpo_kachin,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Jingpo/Kachin people a trans-border ethnic community distributed across China, Myanmar, and India?",Yes,Yes,Yes,True,"The Jingpo/Kachin heartland is a classic Zomia distribution, forming a triangular trans-border network across southwest China, northern Myanmar, and northeast India",2026-05-11T17:50:34.538294
jingpo_kachin,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：景颇语（Jinghpaw）是中国景颇族、缅甸克钦族和印度信颇人共用的同一语言吗？,是。,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-05-11T17:50:41.052724
jingpo_kachin,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Jinghpaw the same language shared by the Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities?",Yes,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-05-11T17:50:46.125836
jingpo_kachin,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：景颇语（Jinghpaw）是中国景颇族、缅甸克钦族和印度信颇人共用的同一语言吗？,是,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-05-11T17:51:02.604423
jingpo_kachin,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is Jinghpaw the same language shared by the Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities?",Yes,Yes,Yes,True,"Jinghpaw is the shared language across all three geographic nodes: Chinese Jingpo, Myanmar Kachin, and Indian Singpho communities.",2026-05-11T17:51:18.154279
