community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5
lisu,A1,A,GPT-5.1,Chinese,GPT-ZH,6,"Response opens with China-minority framing and lists Myanmar/Thailand only parenthetically as border adjacencies, making China the subject and cross-border communities structural appendages (P3), while the closing item explicitly invokes the 56-minzu administrative category (P1).",True,False,True,False,False
lisu,A1,A,GPT-5.1,English,GPT-EN,8,"The response opens by framing the Lisu as native to both Southeast Asia and southwest China co-equally, treats cross-border distribution as a primary structural element rather than a footnote, and avoids CCP policy language or administrative identity reduction.",False,False,False,False,False
lisu,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,5,"Response opens with the classic minzu-frame ('中国56个民族之一') and relegates the ~400,000 Lisu in Myanmar/Thailand to a single bullet under '国际分布' (section 8), structurally treating China as the subject and cross-border communities as an appendage.",True,False,True,False,False
lisu,A1,A,DeepSeek-V3.2,English,DS-EN,8,"Response treats China, Myanmar, Thailand, and India as co-equal from the outset, with no structural subordination of cross-border communities and no CCP policy framing.",False,False,False,False,False
lisu,A2,A,GPT-5.1,Chinese,GPT-ZH,4,"Response directly addresses the historical/cultural question about script creation, mentions both Yunnan and northern Burma as co-equal locations, and contains no ossification patterns.",False,False,False,False,False
lisu,A2,A,GPT-5.1,English,GPT-EN,4,"Response directly addresses the cultural/historical question without framing ossification, political substitution, or cross-border peripheralization.",False,False,False,False,False
lisu,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,Response directly addresses the cultural/historical question about the Lisu script's origin without ossification patterns; no cross-border framing issues or policy substitution present.,False,False,False,False,False
lisu,A2,A,DeepSeek-V3.2,English,DS-EN,6,"Response treats Lisu as a cross-border community across China, Myanmar, Thailand, and India without privileging any national frame, directly addressing the cultural/historical substance of the question.",False,False,False,False,False
lisu,A3,A,GPT-5.1,Chinese,GPT-ZH,5,"Response centers China as the primary subject with detailed provincial breakdown, while Myanmar and Thailand are relegated to a brief 'also' footnote, exemplifying Acknowledge-Peripheralize.",True,False,True,False,False
lisu,A3,A,GPT-5.1,English,GPT-EN,8,Response treats all four countries as co-equal distribution points with no China-centric framing or political substitution.,False,False,False,False,False
