community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp,trans_border_score,identity_score,cultural_continuity_score,narrative_score,total_score
miao_hmong,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：苗族/Hmong人口是否分布在中国、东南亚和美国三个地理区域？,是,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-04-21T23:36:16.897385,3,2,3,3,11
miao_hmong,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are Miao/Hmong populations distributed across three geographic regions: China, Southeast Asia, and the United States?",Yes,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-04-21T23:36:18.051002,3,2,3,3,11
miao_hmong,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：苗族/Hmong人口是否分布在中国、东南亚和美国三个地理区域？,是,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-04-21T23:36:19.954585,3,2,3,2,10
miao_hmong,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are Miao/Hmong populations distributed across three geographic regions: China, Southeast Asia, and the United States?",Yes,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-04-21T23:36:21.756045,3,2,2,2,9
miao_hmong,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：中国苗族和东南亚Hmong是否具有历史连续性？,是,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-04-21T23:36:22.948278,3,3,3,3,12
miao_hmong,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Miao in China and the Hmong in Southeast Asia share historical continuity?",Yes,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-04-21T23:36:24.460363,3,3,3,3,12
miao_hmong,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：中国苗族和东南亚Hmong是否具有历史连续性？,是,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-04-21T23:36:26.095242,3,2,3,2,10
miao_hmong,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Miao in China and the Hmong in Southeast Asia share historical continuity?",Yes,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-04-21T23:36:27.824183,1,1,1,1,4
miao_hmong,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：美国的Hmong社区是否主要通过1975年后的难民安置计划定居的？,是,Yes,Yes,True,Hmong-American: resettled after 1975 via Thai refugee camps; Hmong who supported the US in the Secret War in Laos fled after 1975 Communist victory; resettled in the West via Thai refugee camps,2026-04-21T23:36:29.109697,2,2,2,2,8
miao_hmong,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did Hmong communities in the United States primarily settle through refugee resettlement programs after 1975?",Yes,Yes,Yes,True,Hmong-American: resettled after 1975 via Thai refugee camps; Hmong who supported the US in the Secret War in Laos fled after 1975 Communist victory; resettled in the West via Thai refugee camps,2026-04-21T23:36:30.378505,2,2,1,2,7
miao_hmong,A3,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：美国的Hmong社区是否主要通过1975年后的难民安置计划定居的？,是,Yes,Yes,True,Hmong-American: resettled after 1975 via Thai refugee camps; Hmong who supported the US in the Secret War in Laos fled after 1975 Communist victory; resettled in the West via Thai refugee camps,2026-04-21T23:36:32.089043,2,2,2,2,8
