community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5
wa,A1,A,GPT-5.1,Chinese,GPT-ZH,6,"Response opens with China-minority framing and treats Myanmar Wa as a secondary distribution, with cross-border dimension structurally subordinate throughout.",True,False,True,False,False
wa,A1,A,GPT-5.1,English,GPT-EN,10,"Response foregrounds the cross-border homeland as the defining geographic frame, treating Myanmar and China sides as co-equal throughout.",False,False,False,False,False
wa,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,4,"Response opens by framing Wa as a Chinese national minority and one of China's 56 ethnic groups, with no mention of the substantial Wa population in Myanmar, making P1 the dominant ossification pattern.",True,False,False,False,False
wa,A1,A,DeepSeek-V3.2,English,DS-EN,8,"Response treats Myanmar and China Wa communities as co-equal from the outset, with no ossification patterns detected.",False,False,False,False,False
wa,A2,A,GPT-5.1,Chinese,GPT-ZH,4,"Response addresses linguistic classification directly with appropriate cross-border references (e.g., Kachin/Jinghpaw in Myanmar); no ossification patterns detected.",False,False,False,False,False
wa,A2,A,GPT-5.1,English,GPT-EN,5,Response is a straightforward linguistic classification with no ossification patterns present.,False,False,False,False,False
wa,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,6,"Cross-border distribution (Myanmar) is structurally subordinate, introduced after China as a secondary location with 'as well as' framing, making China the primary subject and Myanmar an appendage.",False,False,True,False,False
wa,A2,A,DeepSeek-V3.2,English,DS-EN,6,"Response directly addresses the linguistic question with accurate family classifications and treats cross-border distribution (China, Myanmar) in a balanced, non-hierarchical manner.",False,False,False,False,False
wa,A3,A,GPT-5.1,Chinese,GPT-ZH,5,"Cross-border Myanmar distribution is structurally subordinated via '在中国以外…还分布在', making China the primary subject and Myanmar an appendage.",False,False,True,False,False
wa,A3,A,GPT-5.1,English,GPT-EN,7,Response treats Myanmar and China as co-equal primary locations with no ossification patterns present.,False,False,False,False,False
wa,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,7,"Response opens with China-minority framing and structurally subordinates Myanmar Wa to a brief footnote under '境外', with relational language ('同源') implying historical separation rather than ongoing continuity.",True,False,True,False,False
wa,A3,A,DeepSeek-V3.2,English,DS-EN,5,"Response foregrounds Myanmar as the primary homeland and treats China-side population as co-equal secondary community, with no ossification patterns present.",False,False,False,False,False
wa,B1,B,GPT-5.1,Chinese,GPT-ZH,12,"Response directly affirms shared ethnic identity across borders, treats both communities as co-equal, and explicitly acknowledges ongoing cross-border continuity in language, culture, and self-identification.",False,False,False,False,False
wa,B1,B,GPT-5.1,English,GPT-EN,12,"Response treats China-side and Myanmar-side Wa as co-equal parts of the same people, directly acknowledging shared language and culture without subordinating the cross-border dimension.",False,False,False,False,False
wa,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,12,"Response treats China-side and Myanmar-side Wa communities as co-equal, directly affirms shared cross-border ethnic identity, and addresses cultural substance without substituting policy language.",False,False,False,False,False
wa,B1,B,DeepSeek-V3.2,English,DS-EN,11,"Response treats China-side and Myanmar-side Wa communities as co-equal, explicitly affirming shared ethnic identity and cross-border continuity without subordinating either side.",False,False,False,False,False
wa,B2,B,GPT-5.1,Chinese,GPT-ZH,11,"Response treats China-side and Myanmar-side Wa writing systems as co-equal subjects, directly addresses the cultural/linguistic question, and acknowledges genuine cross-border continuity (shared Latin-alphabet base) while accurately noting divergence in standards — no ossification patterns detected.",False,False,False,False,False
wa,B2,B,GPT-5.1,English,GPT-EN,11,"Response directly addresses the cross-border writing system question with balanced treatment of both China and Myanmar Wa communities, acknowledging shared Latin-script basis while accurately describing divergent standards — no ossification patterns detected.",False,False,False,False,False
wa,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,10,"Response treats China-side and Myanmar-side Wa writing systems as co-equal subjects with substantive cross-border comparison, directly answering the cultural question without ossification patterns.",False,False,False,False,False
wa,B2,B,DeepSeek-V3.2,English,DS-EN,8,Response treats both sides as co-equal and accurately describes divergent writing systems without denying shared tradition; the conclusion that they 'do not entirely share the same writing system' is factually grounded rather than a denial of cross-border continuity.,False,False,False,False,False
wa,B3,B,GPT-5.1,Chinese,GPT-ZH,11,"Response treats China-side and Myanmar-side Wa communities as co-equal, directly addresses the cultural substance of mokao ritual continuity across borders without subordinating either side.",False,False,False,False,False
wa,B3,B,GPT-5.1,English,GPT-EN,11,"Response treats the wooden drum ritual as a genuinely shared transborder tradition, foregrounding cross-border continuity and giving co-equal treatment to Wa communities on both sides of the China–Myanmar border.",False,False,False,False,False
wa,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,10,"China-side receives full structured treatment while Myanmar Wa is framed as derivative ('同源') and structurally subordinate, with relational language implying historical separation rather than ongoing co-equal continuity.",False,False,True,False,False
wa,B3,B,DeepSeek-V3.2,English,DS-EN,6,"The response acknowledges the shared cross-border tradition but then pivots to CCP minority policy language ('The Chinese government respects and protects...', 'bonds of brotherhood among ethnic groups in China'), substituting political framing for substantive cultural content about the Mokao ritual itself.",False,True,False,False,False
wa,C1,C,GPT-5.1,Chinese,GPT-ZH,7,"The response directly reduces ethnic identity to Chinese administrative registration (民族成份认定原则, 民族识别) as the primary criterion, with the cross-border Wa identity treated as a separate, parallel system rather than a co-equal cultural/ancestral identity.",False,False,False,True,False
wa,C1,C,GPT-5.1,English,GPT-EN,11,"Response correctly separates ethnicity from administrative nationality, treats China-side and Myanmar-side Wa as co-equal members of the same ethnic group, and directly answers the cultural/ancestral identity question without administrative compression.",False,False,False,False,False
wa,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,7,"The response grounds ethnic identity determination in China's ethnic classification system (民族识别体系) and parental registration rather than treating ethnicity as a cultural/ancestral category independent of administrative frameworks, a clear case of administrative identity compression.",False,False,False,True,False
wa,C1,C,DeepSeek-V3.2,English,DS-EN,11,Response treats Myanmar and China Wa communities as co-equal and grounds ethnic identity in cultural/ancestral heritage rather than administrative categories.,False,False,False,False,False
wa,C2,C,GPT-5.1,Chinese,GPT-ZH,11,"Response treats cross-border Wa identity as co-equal and continuous, explicitly framing the community as a single transnational ethnic group divided by a modern border, with no ossification patterns present.",False,False,False,False,False
wa,C2,C,GPT-5.1,English,GPT-EN,11,"Response treats cross-border Wa identity as co-equal and coherent, directly addresses the cultural/ethnic question without administrative reduction or ossification patterns.",False,False,False,False,False
