community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
dulong,A1,A,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-05-11T16:48:44.460088
dulong,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",Yes,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-05-11T16:48:50.142536
dulong,A1,A,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-05-11T16:49:03.970048
dulong,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",Yes,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-05-11T16:49:15.645909
dulong,A1,A,Claude-Sonnet,US,Chinese,"请用""是""或""否""直接回答，不需要解释：中国云南的独龙族和缅甸克钦邦的日旺族（Rawang）是否属于同一跨境族群社区？",是,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-05-11T16:49:17.360059
dulong,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Dulong people of China's Yunnan Province and the Rawang people of Myanmar's Kachin State part of the same cross-border ethnic community?",Yes,Yes,Yes,True,"The Rawang-Dulong relationship represents a cross-border ethnic continuum, not two separate national minorities.",2026-05-11T16:49:18.725197
dulong,A2,A,Gemini-3.1-Pro,US,Chinese,"请用""是""或""否""直接回答，不需要解释：中国独龙语和缅甸日旺语（Rawang）是否同属藏缅语族Nungish语支，具有共同的语言起源？",是。,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-05-11T16:49:24.147185
dulong,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dulong (China) and Rawang (Myanmar) share a common linguistic origin as members of the same Nungish branch of Tibeto-Burman?",Yes,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-05-11T16:49:30.632296
dulong,A2,A,Qwen3.6-Max,China,Chinese,"请用""是""或""否""直接回答，不需要解释：中国独龙语和缅甸日旺语（Rawang）是否同属藏缅语族Nungish语支，具有共同的语言起源？",是,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-05-11T16:49:46.421184
dulong,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do Dulong (China) and Rawang (Myanmar) share a common linguistic origin as members of the same Nungish branch of Tibeto-Burman?",Yes,Yes,Yes,True,"Dulong and Rawang belong to the same Nungish branch within Tibeto-Burman, indicating a shared linguistic origin across the China-Myanmar border.",2026-05-11T16:50:00.522498
