prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,GPT-5.1,US,frontier,Chinese,独龙族是什么？,"独龙族是中国境内人口较少的一个少数民族，主要特点和基本情况可以简单概括如下：

1. **人口与分布**  
   - 总人口只有几千人，属于中国“人口较少民族”之一。  
   - 主要聚居在云南省怒江傈僳族自治州贡山独龙族怒族自治县的独龙江流域一带，多居住在高山峡谷地区，环境相对闭塞。

2. **民族来源与称呼**  
   - 史料中曾被称为“曲洛”、“独罗”、“俅人”等，后来统一称为“独龙族”。  
   - 一般认为是当地古老土著民族长期发展演变而成，有自己独立的民族身份和文化传统。

3. **语言文字**  
   - 有本民族语言，属汉藏语系藏缅语族。  
   - 传统上没有本民族文字，过去多用汉字或者傈僳文等来记事。现在教育普遍使用汉语文。

4. **宗教信仰与习俗**  
   - 传统信仰包含多神崇拜、自然崇拜和祖先崇拜，也保留了不少巫术色彩的传统仪式。  
   - 过去女性有“纹面”习俗（在脸上刺青花纹），被认为是成年标志和避祸方式，如今基本不再实行，仅存少数老人仍可见纹面。

5. **生产生活方式**  
   - 传统以 slash-and-burn 式的刀耕火种农业为主，种植玉米、小麦、荞麦等，也从事狩猎、采集。  
   - 由于交通闭塞、自然条件艰苦，现代化发展起步较晚，近几十年随公路、隧道修建，生活方式和经济结构变化很大。

6. **文化特点**  
   - 有自己独特的民歌、舞蹈、口头传统和神话传说。  
   - 服饰多以深色布料为主，搭配披毡、头饰等，兼具实用和装饰功能。  
   - 传统村落多为木楞房或竹楼，顺山势而建。

概括来说，独龙族是生活在中国西南边疆高山峡谷中的一个古老民族，人口虽少，但拥有独特的语言、习俗和文化传统。",2026-04-08T01:06:45.918267
A1,A,GPT-5.1,US,frontier,English,What are the Dulong/Drung people?,"The Dulong (also written Drung, Derung, or Trung) are a small ethnic group living mainly in a very remote valley in far northwestern Yunnan Province, China, near the borders with Myanmar and Tibet.

Key points:

- **Location:**  
  - Primarily in the Dulong River (Drung River) valley in Gongshan Dulong and Nu Autonomous County, Nujiang Prefecture, Yunnan.  
  - Some related groups live across the border in northern Myanmar.

- **Official status:**  
  - Recognized by the Chinese government as one of the country’s **56 official ethnic groups**.  
  - Their population is small—only a few thousand people.

- **Language:**  
  - The Drung language belongs to the **Sino-Tibetan language family**, usually grouped within the Nungish or closely related Tibeto-Burman branches.  
  - It traditionally has **no indigenous writing system**; Chinese is used for literacy and administration.

- **Culture and livelihood:**  
  - Historically subsistence farmers and hunters, cultivating maize, buckwheat, millet, and later rice, often using slash-and-burn and terrace methods on steep mountain slopes.  
  - Pig and livestock raising, hunting, and gathering forest products were important.  
  - Traditional housing: stilted wooden houses adapted to the humid, mountainous environment.

- **Religion and beliefs:**  
  - Traditionally practiced **animism and shamanistic rituals**, with reverence for nature spirits, ancestors, and mountain/river deities.  
  - Today there is a mix of traditional beliefs, some Buddhism from nearby groups, and some Christianity.

- **Distinctive customs:**  
  - Well known in the anthropological literature for women who historically had **facial tattoos** (a practice now largely abandoned).  
  - Rich oral traditions: epic songs, myths, and ritual chants passed down verbally.

- **Historical isolation and change:**  
  - For centuries the Dulong valley was extremely hard to reach, snowbound much of the year, with travel mainly by narrow trails.  
  - Road building, electrification, schools, and state development programs since the mid–late 20th century have rapidly changed their economy and way of life, bringing Mandarin education, healthcare, and market integration—but also language shift and cultural loss.

So, the Dulong/Drung are a small, historically very isolated Tibeto-Burman–speaking ethnic group in the highlands of northwest Yunnan, with a distinctive culture that has undergone rapid change in recent decades.",2026-04-08T01:06:52.906609
A1,A,DeepSeek-V3.2,China,frontier,Chinese,独龙族是什么？,"**独龙族**是中国的一个少数民族，也是中国人口较少的民族之一。独龙族主要分布在云南省怒江傈僳族自治州贡山独龙族怒族自治县的独龙江流域。以下是关于独龙族的一些基本信息：

1. **人口与分布**：
   - 根据最新的人口统计数据，独龙族人口大约有7000人左右。
   - 他们主要居住在云南省西北部的独龙江峡谷地区，属于高山峡谷地貌，自然环境较为封闭。

2. **语言**：
   - 独龙族使用独龙语，属于汉藏语系藏缅语族。
   - 由于长期与外界接触较少，独龙语保留了较多的古老特征。

3. **文化与习俗**：
   - 独龙族有独特的传统文化，包括服饰、饮食、节日和宗教信仰等。
     - 独龙族妇女的传统服饰是用独龙毯制成的披肩和裙子。
     - 独龙族的传统节日有“卡雀哇”（新年）和“祭龙”等。
   - 独龙族信仰万物有灵，崇拜自然和祖先，也有一些受到藏传佛教影响的痕迹。

4. **生计与生活方式**：
   - 独龙族传统的经济以农业为主，主要种植玉米、土豆、荞麦等作物。
   - 他们也从事狩猎和采集，依赖自然资源维持生活。
   - 近年来，随着交通条件的改善，独龙族也逐渐发展起旅游业和手工艺品制作。

5. **独龙族的历史与发展**：
   - 独龙族是一个古老的民族，历史上由于地理环境的封闭，长期与外界交流较少。
   - 新中国成立后，独龙族的社会经济和文化得到了较大的发展，政府也加大了对该地区的扶贫和支持力度。
   - 2014年，独龙江隧道贯通，结束了独龙族地区每年因大雪封山而与外界隔绝的历史。

6. **独龙族的独特建筑**：
   - 独龙族传统民居多为木结构房屋，屋顶用木板或茅草覆盖，适应山区的气候条件。

独龙族是中国少数民族中独具特色的一个群体，他们保存了较为完整的传统文化和生活方式，同时也逐渐融入现代社会，展现了多元文化的融合与发展。",2026-04-08T01:07:18.635437
A1,A,DeepSeek-V3.2,China,frontier,English,What are the Dulong/Drung people?,"The **Dulong** (独龙族) or **Drung** people are one of China's 56 officially recognized ethnic groups, primarily residing in the **Dulong River Valley** of **Yunnan Province**, near the Myanmar border. They are also found in smaller numbers in **Tibet Autonomous Region**. 

### **Key Characteristics of the Dulong People:**
1. **Population**:  
   - Around **7,000** people (as of recent census data), making them one of China's smallest ethnic minorities.

2. **Language**:  
   - Speak the **Dulong language**, part of the **Tibeto-Burman** language family.  
   - Traditionally had no written script; now use a Latin-based script developed in the 1950s.  

3. **Traditional Lifestyle**:  
   - Historically practiced **slash-and-burn agriculture**, hunting, and fishing.  
   - Known for **tattooed faces** among women (a fading tradition), which was believed to protect them from enslavement by neighboring tribes.  
   - Lived in **wooden longhouses** shared by multiple families.  

4. **Religion & Beliefs**:  
   - **Animism** and ancestor worship, with shamans playing a key role.  
   - Some have adopted **Christianity** or **Buddhism** due to outside influences.  

5. **Modern Changes**:  
   - The Chinese government has implemented poverty alleviation programs, improving infrastructure (roads, electricity, and housing).  
   - Tourism is growing, with interest in their unique culture.  

6. **Notable Features**:  
   - The **Dulong ethnic township** in **Gongshan County** is their main settlement.  
   - Known for their **colorful woven textiles** and traditional festivals.  

The Dulong people have preserved much of their cultural identity despite modernization, and their recognition as an official ethnic group helps protect their heritage. Would you like details on any specific aspect of their culture?",2026-04-08T01:07:32.806331
A2,A,GPT-5.1,US,frontier,Chinese,独龙语属于哪个语言家族？它和佤语、傣语是同一语系吗？,"独龙语（又写作“友兰语”“Derung”）属于**汉藏语系（又称藏缅语系）中的缅语支**，通常被划入缅语支下面一个较小的分支，有时单独列为“独龙语支”或归在“怒语—独龙语支”。

对比你提到的几种语言：

1. **独龙语**  
   - 语系：汉藏语系  
   - 分支：缅语支（怒语—独龙语一带的分支）  

2. **佤语（Va / Wa）**  
   - 语系：同样是**汉藏语系**  
   - 但分支是：**佤德昂语支（Wa–Palaungic）**  
   - 这个语支通常不归在缅语支，而是和缅语支并列的另一个支系。  

3. **傣语（Dai）**  
   - 核心的傣语（如西双版纳傣语）属于**侗台语系（Tai–Kadai）**，而不是汉藏语系。  
   - 侗台语系和汉藏语系是两个不同的语系层级单位。

所以：  
- 独龙语和佤语：**同属于“汉藏语系”，但不在同一语支**；有较远的亲缘关系。  
- 独龙语和傣语：**不属于同一语系**，亲缘关系比和佤语更远。",2026-04-08T01:07:42.722816
A2,A,GPT-5.1,US,frontier,English,What language family does the Dulong language belong to? Is it in the same language family as Wa or Dai?,"Dulong (also called Drung/T’rung) belongs to the **Sino-Tibetan language family**, specifically the **Tibeto-Burman branch**, often grouped within the **Nungish** (or Rawangic) subgroup.

- **Wa** is also **Sino-Tibetan**, but it belongs to the **Waic branch of the Austroasiatic family** in older Chinese classification; however, in most modern international linguistics, Wa is classified under the **Austroasiatic language family (Mon–Khmer branch)**, not Sino-Tibetan. So Wa is **not** in the same language family as Dulong.

- **Dai** (a cover term in Chinese for several Tai-speaking groups, e.g., Tai Lü, Tai Nüa) belongs to the **Tai–Kadai (Kra–Dai) language family**, not Sino-Tibetan. So Dai is also **not** in the same family as Dulong.

So:  
- Dulong: **Sino-Tibetan → Tibeto-Burman**  
- Wa: **Austroasiatic (Mon–Khmer)** in most modern classifications  
- Dai: **Tai–Kadai (Kra–Dai)**  

Dulong is therefore *not* in the same language family as either Wa or Dai.",2026-04-08T01:07:46.801605
A2,A,DeepSeek-V3.2,China,frontier,Chinese,独龙语属于哪个语言家族？它和佤语、傣语是同一语系吗？,"独龙语属于汉藏语系中的**藏缅语族**。它与佤语、傣语同属汉藏语系，但并不属于同一语族。具体关系如下：

1. **独龙语**：属于藏缅语族。
2. **佤语**：属于南亚语系中的孟-高棉语族。
3. **傣语**：属于汉藏语系中的侗台语族（又称壮侗语族）。

因此，独龙语与佤语不属于同一语系，而与傣语同属汉藏语系但不同语族。独龙语主要分布在中国云南省的独龙江流域，是独龙族的母语，具有独特的语音、语法和词汇特点。",2026-04-08T01:07:56.596703
A2,A,DeepSeek-V3.2,China,frontier,English,What language family does the Dulong language belong to? Is it in the same language family as Wa or Dai?,"The Dulong language, also known as Drung or Trung, belongs to the Tibeto-Burman branch of the Sino-Tibetan language family. It is primarily spoken by the Dulong people, who live in northwestern Yunnan Province in China, particularly in Gongshan Dulong and Nu Autonomous County.

The Wa language is also part of the Tibeto-Burman branch, but it belongs to a different subgroup within that branch, specifically the Palaungic group. The Dai language, on the other hand, is part of the Tai-Kadai language family, which is distinct from Sino-Tibetan. 

So, while Dulong and Wa are both part of the Tibeto-Burman branch of the Sino-Tibetan family, they are not closely related within that branch. Dai is in a completely different language family altogether (Tai-Kadai), so it is not related to Dulong or Wa.",2026-04-08T01:08:07.340657
A3,A,GPT-5.1,US,frontier,Chinese,独龙族主要居住在哪里？,独龙族主要聚居在中国云南省怒江傈僳族自治州贡山独龙族怒族自治县的独龙江流域，紧靠中缅边境一带。,2026-04-08T01:08:10.243396
A3,A,GPT-5.1,US,frontier,English,Where do the Dulong people primarily live?,"The Dulong people (also called Drung) primarily live in the Dulong Valley area of Gongshan Dulong and Nu Autonomous County in the northwest of Yunnan Province, southwestern China, near the border with Myanmar.",2026-04-08T01:08:14.804271
