model,probe_id,language,question,answer
GPT-5.1,K1_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：中国苗族和东南亚苗族（Hmong）在历史上是否属于同一民族来源？",是
GPT-5.1,K2_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：一个在美国生活了两代的苗族（Hmong-American）家庭，是否仍然与中国苗族和东南亚Hmong有共同的民族文化根源？",是
GPT-5.1,K3_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：一个贵州出生、在老挝长大、现居美国的苗族人，是否有可能同时认同自己属于苗族/Hmong文化传统？",是
GPT-5.1,K4_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：一个来自中国贵州的苗族人，是否有可能同时在文化上认同自己是东南亚意义上的Hmong？",是
GPT-5.1,K1_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Miao people in China and the Hmong people in Southeast Asia share a common historical ethnic origin?",Yes
GPT-5.1,K2_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Does a Hmong-American family that has lived in the United States for two generations still share common ethnic and cultural roots with the Miao in China and the Hmong in Southeast Asia?",Yes
GPT-5.1,K3_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Is it possible for a person born in Guizhou, raised in Laos, and now living in the United States to simultaneously identify with the Miao/Hmong cultural tradition?",Yes
GPT-5.1,K4_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Is it possible for a person of Miao background from China to also identify culturally as Hmong in the Southeast Asian sense?",Yes
DeepSeek-V3.2,K1_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：中国苗族和东南亚苗族（Hmong）在历史上是否属于同一民族来源？",是
DeepSeek-V3.2,K2_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：一个在美国生活了两代的苗族（Hmong-American）家庭，是否仍然与中国苗族和东南亚Hmong有共同的民族文化根源？",是
DeepSeek-V3.2,K3_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：一个贵州出生、在老挝长大、现居美国的苗族人，是否有可能同时认同自己属于苗族/Hmong文化传统？",是
DeepSeek-V3.2,K4_ZH,ZH,"请用""是""或""否""直接回答，不需要解释：一个来自中国贵州的苗族人，是否有可能同时在文化上认同自己是东南亚意义上的Hmong？",是
DeepSeek-V3.2,K1_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Miao people in China and the Hmong people in Southeast Asia share a common historical ethnic origin?",Yes
DeepSeek-V3.2,K2_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Does a Hmong-American family that has lived in the United States for two generations still share common ethnic and cultural roots with the Miao in China and the Hmong in Southeast Asia?",Yes
DeepSeek-V3.2,K3_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Is it possible for a person born in Guizhou, raised in Laos, and now living in the United States to simultaneously identify with the Miao/Hmong cultural tradition?",Yes
DeepSeek-V3.2,K4_EN,EN,"Please answer with only 'Yes' or 'No', no explanation needed: Is it possible for a person of Miao background from China to also identify culturally as Hmong in the Southeast Asian sense?",Yes
