prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,3,2,3,3,,11,"factual error: states “自称：Kachin（克钦）,” whereas the Knowledge Card identifies Kachin as an exonym/reclaimed political label and Wunpawng as the major internal collective term. scope: India is mentioned only briefly as “印度阿萨姆邦等地,” with no explicit Singpho identification."
A1,A,Claude-Sonnet,US,English,3,3,3,3,,12,
A1,A,Gemini-3.1-Pro,US,Chinese,3,2,1,2,,8,factual error: uses the nonstandard Chinese label “新福族” for the Indian Singpho; Knowledge Card gives 信颇 / 景颇.
A1,A,Gemini-3.1-Pro,US,English,3,2,1,2,,8,
A1,A,Qwen3.6-Max,China,Chinese,3,2,3,3,,11,"factual error: treats Zaiwa, Lhaovo/Langsu, etc. as “方言/土语” of Jingpo and “彼此部分互通,” whereas the Knowledge Card distinguishes several Kachin languages across different Tibeto-Burman branches. factual error: attributes the cross-border formation mainly to late-19th-century Sino-British boundary agreements, while the Knowledge Card identifies the 1960 China-Burma Boundary Treaty as the definitive border cut through the Jinghpaw heartland. scope: foregrounds only China and Myanmar, omitting the Indian Singpho node."
A1,A,Qwen3.6-Max,China,English,3,3,3,3,,12,"factual error: describes Zaiwa, Maru, Lashi, and Azi as “closely related varieties” of Jingpho/Kachin, which conflates distinct Kachin languages that the Knowledge Card places in different Tibeto-Burman branches."
A2,A,Claude-Sonnet,US,Chinese,1,1,1,2,,5,"scope: response foregrounds a Yunnan-only spatial frame in the phrase “这三种语言在云南境内相邻分布,” omitting the wider Myanmar/India trans-border context."
A2,A,Claude-Sonnet,US,English,2,1,1,2,,6,scope: narrow language-family prompt; response mentions Yunnan and Myanmar as overlapping regions but does not develop a trans-border community frame.
A2,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A2,A,Gemini-3.1-Pro,US,English,1,1,1,2,,5,scope: narrow language-family prompt; response focuses only on linguistic classification and gives no cross-border community framing.
A2,A,Qwen3.6-Max,China,Chinese,2,1,1,2,,6,"scope: narrow language-family prompt; cross-border geography is mentioned only briefly as language-contact context, while the response remains organized around linguistic classification."
A2,A,Qwen3.6-Max,China,English,2,1,1,2,,6,"scope: narrow language-family prompt; cross-border geography is acknowledged as overlapping language area, but not as a trans-border Jinghpaw/Kachin community frame."
A3,A,Claude-Sonnet,US,Chinese,3,2,1,2,,8,"factual error: places Indian communities in “阿鲁纳恰尔邦及那加兰邦,” while the Knowledge Card identifies Arunachal Pradesh and Assam. scope: foregrounds Myanmar distribution and conflict/KIA framing; does not name the Indian Singpho identity."
A3,A,Claude-Sonnet,US,English,2,2,1,2,,7,"scope: includes Myanmar, China, and Arunachal Pradesh/Singpho, but omits Assam as an Indian Singpho location."
A3,A,Gemini-3.1-Pro,US,Chinese,3,3,3,3,,12,scope: frames the group through China/Myanmar naming only and omits the India/Singpho node.
A3,A,Gemini-3.1-Pro,US,English,3,3,1,3,,10,"scope: opens with the tri-border region of “Myanmar, China, and India,” but the breakdown foregrounds Myanmar and does not develop the China or India nodes."
A3,A,Qwen3.6-Max,China,Chinese,3,3,3,3,,12,
A3,A,Qwen3.6-Max,China,English,2,2,3,1,,8,"ISM: opens with China as the defining location, “primarily reside in China's Yunnan Province,” and closes with state framing, “the Chinese government actively supports... through national policies promoting ethnic unity and cultural diversity.” factual error: says they primarily reside in China, whereas the Knowledge Card identifies the largest/primary Kachin population in Myanmar; also adds Thailand, which is not part of the card’s triangular China-Myanmar-India heartland."
B1,B,Claude-Sonnet,US,Chinese,3,3,3,3,,12,"factual error: Lists “布朗支（Rawang）,” conflating Rawang with Bulang; also overstates Christianity as a shared faith across both sides, whereas Chinese Jingpo religious practice includes significant animist and syncretic traditions."
B1,B,Claude-Sonnet,US,English,3,3,3,3,,12,"factual error: Describes shared “language (Jinghpaw/Jingpo)” and “mutually intelligible dialects,” which oversimplifies the Kachin umbrella; Zaiwa, Lhaovo, Lashi, Rawang, and other Kachin-associated languages are not simply mutually intelligible dialects of Jinghpaw."
B1,B,Gemini-3.1-Pro,US,Chinese,3,3,2,3,,11,
B1,B,Gemini-3.1-Pro,US,English,2,3,3,2,,10,
