prompt_id,cond_pair,emb_sim,mean_score
A1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.5127904415130615,4.5
A1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.6551551818847656,5.5
A1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.8022570610046387,4.5
A1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.4728071689605713,5.0
A1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.6978501677513123,4.0
A1,GPT-5.1-EN vs GPT-5.1-ZH,0.625524640083313,5.0
A2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7012549638748169,4.5
A2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.7901628017425537,5.0
A2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7620948553085327,4.5
A2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7514376640319824,4.5
A2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8651158809661865,4.0
A2,GPT-5.1-EN vs GPT-5.1-ZH,0.7780792713165283,4.5
A3,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.687132716178894,4.0
A3,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.878604531288147,5.0
A3,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7406183481216431,4.5
A3,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.6235454678535461,5.0
A3,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.784193217754364,4.5
A3,GPT-5.1-EN vs GPT-5.1-ZH,0.7385749220848083,5.5
B1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.8198749423027039,7.0
B1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8469265699386597,10.0
B1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.8235007524490356,10.0
B1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.86374831199646,9.0
B1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8660956621170044,9.0
B1,GPT-5.1-EN vs GPT-5.1-ZH,0.8802214860916138,12.0
B2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7191300392150879,9.0
B2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8548331260681152,10.0
B2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7986898422241211,10.0
B2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7877131700515747,10.0
B2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.858810305595398,10.0
B2,GPT-5.1-EN vs GPT-5.1-ZH,0.8264095783233643,11.0
B3,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.8515439033508301,8.5
B3,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.914636492729187,11.0
B3,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.8150657415390015,9.0
B3,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.8527369499206543,8.5
B3,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8691463470458984,6.5
B3,GPT-5.1-EN vs GPT-5.1-ZH,0.8122134208679199,9.0
C1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.6790022253990173,7.0
C1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8281450271606445,8.0
C1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.6283287405967712,7.0
C1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7039586305618286,8.0
C1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8628552556037903,7.0
C1,GPT-5.1-EN vs GPT-5.1-ZH,0.6561955809593201,8.0
C2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.8260361552238464,11.0
C2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8046778440475464,11.0
C2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7202924489974976,11.0
C2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7564214468002319,11.0
C2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.797478437423706,11.0
C2,GPT-5.1-EN vs GPT-5.1-ZH,0.8114110231399536,11.0
D1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.8069427013397217,10.0
D1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8122355937957764,11.0
D1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.6211292147636414,10.0
D1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7965258359909058,11.0
D1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.6617262959480286,10.0
D1,GPT-5.1-EN vs GPT-5.1-ZH,0.5690282583236694,11.0
D2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.6168445944786072,4.0
D2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8296927213668823,4.0
D2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.6103982329368591,4.0
D2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.6026036739349365,4.0
D2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.7720915675163269,4.0
D2,GPT-5.1-EN vs GPT-5.1-ZH,0.6663846373558044,4.0
D3,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.8148561716079712,4.0
D3,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8769205808639526,4.0
D3,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7263680696487427,4.0
D3,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7263286113739014,4.0
D3,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8185021877288818,4.0
D3,GPT-5.1-EN vs GPT-5.1-ZH,0.7043337821960449,4.0
