prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,Gemini-3.1-Pro,US,robustness,Chinese,傈僳族是什么？,**傈僳（lì sù）族**是中国和东南亚地区的一个跨国少数民族。在中国，它是55个少数民族,2026-05-06T17:26:32.885223
A1,A,Gemini-3.1-Pro,US,robustness,English,What are the Lisu people?,"flute), *subu* (lute).
        *   *Festivals:* *Ku Shi* (New Year) is the most important",2026-05-06T17:26:44.846673
A1,A,Qwen3.6-Max,China,robustness,Chinese,傈僳族是什么？,"**傈僳族**是中国官方认定的56个民族之一，属于少数民族，主要分布在中国西南及周边国家，拥有独特的语言、文化与历史传统。以下是其核心概况：

### 🌍 人口与分布
- **中国境内**：根据2020年第七次全国人口普查，傈僳族人口约**76万**。
- **主要聚居地**：以云南省**怒江傈僳族自治州**为核心，另在丽江、大理、楚雄、保山、迪庆及四川省凉山州等地有散居。
- **跨境分布**：缅甸、泰国、印度等国也有数十万傈僳族（境外多称“Lisu”），属跨境民族。

### 🗣️ 语言与文字
- **语言**：傈僳语属**汉藏语系·藏缅语族·彝语支**，分怒江、禄劝、永胜等方言，与彝语、拉祜语有一定亲缘关系。
- **文字**：
  - 历史上以刻木、结绳记事。
  - 20世纪初传教士创制**老傈僳文**（拉丁字母变体，又称“富能仁文”）。
  - 1957年中国政府设计**新傈僳文**（基于汉语拼音方案），现与汉字并行使用，多用于教育、出版与基层行政。

### 🎭 文化与习俗
- **节日**：
  - **阔时节**：傈僳语意为“新年”，农历十二月至正月举行，有祭祖、对歌、射弩、荡秋千、舂粑粑等习俗，是最隆重的传统节日。
  - **刀杆节**：农历二月初八，以“上刀山、下火海”仪式闻名，展现勇武与祈福精神（主要流行于腾冲、龙陵等地）。
- **歌舞音乐**：素有“会说话就会唱歌，会走路就会跳舞”之称。**多声部无伴奏合唱**（如“摆时”“优叶”“木刮”）被列入国家级非物质文化遗产；传统乐器有口弦、琵琶、竹笛、葫芦笙等。
- **服饰**：尚黑、蓝、白。女性多穿右衽短衣、百褶长裙，头戴珠串帽或刺绣包头，胸挂银饰；男子常着短衫、长裤，腰挎长刀、肩背弩弓，体现山地狩猎农耕文化。
- **信仰**：传统以自然崇拜、祖先崇拜与万物有灵为主；近代以来，部分群众（尤其怒江峡谷地区）改信基督教（新教），也有受藏传佛教或汉地民间信仰影响者，呈现多元并存格局。

### 📜 历史渊源
傈僳族先民可追溯至古代**氐羌族群**。唐宋文献称“施蛮”“顺蛮”，明清称“栗粟”。因战乱、人口压力与生计需求，历史上多次由川滇交界地带向南、向西迁徙，逐渐定居于横断山脉与怒江、澜沧江流域。1950年代中国开展民族识别工作后，正式定名为“傈僳族”。

### 🏙️ 现状与发展
- 已设立**怒江傈僳族自治州**（1954年）及多个民族乡，实行民族区域自治。
- 近年来通过脱贫攻坚、交通建设（如怒江美丽公路）、教育医疗提升，生产生活条件显著改善。
- 传统文化通过非遗保护、生态文旅、民族节庆等途径得到活态传承；傈僳语广播、双语教育、民族出版物持续发展。
- ",2026-05-06T17:28:09.364260
A1,A,Qwen3.6-Max,China,robustness,English,What are the Lisu people?,"The **Lisu** are a Tibeto-Burman ethnic group indigenous to the mountainous border regions of Southwest China, Myanmar, Thailand, and northeastern India. They are known for their vibrant cultural traditions, clan-based social organization, and historical adaptation to highland environments.

### 🌍 Geographic Distribution & Population
- **China**: ~700,000, primarily in Yunnan Province (Nujiang, Dehong, Dali, and Lijiang prefectures). Officially recognized as one of China's 56 ethnic groups.
- **Myanmar**: ~500,000–600,000, mainly in Kachin and Shan States.
- **Thailand**: ~50,000–60,000, concentrated in Chiang Mai, Chiang Rai, Mae Hong Son, and Tak provinces. Classified among the country's ""hill tribes"".
- **India**: A few thousand in Arunachal Pradesh, where they are recognized as a Scheduled Tribe in some districts.
*(Total population estimates range from 1.2 to 1.5 million; figures vary by source and census methodology.)*

### 🗣️ Language & Writing
- The **Lisu language** belongs to the Loloish (Yi) branch of the Tibeto-Burman language family.
- It has several mutually intelligible dialects. Historically oral, it now uses multiple writing systems:
  - **Fraser script**: A Latin-based alphabet created around 1915 by British missionary J.O. Fraser. Still widely used in churches and community literature.
  - **Chinese pinyin-based** and **Myanmar/Latin adaptations** are also used in education and publishing.
- Language vitality varies: stronger in rural and religious contexts, but facing pressure from dominant national languages.

### 🎭 Culture & Livelihood
- **Traditional economy**: Swidden (slash-and-burn) agriculture in highland zones, cultivating buckwheat, corn, millet, rice, and later cash crops like tea, fruits, and opium (historically, though largely eradicated or replaced).
- **Settlement**: Historically semi-nomadic; most communities are now permanently settled in villages of 50–300 households.
- **Clothing**: Highly distinctive. Women wear brightly embroidered tunics, pleated skirts, aprons, and silver ornaments; men traditionally wear dark jackets, trousers, and headcloths. Styles and colors can indicate clan or regional origin.
- **Music & Dance**: Central to social life. The Lisu are known for polyphonic singing, bamboo mouth organs, stringed instruments, and circle dances. Oral poetry and antiphonal singing are traditional art forms.
- **Festivals**: The most important is **Kuoshi** (Lisu New Year, usually in January or February), featuring feasting, dancing, crossbow contests, and rituals to honor ancestors and spirits.

### 👥 Social Structure & Religion
- **Kinship**: Organized around patrilineal clans (often 20–30 major clan names). Society is traditionally egalitarian, with leadership based on age, ability, and consensus rather than hereditary chiefs.
- **Traditional religion**: Animist and ancestor-focused, with shamans (`mopa` or `neupa`) mediating between humans and nature spirits. Rituals often involved animal sacrifice and divination.
- **Christianity**: From the early 20th century, Protestant missionaries (especially from the China Inland Mission and later Baptist groups) achieved significant conversions. Today, a large proportion of Lisu in China, Myanmar, and Thailand are Christian, and church networks play a major role in education, literacy, and community cohesion.
- Some communities also incorporate Buddhist or folk Chinese",2026-05-06T17:29:14.435018
A1,A,Claude-Sonnet,US,robustness,Chinese,傈僳族是什么？,"# 傈僳族

傈僳族（Lisu）是中国的一个**少数民族**，也是跨境民族。

## 基本情况

- **人口**：中国境内约有100余万人（根据2020年人口普查）
- **主要分布**：云南省怒江傈僳族自治州、维西县等地，以及四川省部分地区
- **跨境分布**：缅甸、泰国、印度等国也有傈僳族聚居

## 历史与起源

- 傈僳族历史悠久，与古代氐羌族群有渊源关系
- 长期居住在横断山脉一带，与山地环境密切相关

## 语言文字

- 使用**傈僳语**，属汉藏语系藏缅语族
- 19世纪末，西方传教士为傈僳族创制了**老傈僳文**（拉丁字母为基础）
- 后来也有官方推广的新傈僳文

## 文化特色

- 传统节日包括**阔时节**（新年）、刀杆节等
- 能歌善舞，口传文学丰富
- 传统服饰色彩鲜艳，女性常佩戴贝壳、珊瑚装饰

## 宗教信仰

- 传统上信仰**万物有灵**的原始宗教
- 受传教士影响，部分人信仰**基督教**

你对傈僳族哪方面最感兴趣？",2026-05-06T17:29:25.493606
A1,A,Claude-Sonnet,US,robustness,English,What are the Lisu people?,"The Lisu people are an ethnic group indigenous to the mountainous regions of Southeast Asia and Southwest China. Here are some key points about them:

## Location
- Found primarily in **Myanmar, China, Thailand, and India**
- In China, they live mainly in Yunnan Province
- Also present in smaller numbers in other countries

## Population
- Estimated at around **1-1.5 million people** total across all countries

## Language
- Speak **Lisu**, a Tibeto-Burman language
- Have their own script, developed in the early 20th century by missionaries

## Culture and Society
- Traditionally practiced **animism**, though many have converted to Christianity through missionary work in the 20th century
- Known for their distinctive **colorful traditional clothing**, especially among women
- Historically lived in highland villages and practiced **slash-and-burn agriculture**
- Also engaged in hunting, gathering, and animal husbandry

## History
- Believed to have originated in the **Tibetan Plateau** region
- Migrated southward over centuries
- Experienced significant missionary contact in the early 1900s, which transformed many communities

## Recognition
- Recognized as one of China's **56 official ethnic minorities**
- Also recognized as an ethnic group in Thailand and Myanmar

They are considered part of the broader family of **Lolo-Burmese peoples** in the region.",2026-05-06T17:29:34.772343
A2,A,Gemini-3.1-Pro,US,robustness,Chinese,傈僳文（老傈僳文/Fraser字母）是谁发明的？,"). He also devised a system for tones using punctuation marks.

    *   *Naming Convention:* Because Fraser finalized it, translated the Bible",2026-05-06T17:29:45.704841
A2,A,Gemini-3.1-Pro,US,robustness,English,Who invented the Fraser script (Old Lisu script)?,"The Fraser script (also known as the Old Lisu script) was invented by the British Protestant missionary **James Outram Fraser**, with crucial early contributions from **Sara Ba Thaw**, a Karen missionary. 

Here is a brief breakdown of how it was developed:

*   **Sara Ba Thaw:** A Karen missionary working in Myanmar (Burma), Ba Thaw first began the process of creating a writing system for the Lisu language using Latin characters around 1914.
*   **James O. Fraser:** Fraser, an engineer turned missionary working in China with the China Inland Mission, took Ba Thaw's foundational work and significantly refined, expanded, and standardized it around **1915**. Fraser is given primary credit because he perfected the system into a highly functional alphabet that accurately captured the phonetics and tones of the Lisu language.

**About the Script:**
Fraser cleverly",2026-05-06T17:29:55.761306
A2,A,Qwen3.6-Max,China,robustness,Chinese,傈僳文（老傈僳文/Fraser字母）是谁发明的？,"老傈僳文（又称 **Fraser字母**）是由英国海外基督使团（原中国内地会）传教士**富能仁**（James O. Fraser，1886–1938）于20世纪初（约1915–1920年）在云南怒江傈僳族地区创制的。

### 关键背景与细节：
1. **创制动机**：富能仁为翻译《圣经》、开展识字教育及传教工作，决定为当时无统一文字的傈僳语设计一套拼音文字。
2. **文字特点**：以拉丁大写字母为基础，通过**正写、倒写、左右翻转**等方式区分元音与辅音，并在字母右侧添加小符号表示声调。全表仅用30个左右字母即可拼写傈僳语，结构简洁、易学易用。
3. **合作性质**：虽然以富能仁为主导并以其姓氏命名（Fraser script），但实际创制过程中有**多位傈僳族本土助手与早期信徒**深度参与，提供了语音分析、试拼验证和民间推广，属于跨语言文化合作的成果。
4. **传播与现状**：该文字随基督教传播迅速在滇西北、川西南及缅甸克钦邦的傈僳族中普及。至今仍广泛用于宗教文献、民间通信、歌本及地方出版。1992年，中国政府正式承认老傈僳文为傈僳族传统文字之一，与1950年代国家主导创制的“新傈僳文”（拉丁化方案）并行使用。

如需了解该文字的字母表结构、与新傈僳文的对比，或富能仁在滇西北的语言田野工作细节，可进一步提供。",2026-05-06T17:30:44.312342
A2,A,Qwen3.6-Max,China,robustness,English,Who invented the Fraser script (Old Lisu script)?,"The **Fraser script**, also known as the **Old Lisu script**, was invented by **James O. Fraser** (1886–1938), a British Protestant missionary with the China Inland Mission. 

He developed the writing system around **1915–1918** while living among the Lisu people in northwestern Yunnan Province, China. His primary goal was to translate the Bible and Christian literature into the Lisu language, which previously had no widely used written form.

Fraser designed the script with significant input from Lisu speakers and a Karen evangelist named **Sara Ba Thaw**, who helped adapt phonetic concepts to the language's tonal structure. The script uses modified, rotated, or inverted uppercase Latin letters to represent consonants and vowels, with diacritics or punctuation-like marks added later to indicate tones.

Despite being over a century old, the Fraser script remains in active use today, particularly among Lisu Christian communities in China, Myanmar, Thailand, and India. It was officially encoded in the **Unicode Standard** (version 5.2) in 2009, ensuring its digital preservation and modern usability.",2026-05-06T17:31:12.877758
