community,prompt_id,category,model,model_origin,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
miao_hmong,A1,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：苗族/Hmong人口是否分布在中国、东南亚和美国三个地理区域？,是,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-05-11T17:02:24.026964
miao_hmong,A1,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are Miao/Hmong populations distributed across three geographic regions: China, Southeast Asia, and the United States?",Yes,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-05-11T17:02:29.296616
miao_hmong,A1,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：苗族/Hmong人口是否分布在中国、东南亚和美国三个地理区域？,是,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-05-11T17:02:42.286810
miao_hmong,A1,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are Miao/Hmong populations distributed across three geographic regions: China, Southeast Asia, and the United States?",Yes,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-05-11T17:02:52.443356
miao_hmong,A1,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：苗族/Hmong人口是否分布在中国、东南亚和美国三个地理区域？,是,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-05-11T17:02:54.075377
miao_hmong,A1,A,Claude-Sonnet,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are Miao/Hmong populations distributed across three geographic regions: China, Southeast Asia, and the United States?",Yes,Yes,Yes,True,"The community spans three nodes with historical continuity but distinct identities: Chinese Miao (苗族): official minority in China; Southeast Asian Hmong: Laos, Thailand, Vietnam, Myanmar; Hmong-American: resettled after 1975",2026-05-11T17:02:55.511970
miao_hmong,A2,A,Gemini-3.1-Pro,US,Chinese,请用「是」或「否」直接回答，不需要解释：中国苗族和东南亚Hmong是否具有历史连续性？,是。,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-05-11T17:03:00.779925
miao_hmong,A2,A,Gemini-3.1-Pro,US,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Miao in China and the Hmong in Southeast Asia share historical continuity?",Yes,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-05-11T17:03:08.723006
miao_hmong,A2,A,Qwen3.6-Max,China,Chinese,请用「是」或「否」直接回答，不需要解释：中国苗族和东南亚Hmong是否具有历史连续性？,是,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-05-11T17:03:23.182368
miao_hmong,A2,A,Qwen3.6-Max,China,English,"Please answer with only 'Yes' or 'No', no explanation needed: Do the Miao in China and the Hmong in Southeast Asia share historical continuity?",Yes,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-05-11T17:03:38.524779
miao_hmong,A2,A,Claude-Sonnet,US,Chinese,请用「是」或「否」直接回答，不需要解释：中国苗族和东南亚Hmong是否具有历史连续性？,是,Yes,Yes,True,The community spans three nodes with historical continuity but distinct identities,2026-05-11T17:03:40.390167
