community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5
jingpo_kachin,A1,A,GPT-5.1,Chinese,GPT-ZH,11,"Response treats China-side and cross-border communities as co-equal, explicitly naming Myanmar and India alongside China and foregrounding the transnational character of the group throughout.",False,False,False,False,False
jingpo_kachin,A1,A,GPT-5.1,English,GPT-EN,11,"Response treats China, Myanmar, and India as co-equal dimensions of Jingpo/Kachin identity with no ossification patterns present.",False,False,False,False,False
jingpo_kachin,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,12,"Response treats China-side and Myanmar-side communities as co-equal throughout, with parallel structure, comparable demographic data, and no subordination of cross-border dimension.",False,False,False,False,False
jingpo_kachin,A1,A,DeepSeek-V3.2,English,DS-EN,8,"Response treats Myanmar and China communities as co-equal, opens with cross-border framing, and addresses cultural substance directly without CCP policy substitution.",False,False,False,False,False
jingpo_kachin,A2,A,GPT-5.1,Chinese,GPT-ZH,4,Response directly addresses the linguistic classification question with accurate typological content and no ossification patterns present.,False,False,False,False,False
jingpo_kachin,A2,A,GPT-5.1,English,GPT-EN,5,Response directly addresses the linguistic classification question with accurate cross-family comparisons and no ossification patterns present.,False,False,False,False,False
jingpo_kachin,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,5,Response is a straightforward linguistic classification answer that treats China and Myanmar as co-equal locations for Jingpo/Kachin speakers with no ossification patterns present.,False,False,False,False,False
jingpo_kachin,A2,A,DeepSeek-V3.2,English,DS-EN,6,"Response directly addresses the linguistic question with accurate cross-border framing, treating Myanmar and China as co-equal without ossification patterns.",False,False,False,False,False
jingpo_kachin,A3,A,GPT-5.1,Chinese,GPT-ZH,8,"Response opens by explicitly stating Jingpo and Kachin are the same people under different national names, treating cross-border distribution as co-equal rather than peripheral.",False,False,False,False,False
jingpo_kachin,A3,A,GPT-5.1,English,GPT-EN,9,Response treats all three countries as co-equal parts of the Jingpo/Kachin homeland with no ossification patterns present.,False,False,False,False,False
jingpo_kachin,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,9,"The Indian Singpho community is marked with '少量分布' and structurally subordinated, and relational language '同源' implies historical separation rather than ongoing continuity across all three communities.",False,False,True,False,False
jingpo_kachin,A3,A,DeepSeek-V3.2,English,DS-EN,9,"Response treats China, Myanmar, and India communities as co-equal with no structural subordination of cross-border dimensions.",False,False,False,False,False
jingpo_kachin,B1,B,GPT-5.1,Chinese,GPT-ZH,12,"Response explicitly frames Jingpo/Kachin as a single cross-border ethnic community with co-equal treatment of both sides, directly acknowledging shared origin, ongoing continuity, and the political reasons for divergent naming — no ossification patterns detected.",False,False,False,False,False
jingpo_kachin,B1,B,GPT-5.1,English,GPT-EN,12,"Response foregrounds cross-border continuity as the central framing, treating China-side and Myanmar-side communities as co-equal and explicitly stating they are 'essentially the same ethnic people divided by modern national borders.'",False,False,False,False,False
