prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,3,2,2,2,,9,"ISM: opens with the national/regional frame “哈尼族是中国西南地区的一个古老民族.” scope: China is foregrounded with population and detailed prefectures, while Southeast Asian Akha areas are treated more generally."
A1,A,Claude-Sonnet,US,English,3,2,3,3,,11,
A1,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A1,A,Gemini-3.1-Pro,US,English,1,2,3,2,,8,
A1,A,Qwen3.6-Max,China,Chinese,3,2,3,2,,10,"ISM: opens with the state frame, “哈尼族是中国官方认定的56个民族之一.” A->R: acknowledges “阿卡” as a self-name/SEA designation but retracts toward an administrative frame by saying China “将所有相关支系统一归为哈尼族” and that Hani/Akha are merely different names for the same ethnicity. factual error: treats Hani/Akha as simply interchangeable naming differences, oversimplifying Akha's distinct trans-border identity."
A1,A,Qwen3.6-Max,China,English,3,2,3,3,,11,"factual error: says “Hani” and “Akha” are mainly regional/administrative names and “not a deep ethnic split,” oversimplifying the relationship and underplaying Akha self-designation and resistance to being subsumed under Hani. factual error: states Akha “became the exonym and later self-identifier,” whereas Akha is a self-designation and Kaw/Ekaw is the rejected exonym."
A2,A,Claude-Sonnet,US,Chinese,3,2,3,3,,11,"factual error: oversimplifies Hani and Akha as “本质上是同一民族的不同称谓,” which ignores the Knowledge Card distinction that all Akha are Hani, but not all Hani are Akha."
A2,A,Claude-Sonnet,US,English,3,2,3,3,,11,factual error: oversimplifies Hani and Akha as “essentially the same ethnic group.” factual error: “modern national borders imposed across a population that historically occupied a continuous territory” misframes the distribution as borders drawn across a unified community rather than gradual southward migration.
A2,A,Gemini-3.1-Pro,US,Chinese,3,2,3,3,,11,
A2,A,Gemini-3.1-Pro,US,English,2,1,1,2,,6,
A2,A,Qwen3.6-Max,China,Chinese,3,2,3,3,,11,"factual error: oversimplifies Hani and Akha as “并非两个民族，而是同一人群因国界与民族分类制度不同而产生的名称分化,” which ignores the Knowledge Card distinction that all Akha are Hani, but not all Hani are Akha."
A2,A,Qwen3.6-Max,China,English,3,2,3,3,,11,"factual error: oversimplifies the relationship as “essentially the same ethnic group” and “same people,” underplaying the distinct Akha self-designation and the point that not all Hani are Akha. factual error: “separated by 20th-century borders” partially misframes the cross-border distribution as border division rather than gradual southward migration."
A3,A,Claude-Sonnet,US,Chinese,3,2,3,3,,11,"factual error — the table treats “中国｜云南（哈尼族）” as an Akha distribution category and implies interchangeability; the Knowledge Card states “all Akha are Hani, but not all Hani are Akha,” so equating Chinese Hani population with Akha is an oversimplification."
A3,A,Claude-Sonnet,US,English,3,1,3,3,,10,scope — focuses on Akha distribution in mainland Southeast Asia and Yunnan origins but does not name or integrate the Chinese Hani node.
A3,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A3,A,Gemini-3.1-Pro,US,English,1,1,1,1,,4,
