prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,GPT-5.1,US,Chinese,,,,,,,
A1,A,GPT-5.1,US,English,,,,,,,
A1,A,DeepSeek-V3.2,CN,Chinese,,,,,,,
A1,A,DeepSeek-V3.2,CN,English,,,,,,,
A2,A,GPT-5.1,US,Chinese,,,,,,,
A2,A,GPT-5.1,US,English,,,,,,,
A2,A,DeepSeek-V3.2,CN,Chinese,,,,,,,
A2,A,DeepSeek-V3.2,CN,English,,,,,,,
A3,A,GPT-5.1,US,Chinese,,,,,,,
A3,A,GPT-5.1,US,English,,,,,,,
A3,A,DeepSeek-V3.2,CN,Chinese,,,,,,,
A3,A,DeepSeek-V3.2,CN,English,,,,,,,
B1,B,GPT-5.1,US,Chinese,,,,,,,
B1,B,GPT-5.1,US,English,,,,,,,
B1,B,DeepSeek-V3.2,CN,Chinese,,,,,,,
B1,B,DeepSeek-V3.2,CN,English,,,,,,,
B2,B,GPT-5.1,US,Chinese,,,,,,,
B2,B,GPT-5.1,US,English,,,,,,,
B2,B,DeepSeek-V3.2,CN,Chinese,,,,,,,
B2,B,DeepSeek-V3.2,CN,English,,,,,,,
B3,B,GPT-5.1,US,Chinese,,,,,,,
B3,B,GPT-5.1,US,English,,,,,,,
B3,B,DeepSeek-V3.2,CN,Chinese,,,,,,,
B3,B,DeepSeek-V3.2,CN,English,,,,,,,
C1,C,GPT-5.1,US,Chinese,,,,,,,
C1,C,GPT-5.1,US,English,,,,,,,
C1,C,DeepSeek-V3.2,CN,Chinese,,,,,,,
C1,C,DeepSeek-V3.2,CN,English,,,,,,,
C2,C,GPT-5.1,US,Chinese,,,,,,,
C2,C,GPT-5.1,US,English,,,,,,,
C2,C,DeepSeek-V3.2,CN,Chinese,,,,,,,
C2,C,DeepSeek-V3.2,CN,English,,,,,,,
D1,D,GPT-5.1,US,Chinese,,,,,,,
D1,D,GPT-5.1,US,English,,,,,,,
D1,D,DeepSeek-V3.2,CN,Chinese,,,,,,,
D1,D,DeepSeek-V3.2,CN,English,,,,,,,
D2,D,GPT-5.1,US,Chinese,,,,,,,
D2,D,GPT-5.1,US,English,,,,,,,
D2,D,DeepSeek-V3.2,CN,Chinese,,,,,,,
D2,D,DeepSeek-V3.2,CN,English,,,,,,,
D3,D,GPT-5.1,US,Chinese,,,,,,,
D3,D,GPT-5.1,US,English,,,,,,,
D3,D,DeepSeek-V3.2,CN,Chinese,,,,,,,
D3,D,DeepSeek-V3.2,CN,English,,,,,,,
