prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,GPT-5.1,US,frontier,Chinese,景颇族（克钦族）是什么？,"景颇族（也常被称为克钦族）是中国境内的一个少数民族，也是跨国民族群体的一部分，主要分布在中国云南省与缅甸、印度交界一带。

简要概况如下：

1. **名称与分布**  
   - 中国称：景颇族  
   - 缅甸等地常称：克钦（Kachin）  
   - 中国主要分布在云南省西部和西北部，尤其是德宏傣族景颇族自治州、怒江州等，与缅甸北部克钦邦、印度东北部部分地区的克钦人同源同族。

2. **族源与语言**  
   - 属于古代氐羌系统后裔的一支，长期在横断山脉、怒江—伊洛瓦底江流域一带生活。  
   - 语言属汉藏语系藏缅语族，内部有好几种方言或支系，如景颇话、载瓦话等。中国境内一般通称为“景颇语”。

3. **社会与文化特点**  
   - 传统社会多以氏族、村社为单位，有较强的家族观念。  
   - 居民传统多住山地，房屋多为干栏式竹楼或木楼。  
   - 服饰色彩鲜明，尤其女子喜欢绣花、佩戴银饰；男子传统上有佩刀、枪支的武士文化印记。  
   - 有丰富的口头传统：神话、史诗、歌舞等，例如著名的“目瑙纵歌”节庆歌舞。

4. **宗教信仰**  
   - 传统信仰为多神崇拜、自然崇拜和祖先崇拜，有祭山、祭水等仪式。  
   - 近代以来，部分景颇/克钦人受到基督教影响，特别是在缅甸克钦邦，基督教（尤其是新教）相当普及；中国境内则传统信仰与多种宗教共存。

5. **跨国民族特征**  
   - 同一民族群体被不同国家划分为“景颇族”“克钦族”等不同官方称呼，但在语言、文化、习俗上具有高度相似性。  
   - 这种跨国性也使他们在中缅印边境地区的历史、政治与社会关系中具有特殊地位。

如果你想了解更细一点，比如节日“目瑙节”的具体内容、传统服饰特点，或是他们在缅甸克钦邦的现状，我可以再展开。",2026-04-07T04:35:22.087083
A1,A,GPT-5.1,US,frontier,English,What are the Jingpo (Kachin) people?,"The Jingpo (also known in Myanmar as Kachin) are an ethnic group native to the mountainous border region where China, Myanmar (Burma), and India meet.

Key points:

- **Name and identities**
  - **“Jingpo”** (景颇) is the term commonly used in China.
  - **“Kachin”** is the term widely used in Myanmar and in English.
  - In India (especially in Arunachal Pradesh and parts of Assam), closely related groups are often classified under various names (e.g., Singhpo/Singpho).

- **Location**
  - **China:** Primarily in western Yunnan Province, especially Dehong Dai and Jingpo Autonomous Prefecture.
  - **Myanmar:** Concentrated in **Kachin State** and northern areas of Sagaing Region.
  - **India:** Smaller populations in northeastern India along the border with Myanmar.

- **Language**
  - They speak the **Jingpo language**, a Tibeto-Burman language.
  - There are multiple dialects; in Myanmar, “Kachin” often refers more broadly to a cluster of related ethnic groups and languages (Jingpo proper plus others like Rawang, Lisu, etc., in some classifications).

- **Culture and society**
  - Traditionally organized in **clan-based** and **village-based** social structures.
  - Historically practiced **shifting (swidden) agriculture**, hunting, and gathering.
  - Rich traditions of **oral literature**, **epic songs**, and **dance** (e.g., Manau dance performed at large festivals).
  - Customary law and clan leaders (duwa and others) have been important in local governance.

- **Religion**
  - Traditionally followed **animist** and **ancestor-veneration** beliefs.
  - Since the late 19th–20th century, **Christianity**, especially Baptist and other Protestant denominations, has become very prominent, particularly among Kachin in Myanmar.
  - Some Jingpo in China maintain traditional beliefs or practice Buddhism or Christianity.

- **Political and historical context**
  - In Myanmar, “Kachin” is not only an ethnic label but also tied to **Kachin State** and Kachin political organizations.
  - Kachin groups have been heavily involved in **ethnic politics and armed conflicts** in northern Myanmar, seeking greater autonomy and protection of local rights and resources.
  - In China, Jingpo are officially recognized as one of the **55 recognized ethnic minorities**, with some regional autonomy and cultural recognition.

In summary, the Jingpo/Kachin are a transborder highland people with their own language, distinct culture, and significant roles in the politics and history of northern Myanmar and southwest China.",2026-04-07T04:35:28.183262
A1,A,DeepSeek-V3.2,China,frontier,Chinese,景颇族（克钦族）是什么？,"景颇族（克钦族）是中国和缅甸跨境分布的一个少数民族，具有独特的语言、文化和历史背景。以下是关于该民族的详细介绍：

---

### **1. 族称与分布**
- **中国境内**：称为**景颇族**，主要聚居在云南省德宏傣族景颇族自治州（如芒市、陇川、盈江等地），人口约16万（2020年数据）。
- **缅甸境内**：称为**克钦族**（Kachin），主要分布在克钦邦、掸邦北部，人口约100万，是缅甸第六大民族。

---

### **2. 语言与文字**
- **语言**：属汉藏语系藏缅语族的景颇语支，分为景颇（Jinghpaw）、载瓦（Zaiwa）、浪速（Maru）等方言，彼此差异较大。
- **文字**：19世纪末西方传教士创制拉丁字母景颇文（缅甸克钦族多用）；中国景颇族使用改进后的拼音文字。

---

### **3. 历史渊源**
- **起源**：普遍认为源自青藏高原东部，南迁至滇西及缅甸北部。
- **中国**：唐代文献中的“寻传蛮”可能为其先民，明清时期称“山头人”。
- **缅甸**：英国殖民时期被划入克钦山区，二战后克钦独立军（KIA）与缅甸政府长期冲突。

---

### **4. 传统文化**
- **宗教信仰**：
  - 传统信仰为万物有灵的“鬼灵崇拜”，祭祀活动（如“目瑙纵歌”）为核心。
  - 近代部分改信基督教（尤其缅甸克钦族）。
- **节日**：
  - **目瑙纵歌**：最盛大的节日，万人集体歌舞，象征民族团结（中国列为国家级非遗）。
- **服饰**：色彩鲜艳，女性戴银饰、织锦筒裙，男性佩长刀（象征勇敢）。
- **民居**：竹木结构的干栏式房屋，屋顶呈倒梯形。

---

### **5. 社会与经济**
- **传统制度**：曾实行山官制（头人统治），20世纪中叶后逐渐废除。
- **生计方式**：中国景颇族以农业（水稻、甘蔗）为主，缅甸克钦族部分依赖玉石开采（克钦邦盛产翡翠）。

---

### **6. 跨境民族问题**
- **缅甸克钦冲突**：克钦独立军（KIA）与缅甸政府军长期对峙，涉及自治权、资源分配等问题，影响边境稳定。
- **中国景颇族**：政策上享有民族自治权益，文化保护较好，与缅甸克钦族保持亲属联系。

---

### **7. 重要区别**
- **中缅差异**：中国景颇族文化受傣族、汉族影响更深；缅甸克钦族因基督教化和战争，身份认同更政治化。

---

如需深入了解某一方面（如目瑙纵歌的仪式细节、克钦独立运动等），可进一步探讨！",2026-04-07T04:35:47.886019
A1,A,DeepSeek-V3.2,China,frontier,English,What are the Jingpo (Kachin) people?,"The Jingpo people, also known as the Kachin, are an ethnic group primarily residing in northern Myanmar (Burma) and the Yunnan Province of China. They are one of the major ethnic groups in the Kachin State of Myanmar and are known for their distinct culture, language, and traditions.

### Key Characteristics of the Jingpo (Kachin) People:

1. **Language**:  
   The Jingpo language belongs to the Tibeto-Burman branch of the Sino-Tibetan language family. There are several dialects spoken among the Jingpo subgroups.

2. **Religion**:  
   Traditionally, the Jingpo practiced animism, worshiping spirits and nature. Today, many have converted to Christianity, particularly Protestantism, due to missionary activities in the region. A smaller number follow Buddhism or maintain traditional beliefs.

3. **Culture**:  
   Jingpo culture is rich in music, dance, and festivals. The *Manau Festival* is one of their most important celebrations, featuring traditional dances around decorated poles.  
   Their traditional clothing is colorful and distinctive, often adorned with intricate patterns and silver ornaments.

4. **Society**:  
   The Jingpo traditionally lived in villages governed by a chieftain or council of elders. They practice slash-and-burn agriculture and grow crops like rice, maize, and tea.  

5. **History**:  
   The Jingpo are believed to have migrated from the Tibetan plateau centuries ago. They have a strong sense of identity and have fought for autonomy in Myanmar, particularly through the Kachin Independence Army (KIA).

6. **Geography**:  
   In China, the Jingpo are recognized as one of the 56 ethnic groups and mainly live in Dehong Dai and Jingpo Autonomous Prefecture in Yunnan.  

The Jingpo people face challenges related to cultural preservation, political conflict, and socio-economic development, particularly in Myanmar due to ongoing tensions between the Kachin Independence Organization (KIO) and the central government. Nevertheless, they continue to maintain their rich heritage and identity.",2026-04-07T04:36:11.158491
A2,A,GPT-5.1,US,frontier,Chinese,景颇语属于哪个语言家族？它和傣语、德昂语是同一语系吗？,"景颇语（Jingpo）属于**汉藏语系（或称藏缅语族）**中的一个支系，一般归入**景颇语支 / 克钦语支（Jingpo/Kachin branch）**。

与傣语、德昂语的关系如下：

1. **傣语（Tai/Dai）**  
   - 归属：**台－卡岱语系（Tai-Kadai）**  
   - 不属于汉藏语系。  
   - 因为地理上邻近和长期接触，和景颇语之间有不少词汇借用，但**系属上并非同一语系**。

2. **德昂语（De’ang / Palaung）**  
   - 归属：**南亚语系（Austroasiatic）中的孟高棉语族（Mon-Khmer），具体为佤－德昂支**。  
   - 同样**不属于汉藏语系**，因此也和景颇语不是同一语系。

总结：  
- 景颇语：汉藏语系（景颇/克钦支）  
- 傣语：台－卡岱语系  
- 德昂语：南亚语系（孟高棉语族）  

所以，**景颇语和傣语、德昂语不属于同一语系，只是同一地区的不同语系语言。**",2026-04-07T04:36:16.012628
A2,A,GPT-5.1,US,frontier,English,What language family does the Jinghpaw language belong to? Is it in the same language family as Dai and De'ang (Palaung)?,"Jinghpaw (also spelled Jingpho, Kachin) belongs to the **Sino-Tibetan** language family, more specifically to the **Tibeto-Burman** branch. Within Tibeto-Burman it is usually classified in the **Sal / Jingpho-Luish** group.

Dai and De’ang (Palaung) are **not** in the same immediate branch:

- **Dai** (e.g., Tai Lü, Shan, etc.) belongs to the **Tai-Kadai** (Kra-Dai) language family, not Sino-Tibetan.
- **De’ang (Palaung)** belongs to the **Austroasiatic** language family, specifically the **Palaungic** branch (related to Mon and Khmer).

So:
- Jinghpaw: Sino-Tibetan → Tibeto-Burman → Sal/Jingpho-Luish  
- Dai: Tai-Kadai family  
- De’ang (Palaung): Austroasiatic → Palaungic  

They are three different language families and are not closely related.",2026-04-07T04:36:19.259258
A2,A,DeepSeek-V3.2,China,frontier,Chinese,景颇语属于哪个语言家族？它和傣语、德昂语是同一语系吗？,"景颇语属于汉藏语系藏缅语族下的语言之一，具体来说，它属于藏缅语族中的景颇语支。景颇语主要在中国云南省和缅甸北部的景颇族（克钦族）中使用。

傣语和德昂语同样属于汉藏语系，但它们属于不同的语族或语支。傣语属于侗台语族傣语支，而德昂语则属于孟高棉语族。尽管它们都属于汉藏语系，但它们在语言结构和词汇上有显著差异，因此不属于同一语族或语支。

总结来说：
- **景颇语**：汉藏语系 > 藏缅语族 > 景颇语支
- **傣语**：汉藏语系 > 侗台语族 > 傣语支
- **德昂语**：汉藏语系 > 孟高棉语族

它们都属于汉藏语系，但不属于同一语族或语支。",2026-04-07T04:36:33.641196
A2,A,DeepSeek-V3.2,China,frontier,English,What language family does the Jinghpaw language belong to? Is it in the same language family as Dai and De'ang (Palaung)?,"The **Jinghpaw language** (also spelled Jingpo or Kachin) belongs to the **Tibeto-Burman language family**, which is a major branch of the **Sino-Tibetan** language family. Jinghpaw is primarily spoken by the Jingpo people in Myanmar and parts of China (notably in Yunnan Province).

On the other hand, **Dai** (also known as Tai) and **De'ang** (Palaung) languages belong to different language families:
- **Dai** (Tai) languages are part of the **Tai-Kadai** language family, which is distinct from Sino-Tibetan.
- **De'ang** (Palaung) languages are part of the **Austroasiatic** language family.

Thus, Jinghpaw is **not** in the same language family as Dai or De'ang. While Jinghpaw is Tibeto-Burman, Dai is Tai-Kadai, and De'ang is Austroasiatic.",2026-04-07T04:36:46.965965
A3,A,GPT-5.1,US,frontier,Chinese,景颇族/克钦族主要生活在哪里？,"景颇族（在中国）与克钦族（在缅甸等地）其实是同一民族在不同国家的称呼。

主要分布如下：

1. **中国境内（称“景颇族”）**  
   - 主要在：**云南省德宏傣族景颇族自治州**  
     - 尤其是：**陇川县、盈江县、芒市、瑞丽市、梁河县**  
   - 另外少量分布在：怒江州、保山市等地的部分乡镇。

2. **缅甸境内（多称“克钦族”/Kachin）**  
   - 主要在：**缅甸北部克钦邦**  
   - 也分布在：**实皆省北部**等地。

3. **其他国家**  
   - 少量分布在：**印度东北部（阿鲁纳恰尔邦等地）**、**泰国北部**等，通常也归类为克钦族/景颇族相关族群。",2026-04-07T04:36:50.660349
A3,A,GPT-5.1,US,frontier,English,Where do the Jingpo/Kachin people primarily live?,"The Jingpo (also called Kachin in Myanmar) primarily live in:

- **Northern Myanmar (Burma)** – especially in **Kachin State** and parts of northern Shan State  
- **Southwestern China** – mainly in **Yunnan Province**, where they are officially recognized as the Jingpo ethnic group  
- **Northeastern India** – small communities in **Arunachal Pradesh** and adjacent areas  

Their main historical homeland is the mountainous border region where Myanmar, China, and India meet.",2026-04-07T04:36:53.045966
