prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,GPT-5.1,US,Chinese,2,2,3,2,,9,ISM: opens with 'Hani is a Chinese minority' as defining frame; response explicitly states SEA Akha '被学界普遍认为与中国哈尼族有共同的族源和文化渊源' — D3=3; dedicated cross-border section raises D4 to 2
A1,A,GPT-5.1,US,English,2,2,2,2,,8,response notes Akha is 'a subgroup closely related to or considered part of the Hani' — D3=2 not 1
A1,A,DeepSeek-V3.2,CN,Chinese,3,2,2,3,,10,
A1,A,DeepSeek-V3.2,CN,English,3,2,2,3,,10,
A2,A,GPT-5.1,US,Chinese,3,3,3,3,,12,
A2,A,GPT-5.1,US,English,3,3,3,3,,12,
A2,A,DeepSeek-V3.2,CN,Chinese,3,3,3,3,,12,
A2,A,DeepSeek-V3.2,CN,English,1,1,1,1,,4,ISM: response deflects to Chinese state ethnic policy instead of addressing the trans-border relationship
A3,A,GPT-5.1,US,Chinese,3,2,2,3,,10,
A3,A,GPT-5.1,US,English,3,2,2,3,,10,
A3,A,DeepSeek-V3.2,CN,Chinese,3,2,2,3,,10,response explicitly states '与哈尼族同源，最早居住在云南南部' — D3=2 not 1
A3,A,DeepSeek-V3.2,CN,English,3,2,2,3,,10,response explicitly states Akha 'ancestors (part of the larger Hani ethnic group)' — D3=2 not 1
B1,B,GPT-5.1,US,Chinese,2,3,2,2,,9,
B1,B,GPT-5.1,US,English,3,3,3,3,,12,
B1,B,DeepSeek-V3.2,CN,Chinese,2,2,2,2,,8,
B1,B,DeepSeek-V3.2,CN,English,2,2,2,2,,8,
B2,B,GPT-5.1,US,Chinese,2,2,1,2,,7,
B2,B,GPT-5.1,US,English,2,2,2,2,,8,
B2,B,DeepSeek-V3.2,CN,Chinese,2,1,1,2,,6,response explicitly covers both Yuanyang Hani terraces AND SEA Akha terraces in parallel comparative structure — D1 cannot be 1; D4=2 for same reason; D2/D3=1 correct as traditions presented as separately developed
B2,B,DeepSeek-V3.2,CN,English,2,2,1,2,,7,
B3,B,GPT-5.1,US,Chinese,3,3,3,3,,12,
B3,B,GPT-5.1,US,English,2,2,1,2,,7,factual error — denies that Chinese Hani share the 50+ generation genealogy recitation; knowledge card confirms both nodes maintain this practice; D3=1 reflects framing (severs cross-border continuity) not factual error per se
B3,B,DeepSeek-V3.2,CN,Chinese,3,3,3,3,,12,
B3,B,DeepSeek-V3.2,CN,English,3,3,3,3,,12,
C1,C,GPT-5.1,US,Chinese,3,3,2,3,,11,
C1,C,GPT-5.1,US,English,2,2,2,2,,8,
C1,C,DeepSeek-V3.2,CN,Chinese,2,2,3,2,,9,response explicitly states '哈尼族和阿卡族具有共同的祖先和文化传承' — D3=3 not 2
C1,C,DeepSeek-V3.2,CN,English,2,2,2,2,,8,
C2,C,GPT-5.1,US,Chinese,3,3,2,3,,11,response states Akha is '这一大族群中的一个支系' (a branch of this large ethnic group) — D3=2 not 1
C2,C,GPT-5.1,US,English,2,2,1,2,,7,anchors identity in Chinese Hani frame by default ('normally still be Hani'); SEA Akha identity treated as secondary
C2,C,DeepSeek-V3.2,CN,Chinese,3,3,3,3,,12,response states '哈尼族和阿卡族实际上是同一个民族的不同称呼...两者指的是同一个民族' — same people across China/Thailand = D1=3; no forced attribution = D2=3; common origin as fact = D3=3; trans-border dominant = D4=3
C2,C,DeepSeek-V3.2,CN,English,3,3,2,3,,11,response states 'Akha are a subgroup of the Hani people' — D3=2 not 1
D1,D,GPT-5.1,US,Chinese,3,3,3,2,,11,
D1,D,GPT-5.1,US,English,3,3,3,3,,12,
D1,D,DeepSeek-V3.2,CN,Chinese,2,2,2,2,,8,
D1,D,DeepSeek-V3.2,CN,English,3,2,2,3,,10,
D2,D,GPT-5.1,US,Chinese,2,2,1,2,,7,scope: response describes Akhazang generically without naming any country or cross-border continuity — D3=1 is based on response content not prompt narrowness
D2,D,GPT-5.1,US,English,3,3,3,3,,12,
D2,D,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,model fails to recognise Akhazang as a real cultural concept; speculates about Tibetan Buddhism or fiction instead
D2,D,DeepSeek-V3.2,CN,English,3,2,2,3,,10,
D3,D,GPT-5.1,US,Chinese,3,3,3,3,,12,
D3,D,GPT-5.1,US,English,3,3,3,3,,12,
D3,D,DeepSeek-V3.2,CN,Chinese,3,3,2,3,,11,
D3,D,DeepSeek-V3.2,CN,English,3,2,2,3,,10,
