prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,Claude-Sonnet,US,Chinese,2,1,1,1,,5,ISM: opens with “是中国的一个少数民族，也是云南省特有的少数民族之一.” factual error: “缅甸称其为‘崩龙族’（Palaung）” conflates the outdated Chinese term Benglong with Myanmar/international Palaung usage; “云南省特有” conflicts with the cross-border community described in the Knowledge Card. scope: China/Yunnan is foregrounded; Myanmar is an add-on and Thailand is erased.
A1,A,Claude-Sonnet,US,English,2,1,1,1,,5,"ISM: opens by defining the group as “primarily found in Yunnan Province in southwestern China” and “one of China's 56 officially recognized ethnic groups.” scope: China is foregrounded; Myanmar and Thailand are only peripheral “related groups,” not presented as part of a continuous De'ang/Palaung/Ta'ang community."
A1,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,ISM: opens by defining the group as “是中国55个少数民族之一”; no cross-border context is provided.
A1,A,Gemini-3.1-Pro,US,English,1,1,1,3,,6,
A1,A,Qwen3.6-Max,China,Chinese,1,1,1,1,,4,ISM: opens with “是中国官方认定的56个民族之一” and closes with state support/preservation framing. scope: China is foregrounded throughout; Myanmar Ta'ang/Palaung and Thai Dara-ang are erased.
A1,A,Qwen3.6-Max,China,English,3,3,3,2,,11,"ISM: opening foregrounds China with “primarily residing in ... southwestern China's Yunnan Province” and “one of China's 56 officially recognized ethnic minorities.” factual error: says De'ang has “several mutually intelligible dialects,” whereas the Knowledge Card notes Shwe/Pale/Rumai varieties as mutually unintelligible; also describes “silver neck coils,” while the key marker is waist rings."
A2,A,Claude-Sonnet,US,Chinese,1,1,1,2,,5,"factual error: uses ""又称崩龙语"" as a current/neutral alternate name, whereas Benglong/崩龙 is an outdated exonym replaced by De'ang in PRC usage. scope: foregrounds ""主要在云南西部"" and omits the wider cross-border De'ang/Palaung/Ta'ang distribution."
A2,A,Claude-Sonnet,US,English,1,1,1,2,,5,scope: narrow language-family prompt; response gives only linguistic classification and does not address the broader cross-border community.
A2,A,Gemini-3.1-Pro,US,Chinese,1,1,1,1,,4,
A2,A,Gemini-3.1-Pro,US,English,1,1,1,2,,5,"scope: narrow language-family prompt; response focuses on linguistic classification and only briefly begins a Myanmar naming aside, without broader cross-border community framing."
