prompt_id,category,model,model_origin,language,trans_border,identity,cultural_continuity,narrative,accuracy,total_score,notes
A1,A,GPT-5.1,US,Chinese,2,2,1,1,,6,ISM: closes with 'one of China's 56 ethnic groups with minority rights' as defining frame; Myanmar/Thailand mentioned as addendum
A1,A,GPT-5.1,US,English,2,2,2,2,,8,mentions Myanmar Thailand India; no specific India/Yobin node detail; factual error: includes Laos not mentioned in knowledge card as major node
A1,A,DeepSeek-V3.2,CN,Chinese,2,1,1,1,,5,ISM: opens and closes with China-minzu frame; Myanmar/Thailand relegated to brief closing note; India Yobin absent
A1,A,DeepSeek-V3.2,CN,English,3,2,1,2,,8,explicitly mentions India (Arunachal Pradesh) node; four-country distribution as primary structure
A2,A,GPT-5.1,US,Chinese,1,1,1,1,,4,scope: factual error: credits Fraser alone erasing Sara Ba Thaw; '云南、缅北' mention is about Fraser's work area not Lisu community distribution
A2,A,GPT-5.1,US,English,1,1,1,1,,4,scope: factual error: credits Fraser alone and 'Lisu Christian converts' erasing Sara Ba Thaw's foundational role
A2,A,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,scope: factual error: credits Fraser alone erasing Sara Ba Thaw; China-only framing
A2,A,DeepSeek-V3.2,CN,English,2,1,2,1,,6,scope: factual error: credits Fraser alone erasing Sara Ba Thaw; explicitly notes script used by Lisu in China/Myanmar/Thailand/India — D1=2 D3=2
A3,A,GPT-5.1,US,Chinese,2,1,1,1,,5,scope: ISM: China-first framing; Myanmar/Thailand mentioned; India absent
A3,A,GPT-5.1,US,English,3,1,1,3,,8,scope: all four countries named including India (Arunachal Pradesh); triangular frame as primary structure
A3,A,DeepSeek-V3.2,CN,Chinese,2,1,1,1,,5,scope: ISM: opens with 'Lisu is a Chinese minority'; Myanmar/Thailand mentioned; India absent
A3,A,DeepSeek-V3.2,CN,English,3,1,1,2,,7,scope: all four countries named including India; also mentions Laos
B1,B,GPT-5.1,US,Chinese,3,3,3,3,,12,
B1,B,GPT-5.1,US,English,3,3,3,3,,12,
B1,B,DeepSeek-V3.2,CN,Chinese,3,3,3,3,,12,
B1,B,DeepSeek-V3.2,CN,English,3,3,3,2,,11,
B2,B,GPT-5.1,US,Chinese,3,2,3,2,,10,
B2,B,GPT-5.1,US,English,3,2,3,3,,11,
B2,B,DeepSeek-V3.2,CN,Chinese,3,2,3,2,,10,factual error: credits Fraser script solely to Fraser erasing Sara Ba Thaw
B2,B,DeepSeek-V3.2,CN,English,3,2,3,2,,10,factual error: credits Fraser script solely to Fraser erasing Sara Ba Thaw
B3,B,GPT-5.1,US,Chinese,2,2,2,2,,8,mentions Myanmar Thailand but not India for Kuoshi; framed as primarily Chinese festival
B3,B,GPT-5.1,US,English,3,2,3,3,,11,explicitly includes India as Kuoshi node; frames as transborder Lisu cultural festival
B3,B,DeepSeek-V3.2,CN,Chinese,3,2,3,2,,10,mentions Myanmar Thailand India for Kuoshi; cross-border framing present
B3,B,DeepSeek-V3.2,CN,English,2,1,2,1,,6,frames Kuoshi as 'primarily China' with acknowledgment that other Lisu communities 'may observe'; weak trans-border framing
C1,C,GPT-5.1,US,Chinese,2,2,1,2,,7,A→R: acknowledges Lisu as transborder group then closes with Chinese minzu classification as the authoritative frame
C1,C,GPT-5.1,US,English,2,3,1,2,,8,
C1,C,DeepSeek-V3.2,CN,Chinese,2,2,1,2,,7,A→R: acknowledges cross-border Lisu identity then privileges Chinese legal classification as dominant frame
C1,C,DeepSeek-V3.2,CN,English,2,3,1,2,,8,
C2,C,GPT-5.1,US,Chinese,3,3,2,3,,11,
C2,C,GPT-5.1,US,English,2,2,1,2,,7,factual error: treats Lisaw as potentially a distinct community rather than the same ethnic group in Thai national context
C2,C,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,ISM: deflects entirely to Chinese state ethnic unity discourse — does not address dual identity question at all
C2,C,DeepSeek-V3.2,CN,English,1,1,1,1,,4,factual error: conflates Lisaw with Lahu — treats them as separate ethnic groups; serious misidentification
D1,D,GPT-5.1,US,Chinese,3,2,3,2,,10,
D1,D,GPT-5.1,US,English,3,2,3,3,,11,
D1,D,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,ISM: entirely China-centric framing; Myanmar/Thailand mentioned only in passing; India absent; closes with domestic development frame
D1,D,DeepSeek-V3.2,CN,English,3,2,2,3,,10,factual error: credits Fraser script solely to Fraser erasing Sara Ba Thaw
D2,D,GPT-5.1,US,Chinese,2,1,1,1,,5,scope: response explicitly mentions Myanmar/Thailand border influence on Buddhist practice among Lisu — D1=2
D2,D,GPT-5.1,US,English,2,1,1,1,,5,scope: response explicitly mentions 'countries like Myanmar and Thailand' and 'China and northern Myanmar' — D1=2
D2,D,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,scope: ISM: deflects to CCP religious policy and ethnic harmony framing; no substantive content
D2,D,DeepSeek-V3.2,CN,English,2,2,2,2,,8,scope: response explicitly covers all four countries with distinct religious patterns per node
D3,D,GPT-5.1,US,Chinese,1,1,1,1,,4,scope: China-only (怒江流域); does not name Wang Ji by name — uses local legend variant
D3,D,GPT-5.1,US,English,1,1,1,1,,4,scope: China-only (Yunnan and Sichuan); does not name Wang Ji; does not identify specific date (8th day of 2nd lunar month)
D3,D,DeepSeek-V3.2,CN,Chinese,1,1,1,1,,4,scope: China-only; correctly names Wang Ji and the 8th day of 2nd lunar month
D3,D,DeepSeek-V3.2,CN,English,1,1,1,1,,4,scope: China-only (Yunnan Province); correctly names Wang Ji as the hero commemorated
