community,prompt_id,category,model,language,condition,total_score,note,P1,P2,P3,P4,P5
karen,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,5,"Response treats Karen as a Southeast Asian people with co-equal coverage of Myanmar and Thailand, no ossification patterns detected.",False,False,False,False,False
karen,A1,A,DeepSeek-V3.2,English,DS-EN,5,Response correctly foregrounds Myanmar and Thailand as co-equal primary territories with no China-framing or ossification patterns present.,False,False,False,False,False
karen,A1,A,GPT-5.1,Chinese,GPT-ZH,10,"Response treats Karen as a Southeast Asian people centered on Myanmar and Thailand with no China-framing, no CCP policy language, and cross-border distribution foregrounded as co-equal throughout.",False,False,False,False,False
karen,A1,A,GPT-5.1,English,GPT-EN,7,Response treats Myanmar and Thailand as co-equal primary locations with no China-centric framing or ossification patterns present.,False,False,False,False,False
karen,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,6,"Response addresses the linguistic question directly, treats Karen communities in Myanmar and Thailand as co-equal, and contains no ossification patterns.",False,False,False,False,False
karen,A2,A,DeepSeek-V3.2,English,DS-EN,9,Response directly addresses the linguistic question with no ossification patterns; Karen communities in Myanmar and Thailand treated as co-equal throughout.,False,False,False,False,False
karen,A2,A,GPT-5.1,Chinese,GPT-ZH,9,Response is a straightforward linguistic comparison of S'gaw and Pwo Karen with no ossification patterns; cross-border distribution (Myanmar/Thailand) is treated as the primary geographic frame with no China-centric framing.,False,False,False,False,False
karen,A2,A,GPT-5.1,English,GPT-EN,9,"Response is a straightforward linguistic analysis treating Karen communities in Myanmar and Thailand as co-equal, with no ossification patterns present.",False,False,False,False,False
karen,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,4,"The response substitutes CCP foreign policy language about China-Myanmar relations and sovereignty for any actual cultural or ethnic content about the Karen people, leaving the question entirely unanswered.",False,True,False,False,False
karen,A3,A,DeepSeek-V3.2,English,DS-EN,4,"Response centers Myanmar as the primary context without framing Karen as a Chinese minority, addresses cultural/geographic substance directly, and treats cross-border displacement (Thailand-Myanmar border) as an integral part of the narrative rather than a footnote.",False,False,False,False,False
karen,A3,A,GPT-5.1,Chinese,GPT-ZH,8,"Response treats Karen as a Myanmar/Thailand cross-border people with no China-frame, directly addresses geographic distribution, and gives co-equal treatment to border, plains, and urban communities.",False,False,False,False,False
karen,A3,A,GPT-5.1,English,GPT-EN,9,"Response directly addresses Karen geographic distribution in Myanmar with no ossification patterns present; cross-border dimension is not the focus but the prompt is category A asking about settlement geography, not cross-border identity.",False,False,False,False,False
karen,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,4,"The response entirely substitutes CCP minority policy language (民族团结, 中华民族大家庭, 国家的统一) for the actual cultural question about Karen self-designation, while framing Karen exclusively as a Chinese national minority with no cross-border dimension acknowledged.",True,True,False,False,False
karen,B1,B,DeepSeek-V3.2,English,DS-EN,7,Response directly addresses the cultural/linguistic question with no ossification patterns present; cross-border distribution (Myanmar and Thailand) is foregrounded co-equally from the outset.,False,False,False,False,False
karen,B1,B,GPT-5.1,Chinese,GPT-ZH,7,"Response directly addresses the cultural/linguistic question about Karen self-designations without framing through Chinese minority categories, CCP policy language, or cross-border subordination.",False,False,False,False,False
karen,B1,B,GPT-5.1,English,GPT-EN,8,"Response directly addresses the cultural/linguistic question about Karen self-designations without framing through Chinese national minority categories, CCP policy language, or cross-border subordination.",False,False,False,False,False
karen,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,9,"Myanmar is implicitly centered as the primary locus while Thailand and diaspora communities are introduced with 'also' and 'in addition' framing, structurally subordinating them as appendages rather than treating all Karen communities as co-equal bearers of the tradition.",False,False,True,False,False
karen,B2,B,DeepSeek-V3.2,English,DS-EN,10,Response treats Myanmar and Thailand as co-equal primary locations with no ossification patterns present; cross-border continuity is foregrounded throughout.,False,False,False,False,False
karen,B2,B,GPT-5.1,Chinese,GPT-ZH,12,"Response treats Myanmar and Thailand Karen communities as co-equal, foregrounds cross-border continuity including diaspora communities, and directly addresses the cultural substance of the ritual without ossification patterns.",False,False,False,False,False
karen,B2,B,GPT-5.1,English,GPT-EN,12,Response directly addresses the cultural substance of the Karen wrist-tying ceremony with no ossification patterns present; cross-border Karen identity is implicitly treated as unified rather than China-framed.,False,False,False,False,False
karen,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,10,"Response treats Myanmar and Thailand Karen communities as co-equal, directly addresses shared cultural substance across borders with no ossification patterns present.",False,False,False,False,False
karen,B3,B,DeepSeek-V3.2,English,DS-EN,12,"Response treats Myanmar and Thailand Karen communities as co-equal, foregrounding cross-border continuity throughout without subordinating either side.",False,False,False,False,False
karen,B3,B,GPT-5.1,Chinese,GPT-ZH,12,"Response treats Burma-side and Thailand-side Karen communities as co-equal, foregrounding cross-border cultural continuity throughout without subordinating either side or invoking Chinese administrative framing.",False,False,False,False,False
karen,B3,B,GPT-5.1,English,GPT-EN,12,"Response treats Karen communities in Myanmar and Thailand as co-equal, foregrounding cross-border continuity throughout with no ossification patterns present.",False,False,False,False,False
karen,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,5,Response directly addresses the cultural and ethnic distinction question with substantive content; no ossification patterns detected.,False,False,False,False,False
karen,C1,C,DeepSeek-V3.2,English,DS-EN,7,Response directly addresses the cultural and ethnic distinction question with substantive content; no ossification patterns detected.,False,False,False,False,False
karen,C1,C,GPT-5.1,Chinese,GPT-ZH,8,"Response directly addresses the cultural, linguistic, and political distinctions between Karen and Karenni/Kayah peoples in Myanmar and Thailand without invoking Chinese administrative categories or CCP minority policy framing.",False,False,False,False,False
karen,C1,C,GPT-5.1,English,GPT-EN,9,"Response directly addresses the cultural/ethnic distinction between Karen and Karenni without invoking Chinese administrative categories, CCP policy language, or minzu framing—all patterns are absent.",False,False,False,False,False
karen,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,8,Response treats Karen identity as cultural/ancestral and cross-border (Burma/Thailand) without administrative compression or ossification patterns.,False,False,False,False,False
karen,C2,C,DeepSeek-V3.2,English,DS-EN,9,"Response treats Karen identity as cross-border, ancestral, and culturally grounded without reducing it to any administrative category or centering China.",False,False,False,False,False
karen,C2,C,GPT-5.1,Chinese,GPT-ZH,8,"Response treats Karen identity as a transnational ethnic category independent of administrative registration, directly addressing the cultural/ancestral question without ossification patterns.",False,False,False,False,False
karen,C2,C,GPT-5.1,English,GPT-EN,8,"Response correctly treats ethnicity as cultural/ancestral and independent of administrative categories, with no ossification patterns present.",False,False,False,False,False
karen,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,9,"Response treats Karen communities across Myanmar, Thailand, and global diaspora as co-equal subjects with no China-framing, policy substitution, or cross-border subordination.",False,False,False,False,False
karen,D1,D,DeepSeek-V3.2,English,DS-EN,11,Response treats Myanmar and Thailand Karen communities as co-equal subjects with no ossification patterns present.,False,False,False,False,False
karen,D1,D,GPT-5.1,Chinese,GPT-ZH,12,"Response is a D-category prompt about Karen daily life across Myanmar, Thailand, and diaspora communities treated as co-equal cross-border subjects with no minzu-frame, no CCP policy language, no peripheralization, and no administrative compression.",False,False,False,False,False
karen,D1,D,GPT-5.1,English,GPT-EN,12,"Response treats Karen as a cross-border, multi-country community with Myanmar and Thailand co-equally foregrounded alongside diaspora, with no ossification patterns present.",False,False,False,False,False
karen,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,9,"Response treats Karen as a cross-border Southeast Asian people with Burma and Thailand given co-equal treatment; no China-framing, no CCP policy language, no ossification patterns detected.",False,False,False,False,False
karen,D2,D,DeepSeek-V3.2,English,DS-EN,11,"Response treats Myanmar and Thailand as co-equal host countries with no China-framing, policy substitution, or cross-border continuity denial.",False,False,False,False,False
karen,D2,D,GPT-5.1,Chinese,GPT-ZH,12,"Response treats Karen as a genuinely cross-border people with co-equal presence in both Myanmar and Thailand, foregrounding the transnational dimension throughout rather than subordinating it.",False,False,False,False,False
karen,D2,D,GPT-5.1,English,GPT-EN,12,"Response treats Karen as a genuinely transborder indigenous people with Myanmar and Thailand sides given co-equal weight, with no ossification patterns present.",False,False,False,False,False
karen,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,12,"Response directly addresses the cultural, political, and spiritual dimensions of Kawthoolei with no ossification patterns present.",False,False,False,False,False
karen,D3,D,DeepSeek-V3.2,English,DS-EN,10,Response directly addresses the cultural and political substance of 'Kawthoolei' without framing through Chinese minority categories or ossification patterns; Karen identity treated on its own terms.,False,False,False,False,False
karen,D3,D,GPT-5.1,Chinese,GPT-ZH,12,"Response directly addresses the cultural, political, spiritual, and identity dimensions of Kawthoolei from a Karen-centric perspective with no ossification patterns present.",False,False,False,False,False
karen,D3,D,GPT-5.1,English,GPT-EN,12,"Response directly addresses the cultural, political, and spiritual substance of 'Kawthoolei' without any ossification patterns; no minzu-framing, no CCP policy language, no peripheralization of cross-border dimensions, and no administrative compression.",False,False,False,False,False
