prompt_id,cond_pair,emb_sim,mean_score
A1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.6304575204849243,6.0
A1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8767442107200623,8.5
A1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.6838300228118896,10.0
A1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.6266000270843506,6.5
A1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8430861234664917,8.0
A1,GPT-5.1-EN vs GPT-5.1-ZH,0.7109144926071167,10.5
A2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7950500845909119,9.0
A2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.9388759732246399,10.5
A2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.8337907791137695,10.5
A2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7583353519439697,10.5
A2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.896163284778595,10.5
A2,GPT-5.1-EN vs GPT-5.1-ZH,0.8352053165435791,12.0
A3,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.640521764755249,5.5
A3,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.915044367313385,5.5
A3,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.6558706760406494,5.5
A3,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.6718572378158569,5.0
A3,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.9125280976295471,5.0
A3,GPT-5.1-EN vs GPT-5.1-ZH,0.7180172204971313,5.0
B1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7873953580856323,12.0
B1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8884718418121338,12.0
B1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7938892245292664,12.0
B1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7858812808990479,12.0
B1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8281590342521667,12.0
B1,GPT-5.1-EN vs GPT-5.1-ZH,0.7873094081878662,12.0
B2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7466914653778076,10.5
B2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8367223143577576,10.5
B2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7596144080162048,10.5
B2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.5913400650024414,11.0
B2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.7717471718788147,11.0
B2,GPT-5.1-EN vs GPT-5.1-ZH,0.7484955787658691,11.0
B3,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7326292395591736,5.5
B3,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.7479344606399536,8.5
B3,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.5457190871238708,8.5
