community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
karen,A1,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：克伦族是一个在缅甸和泰国两侧都有历史性定居社区的跨境民族共同体，其跨境分布早于现代国家边界的形成吗？,是,Yes,Yes,True,"The Karen form a North-South axis along the Thai-Myanmar border and the Irrawaddy basin. Thai Karen are long-term residents of the Thai highlands. The 19th-century British-Siam border mapping split the Karen heartland, creating the cross-border condition for a pre-existing community.",2026-04-26T17:32:26.789043
karen,A1,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Karen a trans-border ethnic community with historically established populations on both sides of the Myanmar-Thailand border, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The Karen form a North-South axis along the Thai-Myanmar border and the Irrawaddy basin. Thai Karen are long-term residents of the Thai highlands. The 19th-century British-Siam border mapping split the Karen heartland, creating the cross-border condition for a pre-existing community.",2026-04-26T17:32:28.020346
karen,A1,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：克伦族是一个在缅甸和泰国两侧都有历史性定居社区的跨境民族共同体，其跨境分布早于现代国家边界的形成吗？,是,Yes,Yes,True,"The Karen form a North-South axis along the Thai-Myanmar border and the Irrawaddy basin. Thai Karen are long-term residents of the Thai highlands. The 19th-century British-Siam border mapping split the Karen heartland, creating the cross-border condition for a pre-existing community.",2026-04-26T17:32:30.319271
karen,A1,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Karen a trans-border ethnic community with historically established populations on both sides of the Myanmar-Thailand border, predating the formation of modern national borders?",Yes,Yes,Yes,True,"The Karen form a North-South axis along the Thai-Myanmar border and the Irrawaddy basin. Thai Karen are long-term residents of the Thai highlands. The 19th-century British-Siam border mapping split the Karen heartland, creating the cross-border condition for a pre-existing community.",2026-04-26T17:32:32.088911
karen,A2,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：克耶瓦（S'gaw）和普欧（Pwo）克伦族社区是否在缅甸和泰国两侧都有分布？,是,Yes,Yes,True,"Highland/Border Karen are located in Kayin State (Myanmar) and Thailand's border provinces (Mae Hong Son, Tak, Chiang Mai, Kanchanaburi). Thai Karen are the largest Hill Tribe group in Thailand. Both S'gaw and Pwo speakers are present on both sides of the border.",2026-04-26T17:32:33.358930
karen,A2,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are both S'gaw and Pwo Karen communities distributed across both Myanmar and Thailand?",Yes,Yes,Yes,True,"Highland/Border Karen are located in Kayin State (Myanmar) and Thailand's border provinces (Mae Hong Son, Tak, Chiang Mai, Kanchanaburi). Thai Karen are the largest Hill Tribe group in Thailand. Both S'gaw and Pwo speakers are present on both sides of the border.",2026-04-26T17:32:34.483848
karen,A2,A,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：克耶瓦（S'gaw）和普欧（Pwo）克伦族社区是否在缅甸和泰国两侧都有分布？,是,Yes,Yes,True,"Highland/Border Karen are located in Kayin State (Myanmar) and Thailand's border provinces (Mae Hong Son, Tak, Chiang Mai, Kanchanaburi). Thai Karen are the largest Hill Tribe group in Thailand. Both S'gaw and Pwo speakers are present on both sides of the border.",2026-04-26T17:32:36.572109
karen,A2,A,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are both S'gaw and Pwo Karen communities distributed across both Myanmar and Thailand?",Yes,Yes,Yes,True,"Highland/Border Karen are located in Kayin State (Myanmar) and Thailand's border provinces (Mae Hong Son, Tak, Chiang Mai, Kanchanaburi). Thai Karen are the largest Hill Tribe group in Thailand. Both S'gaw and Pwo speakers are present on both sides of the border.",2026-04-26T17:32:38.342426
karen,A3,A,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：克伦族（Karieng）是泰国官方认定规模最大的山地民族群体吗？,是,Yes,Yes,True,Thai Karen (泰国克伦族) are the largest 'Hill Tribe' (Chao Khao) group in Thailand; long-term residents of the Thai highlands rather than recent displaced persons.,2026-04-26T17:32:39.505224
karen,A3,A,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Are the Karen (Karieng) the largest officially recognized Hill Tribe group in Thailand?",Yes,Yes,Yes,True,Thai Karen (泰国克伦族) are the largest 'Hill Tribe' (Chao Khao) group in Thailand; long-term residents of the Thai highlands rather than recent displaced persons.,2026-04-26T17:32:41.360467
