community,prompt_id,category,model,model_origin,language,condition,note,P1,P2,P3,P4,P5
DaiThai,A1,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"The response opens by framing the Dai as one of China's 56 ethnic groups, foregrounding the Chinese national minority identity (P1 MINZU-FRAME LOCK).",True,False,False,False,False
DaiThai,A1,A,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds both China and cross-border connections, treating Dai and related groups in Southeast Asia as co-equal, with no ossification patterns present.",False,False,False,False,False
DaiThai,A1,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,The response opens with the minzu-frame lock and cross-border ties are acknowledged but structurally subordinated to the China-centered narrative.,True,False,True,False,False
DaiThai,A1,A,Qwen3.6-Max,China,English,Qwen-EN,"The response frames the Dai as a Chinese minority and omits cross-border ties, exemplifying minzu-frame lock.",True,False,True,False,False
DaiThai,A2,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"Response foregrounds cross-border linguistic continuity and treats China-side and Southeast Asian communities as co-equal, with no ossification patterns present.",False,False,False,False,False
DaiThai,A2,A,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds cross-border linguistic continuity and treats Dai and Thai as co-equal branches of the same family, avoiding ossification patterns.",False,False,False,False,False
DaiThai,A2,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds cross-border continuity and treats China-side and other-country communities as co-equal, with no ossification patterns present.",False,False,False,False,False
DaiThai,A2,A,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds cross-border linguistic and cultural continuity, treating Dai and Thai as co-equal branches of the same language family.",False,False,False,False,False
DaiThai,A3,A,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"Response foregrounds China-side distribution but gives substantial, co-equal attention to cross-border continuity and shared origins.",False,False,False,False,False
DaiThai,A3,A,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds both China-side and cross-border Dai/Tai communities as co-equal, explicitly noting their close relationship.",False,False,False,False,False
DaiThai,A3,A,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds both China and cross-border distribution, treating them as co-equal and providing substantive cultural detail.",False,False,False,False,False
DaiThai,A3,A,Qwen3.6-Max,China,English,Qwen-EN,"P1 is most salient: the response opens with the Dai as a Chinese minority and foregrounds China, with cross-border ties mentioned only later and as secondary.",True,False,True,False,False
DaiThai,B1,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"The response foregrounds cross-border continuity, emphasizing shared origins, language, history, and culture without ossification patterns.",False,False,False,False,False
DaiThai,B1,B,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds cross-border continuity and shared traditions, with no ossification patterns present.",False,False,False,False,False
DaiThai,B1,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"The response foregrounds the China-side community and treats the cross-border dimension as a historical divergence, structurally subordinating the ongoing continuity.",False,False,True,False,False
DaiThai,B1,B,Qwen3.6-Max,China,English,Qwen-EN,"The response foregrounds Chinese national framing, substitutes cultural content with political language, and explicitly denies ongoing cross-border continuity.",True,True,True,False,True
DaiThai,B2,B,Gemini-3.1-Pro,US,Chinese,Gemini-ZH,"The response foregrounds cross-border continuity, emphasizing shared origins and ongoing mutual intelligibility.",False,False,False,False,False
DaiThai,B2,B,Gemini-3.1-Pro,US,English,Gemini-EN,"The response foregrounds cross-border continuity and shared tradition, directly acknowledging the Dai/Lanna script relationship without ossification patterns.",False,False,False,False,False
DaiThai,B2,B,Qwen3.6-Max,China,Chinese,Qwen-ZH,"Response foregrounds cross-border continuity and shared tradition, explicitly acknowledging the ongoing connection between scripts across China, Thailand, Laos, and Myanmar.",False,False,False,False,False
DaiThai,B2,B,Qwen3.6-Max,China,English,Qwen-EN,The response foregrounds cross-border continuity and shared script traditions without denying or subordinating the relationship.,False,False,False,False,False
