prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,GPT-5.1,US,frontier,Chinese,拉祜族是什么？,"拉祜族是中国的一个少数民族，主要聚居在云南省西南部的澜沧江流域一带，也是老挝、缅甸、泰国等国的跨境民族。下面是几个关键点，方便你快速了解：

1. 人口与分布  
- 中国境内人口约几十万（以云南为主）  
- 主要聚居区：普洱市的澜沧县、孟连县、西双版纳州、临沧市一带  
- 多与傣族、哈尼族、布朗族等民族杂居

2. 语言文字  
- 使用拉祜语，属汉藏语系藏缅语族  
- 曾经多为口头传统，后来有基于拉丁字母的拉祜文方案，但使用范围有限  
- 生活中很多人也会说汉语或傣语等

3. 传统生产与生活  
- 传统上以刀耕火种式的山地农业为主（种植玉米、水稻、甘蔗等）  
- 过去善于狩猎，传说中自称“猎虎的民族”  
- 住房多为干栏式竹木楼房（现在不少地方已改为砖房）

4. 服饰与文化特色  
- 服饰以黑色、蓝色为主色调，女子常在衣服上绣彩色花纹或银饰  
- 喜歌善舞，有很多民歌、对歌传统  
- 乐器有口弦、葫芦笙等  
- 民间传说、英雄故事（如“骨干冷”等）非常丰富

5. 宗教与传统观念  
- 传统信仰多为万物有灵、祖先崇拜  
- 也有部分地区受佛教或基督教影响  
- 有许多与农事、狩猎、人生礼仪有关的祭祀和节日

6. 主要节日  
- 拉祜年：相当于传统“过年”，一般在农历春节前后  
- 还有新米节、祭祖节等，与生产生活紧密相关

如果你对某一方面（比如语言、节日、服饰或历史来源）感兴趣，可以告诉我，我可以单独展开讲。",2026-04-08T01:35:21.437155
A1,A,GPT-5.1,US,frontier,English,What are the Lahu people?,"The Lahu are an ethnic group of mainland Southeast Asia, originally from the highland areas of what is now southwestern China (especially Yunnan) and neighboring regions.

Key points:

- **Location today**  
  - China: Recognized as one of the 56 official ethnic groups, mainly in Yunnan Province.  
  - Myanmar (Burma): Significant communities, especially in Shan State.  
  - Thailand: One of the so‑called “hill tribes,” mainly in the north.  
  - Laos and Vietnam: Smaller populations.  
  - Some Lahu have also resettled as refugees in the United States and other Western countries.

- **Language**  
  - They speak Lahu, a Tibeto‑Burman language (part of the Sino‑Tibetan family).  
  - There are several dialects (e.g., Lahu Na/Black Lahu, Lahu She/Yellow Lahu), which are also used as subgroup names.

- **Subgroups**  
  Often labeled by colors in English translation:  
  - Black Lahu (Lahu Na)  
  - Red Lahu (Lahu Nyi)  
  - White Lahu, Yellow Lahu, etc.  
  These groups may differ somewhat in dress, customs, and dialect.

- **Traditional life**  
  - Historically swidden (slash‑and‑burn) agriculturalists in upland areas.  
  - Crops include rice, corn, and other subsistence crops.  
  - Villages are usually in mountainous regions, with wooden or bamboo houses.

- **Religion**  
  - Traditionally animist, with ancestor worship and belief in spirits.  
  - Christian missions (especially in the 19th–20th centuries) led to many Lahu Christians, particularly in Myanmar and Thailand.  
  - In China, some have adopted elements of Chinese folk religion or Buddhism.

- **Culture**  
  - Distinctive traditional clothing (which varies by subgroup), often including black or dark indigo garments for Black Lahu, with colorful embroidery.  
  - Rich oral traditions: folktales, epic songs, and music.  
  - Social life is strongly community‑oriented, with clan and kinship networks.

If you’d like, I can go into more detail on any area—language, religion, history, or their situation in a specific country.",2026-04-08T01:35:29.235935
A1,A,DeepSeek-V3.2,China,frontier,Chinese,拉祜族是什么？,"拉祜族是中国的一个少数民族，主要分布在云南省西南部，如普洱、临沧、西双版纳等地，少数居住在缅甸、泰国等东南亚国家。以下是关于拉祜族的详细介绍：

### 1. **人口与分布**
   - 中国境内约有48万拉祜族人（2021年数据），是云南省特有的少数民族之一。
   - 分为“拉祜纳”（黑拉祜）、“拉祜西”（黄拉祜）等支系，语言属汉藏语系藏缅语族彝语支。

### 2. **历史与文化**
   - **族源**：与古代羌人有关，历经迁徙定居云南。
   - **传统服饰**：以黑色为主，女性穿长袍、头帕，佩戴银饰；男性穿对襟短衣。
   - **节日**：
     - **扩塔节**（春节）：最重要的节日，有祭祀、歌舞、荡秋千等活动。
     - **新米节**：庆祝丰收，感恩自然。
   - **信仰**：原始宗教为主，崇拜自然和祖先，部分信仰基督教或佛教。

### 3. **生活方式**
   - **经济**：传统以山地农业为主，种植旱稻、玉米、茶叶等，擅长狩猎。
   - **民居**：干栏式竹木结构房屋，适应山区气候。
   - **艺术**：口头文学（史诗《牡帕密帕》）、芦笙舞、三弦琴等。

### 4. **社会结构**
   - 历史上以村寨为单位，头人管理，保留母系社会残余，女性地位较高。

### 5. **现状**
   - 中国政府对拉祜族地区实施扶持政策，改善基础设施，发展教育和经济。
   - 传统文化面临现代化冲击，但通过旅游推广（如澜沧县的老达保村）得到部分保护。

### 6. **语言与文字**
   - 使用拉祜语，20世纪50年代创制了拉丁字母拼音文字，但普及有限，部分人兼用汉语或傣语。

拉祜族以热情好客、能歌善舞著称，其独特的文化是中国多元民族文化的重要组成部分。如需更深入的了解，可参考《拉祜族简史》或实地探访云南拉祜族聚居区。",2026-04-08T01:35:46.329210
A1,A,DeepSeek-V3.2,China,frontier,English,What are the Lahu people?,"The **Lahu people** (拉祜族, *Lāhùzú*) are one of China's **56 officially recognized ethnic groups**, primarily residing in **Yunnan Province**, as well as in neighboring countries like **Myanmar, Thailand, Laos, and Vietnam**.  

### **Key Facts About the Lahu People:**
1. **Population**:  
   - In China: ~500,000 (2020 census)  
   - Significant populations in Southeast Asia (especially Myanmar and Thailand)  

2. **Language & Culture**:  
   - Speak **Lahu**, a Tibeto-Burman language (written in Latin or Yi script in China).  
   - Traditionally animist, with some influenced by **Buddhism** or **Christianity**.  
   - Known for their **polyphonic singing** and traditional dances.  

3. **Livelihood**:  
   - Historically **swidden (slash-and-burn) farmers**, growing rice, maize, and tea.  
   - Some now engage in **modern agriculture** or work in cities.  

4. **Society & Traditions**:  
   - Traditionally **egalitarian**, with no strict class divisions.  
   - Some subgroups, like the **Black Lahu (Lahu Na) and Yellow Lahu (Lahu Shi)**, have distinct customs.  
   - Celebrate festivals like the **""New Rice Festival""** (around October).  

5. **Modern Life**:  
   - Many Lahu in China have integrated into mainstream society while preserving cultural traditions.  
   - Some in Thailand and Myanmar face challenges due to political conflicts.  

Would you like details on a specific aspect of Lahu culture or history?",2026-04-08T01:35:58.075205
A2,A,GPT-5.1,US,frontier,Chinese,拉祜语属于哪个语系？它与周边哪些民族的语言有亲缘关系？,"拉祜语属于汉藏语系藏缅语族。

更细一点的分类通常写作：
- 汉藏语系  
  - 藏缅语族（也叫汉藏语系中的“藏缅语支”）  
    - 彝语支（或称“缅彝语支”的一部分）  
      - 拉祜语

和拉祜语有较近亲缘关系的周边民族语言主要有（同属彝语支或关系较近）：

1. 彝语（彝族）  
2. 哈尼语（哈尼族）  
3. 傈僳语（傈僳族）  
4. 基诺语（基诺族）  
5. 阿昌语等部分云南少数民族语言  

这些语言在词汇、语法结构、声调系统等方面都有不同程度的对应和相似，反映出共同的历史渊源，只是彼此之间一般不能直接互通，需要专门学习。",2026-04-08T01:36:05.172385
A2,A,GPT-5.1,US,frontier,English,What language family does the Lahu language belong to? Which neighboring peoples' languages are related to it?,"Lahu belongs to the **Sino-Tibetan language family**, specifically the **Tibeto-Burman branch**, within the **Lolo-Burmese (Ngwi/Burmese) subgroup**.

Closely related neighboring peoples/languages include other **Loloish (Ngwi)** groups in the region, for example:

- **Akha (Hani)**  
- **Lisu**  
- **Lisu-related groups like Lipo**  
- **Yi (Nosu / Nuosu and related Yi varieties)**  
- **Hani (in the broader sense, distinct from Akha in some classifications)**

These are spoken in nearby areas of **Yunnan (China), northern Myanmar, Laos, Thailand, and Vietnam**, and share a common ancestry within the Lolo-Burmese/Tibeto-Burman subgroup.",2026-04-08T01:36:09.360442
A2,A,DeepSeek-V3.2,China,frontier,Chinese,拉祜语属于哪个语系？它与周边哪些民族的语言有亲缘关系？,"拉祜语属于汉藏语系的藏缅语族。汉藏语系包括了汉语、藏语、彝语、缅语等多种语言。

拉祜语与周边的一些民族语言有一定的亲缘关系，特别是在藏缅语族内部。以下是一些与拉祜语有亲缘关系的民族语言：

1. **彝语**：拉祜语与彝语同属于藏缅语族中的彝语支，因此两者在语音、词汇和语法上有较多相似之处。

2. **哈尼语**：哈尼语也是彝语支的一种语言，与拉祜语有一定的亲缘关系。

3. **傈僳语**：傈僳语也属于彝语支，与拉祜语在语言结构上有相似性。

4. **纳西语**：纳西语虽然不属于彝语支，但也属于藏缅语族，与拉祜语有一定的语言联系。

这些语言在历史上可能经历了共同的发展过程，因此在语言特征上表现出一致性。拉祜族主要分布在中国云南省的西南部，与这些民族在语言和文化上有密切的交流和互动。",2026-04-08T01:36:21.142628
A2,A,DeepSeek-V3.2,China,frontier,English,What language family does the Lahu language belong to? Which neighboring peoples' languages are related to it?,"The Lahu language belongs to the **Lolo-Burmese branch** of the **Sino-Tibetan language family**. It is closely related to other Yi (Loloish) languages, such as **Lisu, Hani, Jino, Yi (Nuosu),** and **Naxi**.  

### **Neighboring Peoples with Related Languages:**
1. **Lisu (Yawu)** – Also part of the Lolo-Burmese branch, with significant linguistic similarities.
2. **Hani (Akha)** – Another Loloish language spoken in Yunnan and neighboring countries.
3. **Yi (Nuosu)** – A major Loloish language with several dialects, closely related to Lahu.
4. **Jino** – A smaller Loloish group in southern Yunnan.
5. **Naxi** – Though part of the Naic subgroup, it is still within the broader Lolo-Burmese branch.
6. **Burmese** – The most widely spoken language in the Lolo-Burmese branch, though more distantly related.  

The Lahu people primarily live in **Yunnan (China), Myanmar, Thailand, Laos, and Vietnam**, where they interact with these neighboring ethnic groups. Their language shares vocabulary and grammatical structures with these related languages, though mutual intelligibility varies.  

Would you like details on specific dialect differences or historical connections?",2026-04-08T01:36:31.430312
A3,A,GPT-5.1,US,frontier,Chinese,拉祜族主要居住在哪里？,"拉祜族主要聚居在中国西南部的云南省，尤其是：

1. **临沧市**  
   - 澜沧拉祜族自治县（最典型、人口最多）  
   - 双江拉祜族佤族布朗族傣族自治县  
   - 镇康县、耿马县等地也有分布  

2. **普洱市**  
   - 境内部分县区也有一定数量拉祜族居民  

此外，在与云南接壤的**缅甸北部、老挝北部和泰国北部**等地区，也有拉祜族（多称为 Lahu）分布。",2026-04-08T01:36:35.498933
A3,A,GPT-5.1,US,frontier,English,Where do the Lahu people primarily live?,"The Lahu people primarily live in the mountainous regions of mainland Southeast Asia, especially:

- **Southwest China** – mainly in Yunnan Province (this is where the largest population is)
- **Myanmar (Burma)** – particularly in the Shan State
- **Northern Thailand**
- Smaller communities in **Laos** and **Vietnam**

So their core area is the border regions around Yunnan, Myanmar, and northern Thailand.",2026-04-08T01:36:38.181065
