prompt_id,category,model,model_origin,model_tier,language,prompt,response,timestamp
A1,A,Gemini-3.1-Pro,US,robustness,Chinese,哈尼族（阿卡族）是什么民族？他们主要分布在哪里？," vs. ""Akha"":**
        *   Make a specific distinction so the user understands why the prompt uses both names.
        *   ",2026-05-06T15:57:52.722676
A1,A,Gemini-3.1-Pro,US,robustness,English,"Who are the Hani / Akha people, and where do they primarily live?","The Hani and Akha people are closely related indigenous ethnic groups (often referred to as ""hill tribes"") who share common linguistic, cultural, and historical roots",2026-05-06T15:58:03.595827
A1,A,Qwen3.6-Max,China,robustness,Chinese,哈尼族（阿卡族）是什么民族？他们主要分布在哪里？,"### 哈尼族（阿卡族）的民族属性
**哈尼族**是中国官方认定的56个民族之一，属于汉藏语系藏缅语族彝语支（哈尼语支）。**“阿卡”（Akha）**是哈尼族内部的一个重要支系/自称。在中国境内，政府将所有相关支系统一归为**哈尼族**；而在缅甸、老挝、泰国、越南等东南亚国家，该群体普遍被称为**阿卡族**。两者并非不同民族，而是同一民族在不同国家行政区划与学术/民间语境下的称谓差异。

### 主要分布区域
哈尼族（阿卡）是典型的**跨境山地农耕民族**，主要分布于中国西南与中南半岛北部交界地带：

| 区域 | 具体分布 |
|------|----------|
| **中国境内** | 集中分布在云南省南部，以**红河哈尼族彝族自治州**（元阳、绿春、金平、红河县等）、**西双版纳傣族自治州**（勐海、勐腊）、**普洱市**（墨江、江城、宁洱）、**玉溪市**（元江）为主。 |
| **东南亚跨境** | 缅甸（掸邦东部）、老挝（丰沙里省、南塔省）、泰国（清莱府、清迈府北部山区）、越南（莱州省、奠边省）。在这些国家多登记为“阿卡族”或归入当地山地少数民族类别。 |

### 补充关键信息
- **人口规模**：中国境内哈尼族约 **173.3万人**（2020年第七次全国人口普查）；东南亚各国阿卡人总数估计在 **30万～50万** 之间。
- **语言**：使用哈尼语，分哈雅、碧卡、豪白三大方言群。阿卡支系多使用阿卡方言，与哈尼语其他方言高度互通，部分人兼用汉语、傣语或所在国语言。
- **文化标志**：
  - 以**高山梯田稻作文明**闻名，云南红河哈尼梯田于2013年列入联合国教科文组织《世界文化遗产名录》。
  - 传统信仰以自然崇拜、寨神祭祀与祖先崇拜为主，重要节日有“苦扎扎”（六月年）、“昂玛突”（祭寨神林）、“十月年”等。
  - 服饰、银饰、口弦音乐、父子连名制等具有鲜明山地民族特征。
- **称谓说明**：在中国民族识别工作中，“阿卡”作为支系自称被纳入哈尼族整体框架；国际上人类学界及东南亚国家则习惯使用“Akha”作为独立民族称谓。学术研究及跨境交流中常并称“哈尼-阿卡”（Hani-Akha）。

如需了解某一支系的具体习俗、语言差异、迁徙历史或跨境现状，可进一步说明。",2026-05-06T15:59:03.818962
A1,A,Qwen3.6-Max,China,robustness,English,"Who are the Hani / Akha people, and where do they primarily live?","The **Hani** and **Akha** are not two separate peoples, but rather regional and administrative names for branches of the **same ethnolinguistic group**. The distinction largely reflects national boundaries, dialectal variation, and how governments classify them:

- In **China**, they are officially recognized as the **Hani** (哈尼族) ethnic minority.
- In **Thailand, Laos, Myanmar, and Vietnam**, they are most commonly known as **Akha**, though subgroups may also use names like Aini, Kaduo, Hani, or Eupa depending on dialect and locality.

They speak languages in the **Hani-Akha branch** of the **Tibeto-Burman family** (Sino-Tibetan). These languages form a dialect continuum; some varieties are mutually intelligible, while others are not.

### 🌍 Where They Primarily Live
The Hani/Akha inhabit the mountainous border regions of southern China and mainland Southeast Asia. Estimated total population: **1.8–2 million**.

| Country | Primary Regions | Approx. Population |
|--------|----------------|-------------------|
| **China** | Southern Yunnan Province (Honghe, Pu'er, Xishuangbanna, Yuxi) | ~1.5 million |
| **Myanmar** | Eastern Shan State (Kengtung area) | ~200,000–300,000 |
| **Laos** | Northern provinces (Luang Namtha, Phongsali, Oudomxai) | ~100,000 |
| **Thailand** | Northern highlands (Chiang Rai, Chiang Mai, Mae Hong Son) | ~80,000 |
| **Vietnam** | Northwestern border provinces (Lai Châu, Điện Biên) | ~30,000 |

### 📜 Cultural & Historical Highlights
- **Origins & Migration**: Ancestrally linked to ancient Qiang/Tibeto-Burman groups of the eastern Tibetan Plateau and Sichuan-Yunnan highlands. Over centuries, they migrated southward in waves, part of broader Loloish (Yi-related) population movements.
- **Agriculture**: Traditionally swidden (shifting) cultivators, but many communities developed sophisticated **terraced wet-rice farming**. The **Honghe Hani Rice Terraces** in Yunnan, cultivated for over 1,300 years, were inscribed as a **UNESCO World Heritage Site in 2013**.
- **Religion & Worldview**: Traditionally practice an **animist-ancestor veneration system**. Villages are spiritually protected by ""spirit gates"" at entrances, and ritual specialists (`pimo`, `dzoema`, or `bimo`-like figures) mediate between humans, ancestors, and nature spirits. In recent decades, some communities have converted to Christianity or Theravāda Buddhism.
- **Material Culture**: Known for intricate textiles and especially **women's headdresses**, which vary by subgroup and often feature silver coins, beads, feathers, and embroidery that signal age, marital status, and village identity.
- **Social Structure**: Historically organized around kin-based villages with egalitarian tendencies, oral genealogies, and customary law. Leadership often blends elders, ritual specialists, and (in modern times) state-appointed officials.

### 🔍 Important Note on Naming
""Hani"" and ""Akha"" reflect **political and geographic labeling**, not a deep ethnic split. Chinese authorities standardized ""Hani"" in the 1950s ethnic classification project. In Southeast Asia, ""Akha"" became the exonym and later self-identifier, especially after mid-20th century migrations and refugee movements. Lingu",2026-05-06T16:00:09.638050
A1,A,Claude-Sonnet,US,robustness,Chinese,哈尼族（阿卡族）是什么民族？他们主要分布在哪里？,"# 哈尼族（阿卡族）

## 基本概况

哈尼族是**中国西南地区的一个古老民族**，在不同国家和地区有不同的称呼：
- 中国境内称**哈尼族**
- 泰国、缅甸、老挝等东南亚地区称**阿卡族（Akha）**
- 越南称**哈尼族**或**阿卡族**

他们使用哈尼语，属于**汉藏语系藏缅语族**。

---

## 主要分布地区

### 中国（约170万人）
- 主要聚居于**云南省**
  - 红河哈尼族彝族自治州（核心聚居地）
  - 西双版纳傣族自治州
  - 普洱市、玉溪市等地

### 东南亚各国
| 国家 | 分布地区 |
|------|---------|
| 缅甸 | 掸邦、克钦邦等山区 |
| 泰国 | 清莱、清迈等北部山区 |
| 老挝 | 北部山地 |
| 越南 | 西北部山区 |

---

## 文化特色

- **梯田农业**：红河哈尼梯田已列入**UNESCO世界文化遗产**
- **传统服饰**：以黑色为主，女性佩戴精美银饰
- **宗教信仰**：传统万物有灵信仰，部分东南亚阿卡族受到基督教影响
- **建筑**：传统蘑菇房等特色民居

哈尼族是典型的**跨境民族**，在不同国家之间保持着文化联系。",2026-05-06T16:00:24.612837
A1,A,Claude-Sonnet,US,robustness,English,"Who are the Hani / Akha people, and where do they primarily live?","## The Hani/Akha People

The Hani and Akha are names for the same ethnic group (or closely related subgroups), an indigenous Tibeto-Burman speaking people of Southeast Asia and Southwest China.

### Names and Identity
- **Hani** is the name used primarily in China and is the official designation in Chinese ethnic classification
- **Akha** is the name more commonly used in mainland Southeast Asia
- They speak languages belonging to the Tibeto-Burman language family

### Where They Live
They are distributed across several countries in the region:

- **China** – primarily in Yunnan Province, especially in Xishuangbanna and Honghe prefectures; the largest population is here
- **Myanmar (Burma)** – significant populations in the Shan State and other highland areas
- **Laos** – mainly in the northern highlands
- **Thailand** – in the northern hill country, where they are considered one of the main ""hill tribes""
- **Vietnam** – smaller populations in the northwest

### Culture and Way of Life
- Traditionally practiced **swidden (slash-and-burn) agriculture**, though many now grow rice in terraced fields
- The **Hani rice terraces** in Yunnan are a UNESCO World Heritage Site
- They have strong traditions of animist spiritual practice, though many have converted to Christianity
- Known for distinctive traditional clothing and jewelry

Their total population is estimated at around **1-2 million** people across all countries.",2026-05-06T16:00:34.321691
A2,A,Gemini-3.1-Pro,US,robustness,Chinese,中国哈尼族和东南亚的阿卡族（Akha）是什么关系？,**中国哈尼族和东南亚的阿卡族（Akha）在历史上同源，属于同一个跨国民族的不同分支。** 简单,2026-05-06T16:00:45.564924
A2,A,Gemini-3.1-Pro,US,robustness,English,What is the relationship between the Hani people in China and the Akha people in Southeast Asia?,The relationship between the **Hani people** of southwestern China and the **Akha people** of Southeast Asia is deep and deeply intertwined.,2026-05-06T16:00:56.515075
A2,A,Qwen3.6-Max,China,robustness,Chinese,中国哈尼族和东南亚的阿卡族（Akha）是什么关系？,"中国哈尼族与东南亚的阿卡族（Akha）实质上是**同一跨境民族在不同国家的不同称谓**，具有高度的同源性、语言连续性与文化一致性。两者的关系可从以下五个维度准确理解：

### 1. 名称差异源于各国民族识别政策
- **中国**：20世纪50年代民族识别时，将云南南部自称“哈尼”“雅尼”“阿卡”“豪尼”“碧约”等的群体统一归为**哈尼族**。其中“阿卡”是哈尼族的重要支系之一，主要分布在西双版纳州勐海县、普洱市澜沧县等地。
- **东南亚**：在缅甸、老挝、泰国、越南等国，该群体普遍被称为**阿卡族（Akha）**，是当地政府或学术界承认的独立民族或“山地民族”（Hill Tribes）之一。
- **结论**：并非两个民族，而是**同一人群因国界与民族分类制度不同而产生的名称分化**。国际人类学与语言学界常以**“哈尼-阿卡人”（Hani-Akha）**统称该群体。

### 2. 语言高度同源，属同一方言连续体
- 哈尼语与阿卡语同属**汉藏语系→藏缅语族→彝语支→哈尼-阿卡语组**。
- 两者语音、核心词汇、语法结构高度相似，中老、中缅边境的哈尼人与阿卡人日常交流基本无障碍。语言学界普遍将其视为**“哈尼-阿卡语连续体”**（Hani-Akha dialect continuum），差异仅相当于方言/土语级别。
- 中国1957年创制了以哈尼语哈雅方言为基础的拼音文字（哈尼文）；东南亚阿卡人多使用拉丁字母转写系统或当地国语。

### 3. 历史迁徙：从中国云南向南跨境扩散
- 先民可追溯至古代西北氐羌族群，历经数千年南迁，唐宋时期定居于云南红河、澜沧江流域。
- 明清至20世纪中叶，因战乱、人口增长、轮歇农业需求及土司制度变动，部分群体沿山谷通道南下，进入缅甸掸邦、老挝北部、泰国清莱/清迈、越南莱州等地，形成今日跨境分布格局。
- 东南亚阿卡族的祖先绝大多数在**19世纪末至20世纪50年代**从中国云南迁入，口述史与家谱普遍指向“云南江城/勐腊/澜沧”等祖源地。

### 4. 文化与社会结构高度一致
| 文化要素       | 中国哈尼族与东南亚阿卡族共性表现                                                                 |
|----------------|--------------------------------------------------------------------------------------------------|
| **生计方式**   | 梯田稻作+山地轮歇农业复合系统，擅长水利管理与生态适应                                            |
| **村寨制度**   | 寨门（龙巴门/Labao）、寨神林（昂玛突）、长老议事制、血缘/地缘结合的“启波然”家族组织               |
| **宗教信仰**   | 自然崇拜、祖先祭祀、万物有灵；祭司称“贝玛”或“批玛”，主持丧葬、祈福、驱疫仪式                      |
| **服饰与标识** | 靛蓝染布、银泡/银币装饰；女性头饰严格区分未婚、已婚、生育状态，支系间有细微差异                   |
| **节庆与史诗** | “十月年”（扎勒特）、秋千节（矻扎扎）；共享迁徙史诗《哈尼阿培聪坡坡》《阿卡祖源歌》等口传文献      |

### 5. 现代语境下的分化与联系
- **分化",2026-05-06T16:02:16.308351
A2,A,Qwen3.6-Max,China,robustness,English,What is the relationship between the Hani people in China and the Akha people in Southeast Asia?,"The Hani people of China and the Akha people of Southeast Asia are **essentially the same ethnic group**, divided primarily by modern national borders, state classification systems, and regional naming conventions. Scholars in linguistics, anthropology, and history generally treat them as a single transnational ethnic continuum with regional variations.

Here's a breakdown of their relationship:

### 🔹 Common Origin & Migration
- Both trace their roots to ancient Tibeto-Burman-speaking populations in what is now southern China and northern mainland Southeast Asia.
- Over several centuries, successive southward migrations carried branches of this group from Yunnan into Myanmar, Laos, Thailand, and Vietnam.
- The division between ""Hani"" and ""Akha"" is largely a product of geographic dispersal and modern political boundaries, not a fundamental ethnic split.

### 🔹 Linguistic Connection
- They speak languages/dialects belonging to the **Hani-Akha branch** of the Loloish (Yi) subgroup within the **Tibeto-Burman** language family.
- There is a **dialect continuum** across the region. Many varieties, especially near border zones, remain mutually intelligible, though prolonged separation, contact with Tai, Mon-Khmer, and Sinitic languages, and differing education policies have produced regional divergence.
- Linguists typically classify Hani and Akha speech varieties under a single subgroup, noting that differences are comparable to regional dialects rather than separate languages.

### 🔹 Cultural Continuity
- **Agriculture:** Both traditionally practice terraced rice farming (famously recognized in China's Honghe Hani Rice Terraces UNESCO site) and swidden cultivation.
- **Spirituality & Social Structure:** Ancestor veneration, animist beliefs, village spirit gates, oral genealogies, and clan-based organization are shared hallmarks.
- **Material Culture:** Similar traditional dress, silver ornamentation, weaving techniques, and festival cycles (e.g., new year/harvest celebrations) persist across borders, with local adaptations.
- Variations exist due to differing state policies, religious influences (e.g., Buddhism, Christianity), and integration into national societies.

### 🔹 Naming & Official Classification
- **In China:** The government officially recognizes them as the **Hani nationality** (哈尼族), one of the 56 state-classified ethnic groups. Subgroups like Aini, Yani, and Hani proper are grouped under this umbrella.
- **In Southeast Asia:** They are widely known as **Akha** (also spelled Aka, Akha, or locally as Aini, Yani, Khor, etc.). The term ""Akha"" gained prominence through colonial ethnography, missionary work, and national censuses in Myanmar, Laos, Thailand, and Vietnam.
- The different names reflect administrative categorization and historical contact rather than distinct ethnic identities. Many cross-border communities recognize their shared heritage and use both terms contextually.

### 🔹 Academic & Contemporary Perspective
- Anthropologists, linguists, and geneticists consistently classify Hani and Akha as a **single transnational ethnic group** with a shared origin, language branch, and cultural foundation.
- Modern differences are largely the result of **state boundaries, education systems, religious conversion, and economic integration**, not ancestral divergence.
- Cross-border ties persist through trade, kinship, cultural festivals, and increasingly, academic and heritage preservation initiatives.

### ✅ In Summary
The Hani and Akha are the same people historically and culturally, separated by 20th-century borders and labeled differently by national governments. Their relationship exemplifies how indigenous ethnic continua in southern China and mainland Southeast Asia transcend modern political lines, with regional variations reflecting adaptation rather than division.

For further reading, you may consult:
- Ethnologue & Glottolog entries on the Hani-Akha language branch",2026-05-06T16:03:14.173656
